at first i was intrigued by the strange cast and odd creatures on the galaxy quest trailer , but that was before i saw the film . 	Translation	Positive	Negative	EmotionRationale
now my view has completely changed . 	now my view has completely changed .	1	-1	 now[0] my[0] view[0] has[0] completely[0] changed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's time to embrace for impact , because this is a very bumpy ride . 	it's time to embrace for impact , because this is a very bumpy ride .	1	-1	 it's[0] time[0] to[0] embrace[0] for[0] impact[0] because[0] this[0] is[0] a[0] very[0] bumpy[0] ride[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story begins with the cast of galaxy quest including : jason nesmith ( tim allen ) , alexander dane ( alan rickman ) , gwen demarco ( sigourney weaver ) signing autographs at a convention . 	the story begins with the cast of galaxy quest including : jason nesmith ( tim allen ) , alexander dane ( alan rickman ) , gwen demarco ( sigourney weaver ) signing autographs at a convention .	1	-1	 the[0] story[0] begins[0] with[0] the[0] cast[0] of[0] galaxy[0] quest[0] including[0] jason[0] nesmith[0] tim[0] allen[0] alexander[0] dane[0] alan[0] rickman[0] gwen[0] demarco[0] sigourney[0] weaver[0] signing[0] autographs[0] at[0] a[0] convention[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they meet fans who dress up in costumes , fans who worship the ground they walk on , and a group of aliens called thermians who believe that they are the ultimate saviors against the dreaded alien colony lead by sarris ( robin sachs ) . 	they meet fans who dress up in costumes , fans who worship the ground they walk on , and a group of aliens called thermians who believe that they are the ultimate saviors against the dreaded alien colony lead by saris ( robin sachs ) .	2	-4	 they[0] meet[0] fans[0] who[0] dress[0] up[0] in[0] costumes[0] fans[0] who[0] worship[1] the[0] ground[0] they[0] walk[0] on[0] and[0] a[0] group[0] of[0] aliens[0] called[0] thermians[0] who[0] believe[0] that[0] they[0] are[0] the[0] ultimate[0] saviors[0] against[-1] the[0] dreaded[-3] alien[-1] colony[0] lead[0] by[0] sarris/saris[0] robin[0] sachs[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
of course they are unaware of this until they actually begin performing their duties , and meet the ugly aliens themselves . 	of course they are unaware of this until they actually begin performing their duties , and meet the ugly aliens themselves .	1	-3	 of[0] course[0] they[0] are[0] unaware[0] of[0] this[0] until[0] they[0] actually[0] begin[0] performing[0] their[0] duties[0] and[0] meet[0] the[0] ugly[-2] aliens[0] themselves[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
thus begins the long adventure to help save the thermians . 	thus begins the long adventure to help save the thermians .	2	-1	 thus[0] begins[0] the[0] long[0] adventure[0] to[0] help[0] save[1] the[0] thermians[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the movie plays like a really bad star trek episode , in fact it's worse . 	the movie plays like a really bad star trek episode , in fact it's worse .	2	-3	 the[0] movie[0] plays[1] like[1] a[0] really[0] bad[-1][-1 LastWordBoosterStrength] star[0] trek[0] episode[0] in[0] fact[0] it's[0] worse[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i don't even think trekkies will appreciate this weak spoof , because quite frankly it's just not funny . 	i don't even think trekies will appreciate this weak spoof , because quite frankly it's just not funny .	2	-2	 i[0] don't[0] even[0] think[0] trekkies/trekies[0] will[0] appreciate[1] this[0] weak[-1] spoof[0] because[0] quite[0] frankly[0] it's[0] just[0] not[0] funny[1][NegatedDueToPreviousWord] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
all the jokes are basically collected observations from the series . 	all the jokes are basically collected observations from the series .	2	-1	 all[0] the[0] jokes[1] are[0] basically[0] collected[0] observations[0] from[0] the[0] series[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one such continuous joke involves a simple crew member who believes he will die in space , because no extra on the tv show ever lives , as proven in the star trek series . 	one such continuous joke involves a simple crew member who believes he will die in space , because no extra on the tv show ever lives , as proven in the star trek series .	2	-1	 one[0] such[0] continuous[0] joke[1] involves[0] a[0] simple[0] crew[0] member[0] who[0] believes[0] he[0] will[0] die[0] in[0] space[0] because[0] no[0] extra[0] on[0] the[0] tv[0] show[0] ever[0] lives[0] as[0] proven[0] in[0] the[0] star[0] trek[0] series[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
creative jokes like this may seem like a clever idea , but not when they are used to death . 	creative jokes like this may seem like a clever idea , but not when they are used to death .	2	-3	 creative[0] jokes[1] like[1] this[0] may[0] seem[0] like[1] a[0] clever[0] idea[0] but[0] not[0] when[0] they[0] are[0] used[0] to[0] death[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
a person can only take so much . 	a person can only take so much .	1	-1	 a[0] person[0] can[0] only[0] take[0] so[0] much[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we do not need to be tortured , especially when you have to pay for it . 	we do not need to be tortured , especially when you have to pay for it .	1	-4	 we[0] do[0] not[0] need[0] to[0] be[0] tortured[-3] especially[0] when[0] you[0] have[0] to[0] pay[0] for[0] it[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
