america has finally gotten what it's needed for years : a compassionate sincere president with impressive ethics and charisma . 	Translation	Positive	Negative	EmotionRationale
regretfully it's only a movie . 	regretfully it's only a movie .	1	-2	 regretfully[-1] it's[0] only[0] a[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
president james marshall ( harrison ford ) is fed up with terrorist activities . 	president james marshal ( harrison ford ) is fed up with terrorist activities .	1	-3	 president[0] james[0] marshall/marshal[0] harrison[0] ford[0] is[0] fed[0] up[0] with[0] terrorist[-2] activities[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
teaming up with the russian government , he orders a strike force capture of alexander radek , a reactionary general ready to re-unite the soviet union under his fascist reign . 	teaming up with the russian government , he orders a strike force capture of alexander radek , a reactionary general ready to re-unite the soviet union under his fascist reign .	1	-2	 teaming[0] up[0] with[0] the[0] russian[0] government[0] he[0] orders[0] a[0] strike[-1] force[-1] capture[-1] of[0] alexander[0] radek[0] a[0] reactionary[-1] general[0] ready[0] to[0] re[0] unite[0] the[0] soviet[0] union[0] under[0] his[0] fascist[-1] reign[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
during a celebration dinner , marshall announces to the world that he will send troops to fight oppression wherever it exists . 	during a celebration dinner , marshal announces to the world that he will send troops to fight oppression wherever it exists .	2	-4	 during[0] a[0] celebration[1] dinner[0] marshall/marshal[0] announces[0] to[0] the[0] world[0] that[0] he[0] will[0] send[0] troops[0] to[0] fight[-2] oppression[-2][-1 MultiplePositiveWords] wherever[0] it[0] exists[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
 " it's your turn to be afraid , " he declares . 	 " it's your turn to be afraid , " he declares .	1	-4	 it's[0] your[0] turn[0] to[0] be[0] afraid[-3] he[0] declares[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
returning home on air force one , he gets the chance to demonstrate his words personally . 	returning home on air force one , he gets the chance to demonstrate his words personally .	1	-2	 returning[0] home[0] on[0] air[0] force[-1] one[0] he[0] gets[0] the[0] chance[0] to[0] demonstrate[0] his[0] words[0] personally[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ultra-nationalist militants loyal to radek and lead by ivan korshunov ( gary oldman ) hijack the plane threatening to kill a hostage every half hour until the general is released . 	ultra-nationalist militants loyal to radek and lead by ivan korshunov ( gary oldman ) hijack the plane threatening to kill a hostage every half hour until the general is released .	2	-3	 ultra[0] nationalist[0] militants[0] loyal[1] to[0] radek[0] and[0] lead[0] by[0] ivan[0] korshunov[0] gary[0] oldman[0] hijack[-1] the[0] plane[0] threatening[-2] to[0] kill[-1] a[0] hostage[0] every[0] half[0] hour[0] until[0] the[0] general[0] is[0] released[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
marshall has a chance to escape in a jettisoned capsule ( which clinton says doesn't exist in real life ) but refuses , preferring to stay and fight . 	marshal has a chance to escape in a jettisoned capsule ( which clinton says doesn't exist in real life ) but refuses , preferring to stay and fight .	1	-3	 marshall/marshal[0] has[0] a[0] chance[0] to[0] escape[0] in[0] a[0] jettisoned[0] capsule[0] which[0] clinton[0] says[0] doesn't[0] exist[0] in[0] real[0] life[0] but[0] refuses[-1] preferring[0] to[0] stay[0] and[0] fight[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
director wolfgang peterson ( " das boot " , " in the line of fire " , " outbreak " takes the over-used " die hard " theme and gives us something new in a film that combines brilliant acting with hold-your-breath intensity . 	director wolfgang peterson ( " das boot " , " in the line of fire " , " outbreak " takes the over-used " die hard " theme and gives us something new in a film that combines brilliant acting with hold-your-breath intensity .	2	-2	 director[0] wolfgang[0] peterson[0] das[0] boot[0] in[0] the[0] line[0] of[0] fire[0] outbreak[-1] takes[0] the[0] over[0] used[0] die[0] hard[0] theme[0] and[0] gives[0] us[0] something[0] new[0] in[0] a[0] film[0] that[0] combines[0] brilliant[1] acting[0] with[0] hold[0] your[0] breath[0] intensity[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
if you can take your eyes off the screen , steal a look at the audience . 	if you can take your eyes off the screen , steal a look at the audience .	1	-3	 if[0] you[0] can[0] take[0] your[0] eyes[0] off[0] the[0] screen[0] steal[-2] a[0] look[0] at[0] the[0] audience[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
