a lot of times a three-star film will be my favorite . 	Translation	Positive	Negative	EmotionRationale
they're usually the kind of movie i can watch most often too . 	they're usually the kind of movie i can watch most often too .	2	-1	 they're[0] usually[0] the[0] kind[1] of[0] movie[0] i[0] can[0] watch[0] most[0] often[0] too[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they're usually not too deep , allowing for semi-brainless relaxation , and at the same time , not too dumb . 	they're usually not too deep , allowing for semi-brainless relaxation , and at the same time , not too dumb .	3	-1	 they're[0] usually[0] not[0] too[0] deep[0] allowing[0] for[0] semi[0] brainless[0] relaxation[2] and[0] at[0] the[0] same[0] time[0] not[0] too[0] dumb[-1][NegatedDueToPreviousWord] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
men in black is a four-star three-star film . 	men in black is a four-star three-star film .	1	-1	 men[0] in[0] black[0] is[0] a[0] four[0] star[0] three[0] star[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( hope you could follow that one ) 	 ( hope you could follow that one )	3	-1	 hope[2] you[0] could[0] follow[0] that[0] one[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
men in black doesn't wait to get to the fun . 	men in black doesn't wait to get to the fun .	2	-1	 men[0] in[0] black[0] doesn't[0] wait[0] to[0] get[0] to[0] the[0] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
just minutes into the film we are introduced to agent kay ( tommy lee jones ) , introduced to an alien , and introduced to the the awesome memory-diminishing tool that all mib agents use . 	just minutes into the film we are introduced to agent kay ( tommy lee jones ) , introduced to an alien , and introduced to the the awesome memory-diminishing tool that all mib agents use .	3	-2	 just[0] minutes[0] into[0] the[0] film[0] we[0] are[0] introduced[0] to[0] agent[0] kay[0] tommy[0] lee[0] jones[0] introduced[0] to[0] an[0] alien[-1] and[0] introduced[0] to[0] the[0] the[0] awesome[2] memory[0] diminishing[0] tool[0] that[0] all[0] mib[0] agents[0] use[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
after all , you can't have alien witnesses running around with that kind of knowledge can you ? 	after all , you can't have alien witnesses running around with that kind of knowledge can you ?	2	-1	 after[0] all[0] you[0] can't[0] have[0] alien[-1][NegatedDueToPreviousWord] witnesses[0] running[0] around[0] with[0] that[0] kind[1] of[0] knowledge[0] can[0] you[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
men in black is , of course , the organization which " moniters all extra-terrestrial activity on earth " . 	men in black is , of course , the organization which " moniters all extra-terrestrial activity on earth " .	1	-1	 men[0] in[0] black[0] is[0] of[0] course[0] the[0] organization[0] which[0] moniters[0] all[0] extra[0] terrestrial[0] activity[0] on[0] earth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nypd officer james edwards ( will smith ) , is on a routine foot chase when suddenly the no-good punk he's chasing starts leaping up buildings and blinking more than one pair of eyes . 	nypd officer james edwards ( will smith ) , is on a routine foot chase when suddenly the no-good punk he's chasing starts leaping up buildings and blinking more than one pair of eyes .	2	-2	 nypd[0] officer[0] james[0] edwards[0] will[0] smith[0] is[0] on[0] a[0] routine[0] foot[0] chase[-1] when[0] suddenly[0] the[0] no[0] good[1] punk[0] he's[0] chasing[0] starts[0] leaping[0] up[0] buildings[0] and[0] blinking[0] more[0] than[0] one[0] pair[0] of[0] eyes[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the alien delivers the simple message that the world is going to end , and with that , dives off of a roof . 	the alien delivers the simple message that the world is going to end , and with that , dives off of a roof .	1	-2	 the[0] alien[-1] delivers[0] the[0] simple[0] message[0] that[0] the[0] world[0] is[0] going[0] to[0] end[0] and[0] with[0] that[0] dives[0] off[0] of[0] a[0] roof[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
