synopsis : rumored to be about a true person , the story of mulan has circulated in oral tradition for over a thousand years , and has inspired operas , literature , and even coinage . 	Translation	Positive	Negative	EmotionRationale
 ( since 1984 , china has been issuing annual gold and silver coin sets commemorating famous historical figures ; the 1992 set includes mulan . ) 	 ( since 1984 , china has been issuing annual gold and silver coin sets commemorating famous historical figures ; the 1992 set includes mulan .<br> )	1	-1	 since[0] 1984[0] china[0] has[0] been[0] issuing[0] annual[0] gold[0] and[0] silver[0] coin[0] sets[0] commemorating[0] famous[0] historical[0] figures[0] the[0] 1992[0] set[0] includes[0] mulan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the ballad of mulan ( written in the 5th or 6th century ) , an imperial edict by the khan ( emperor ) orders men from each family to be drafted into the army to defend china . 	in the ballad of mulan ( written in the 5th or 6th century ) , an imperial edict by the khan ( emperor ) orders men from each family to be drafted into the army to defend china .	1	-1	 in[0] the[0] ballad[0] of[0] mulan[0] written[0] in[0] the[0] 5th[0] or[0] 6th[0] century[0] an[0] imperial[0] edict[0] by[0] the[0] khan[0] emperor[0] orders[0] men[0] from[0] each[0] family[0] to[0] be[0] drafted[0] into[0] the[0] army[0] to[0] defend[0] china[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a girl's parents hear sighing , and think that their daughter mulan ( the name means magnolia ) is dreaming of boys , but actually she's dreading what horrors might befall her old infirm father if he were to be drafted off to battle . 	a girl's parents hear sighing , and think that their daughter mulan ( the name means magnolia ) is dreaming of boys , but actually she's dreading what horrors might befall her old infirm father if he were to be drafted off to battle .	1	-4	 a[0] girl's[0] parents[0] hear[0] sighing[0] and[0] think[0] that[0] their[0] daughter[0] mulan[0] the[0] name[0] means[0] magnolia[0] is[0] dreaming[0] of[0] boys[0] but[0] actually[0] she's[0] dreading[-3] what[0] horrors[-3] might[0] befall[0] her[0] old[0] infirm[0] father[0] if[0] he[0] were[0] to[0] be[0] drafted[0] off[0] to[0] battle[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
mulan bravely runs away , masquerading as a boy , to serve in the army instead of her father . 	mulan bravely runs away , masquerading as a boy , to serve in the army instead of her father .	3	-1	 mulan[0] bravely[2] runs[0] away[0] masquerading[0] as[0] a[0] boy[0] to[0] serve[0] in[0] the[0] army[0] instead[0] of[0] her[0] father[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
ten thousand miles and twelve years of brutal war later , the army finally returns in triumph . 	ten thousand miles and twelve years of brutal war later , the army finally returns in triumph .	3	-4	 ten[0] thousand[0] miles[0] and[0] twelve[0] years[0] of[0] brutal[-2] war[-2][-1 MultiplePositiveWords] later[0] the[0] army[0] finally[0] returns[0] in[0] triumph[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the emperor wants to reward mulan's valor with a prestigious position in government , but she declines , accepts a horse , and returns home quietly to don her true clothes . 	the emperor wants to reward mulan's valor with a prestigious position in government , but she declines , accepts a horse , and returns home quietly to don her true clothes .	2	-2	 the[0] emperor[0] wants[0] to[0] reward[1] mulan's[0] valor[0] with[0] a[0] prestigious[0] position[0] in[0] government[0] but[0] she[0] declines[-1] accepts[0] a[0] horse[0] and[0] returns[0] home[0] quietly[0] to[0] don[0] her[0] true[1] clothes[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
mulan's old army buddies visit and get the shock of their lives when they find out that mulan is actually a woman . 	mulan's old army buddies visit and get the shock of their lives when they find out that mulan is actually a woman .	1	-3	 mulan's[0] old[0] army[0] buddies[0] visit[0] and[0] get[0] the[0] shock[-2] of[0] their[0] lives[0] when[0] they[0] find[0] out[0] that[0] mulan[0] is[0] actually[0] a[0] woman[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the disney animated feature mulan is similar to the ballad story , only it adds a modern character for comic relief : mushu the dragon ( eddie murphy ) . 	the disney animated feature mulan is similar to the ballad story , only it adds a modern character for comic relief : mushu the dragon ( eddie murphy ) .	2	-1	 the[0] disney[0] animated[0] feature[0] mulan[0] is[0] similar[0] to[0] the[0] ballad[0] story[0] only[0] it[0] adds[0] a[0] modern[0] character[0] for[0] comic[0] relief[1] mushu[0] the[0] dragon[0] eddie[0] murphy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in disney's mulan , when a fierce army of invading huns threatens to overrun peaceful china the emperor orders one man from each family to be conscripted into the army . 	in disney's mulan , when a fierce army of invading huns threatens to overrun peaceful china the emperor orders one man from each family to be conscripted into the army .	1	-3	 in[0] disney's[0] mulan[0] when[0] a[0] fierce[-2] army[0] of[0] invading[0] huns[0] threatens[-2] to[0] overrun[-1] peaceful[0] china[0] the[0] emperor[0] orders[0] one[0] man[0] from[0] each[0] family[0] to[0] be[0] conscripted[0] into[0] the[0] army[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
old mr . fa ( soon-tek oh ) is handicapped and has no son ; he has only his spirited young daughter mulan ( ming-na wen ) . 	old mr .<br> fa ( soon-tek oh ) is handicapped and has no son ; he has only his spirited young daughter mulan ( ming-na wen ) .	1	-1	 old[0] mr[0] [[Sentence=-1,1=word max, 1-5]] fa[0] soon[0] tek[0] oh[0] is[0] handicapped[0] and[0] has[0] no[0] son[0] he[0] has[0] only[0] his[0] spirited[0] young[0] daughter[0] mulan[0] ming[0] na[0] wen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
