so many students strive to get into schools such as harvard of princeton , but they just don't get the good grades . 	Translation	Positive	Negative	EmotionRationale
so many students would do anything to reach their goal of getting into this schools . 	so many students would do anything to reach their goal of getting into this schools .	1	-1	 so[0] many[0] students[0] would[0] do[0] anything[0] to[0] reach[0] their[0] goal[0] of[0] getting[0] into[0] this[0] schools[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
legend has it that if your roommate commits suicide , the remaining roommates will get an automatic 4 . 0 . 	legend has it that if your roommate commits suicide , the remaining roommates will get an automatic 4 .<br> 0 .	1	-4	 legend[0] has[0] it[0] that[0] if[0] your[0] roommate[0] commits[0] suicide[-3] the[0] remaining[0] roommates[0] will[0] get[0] an[0] automatic[0] 4[0] [[Sentence=-4,1=word max, 1-5]] 0[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
chris ( michael vartan ) and tim ( matthew lillard ) are two guys who really want the 4 . 0 to get into harvard . 	chris ( michael vartan ) and tim ( matthew lillard ) are two guys who really want the 4 .<br> 0 to get into harvard .	1	-1	 chris[0] michael[0] vartan[0] and[0] tim[0] matthew[0] lillard[0] are[0] two[0] guys[0] who[0] really[0] want[0] the[0] 4[0] [[Sentence=-1,1=word max, 1-5]] 0[0] to[0] get[0] into[0] harvard[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how far will they go to get their 4 . 0 ? 	how far will they go to get their 4 .<br> 0 ?	1	-1	 how[0] far[0] will[0] they[0] go[0] to[0] get[0] their[0] 4[0] [[Sentence=-1,1=word max, 1-5]] 0[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
chris and tim are also roommates with rand , played by randall batinkoff . 	chris and tim are also roommates with rand , played by randall batinkoff .	1	-1	 chris[0] and[0] tim[0] are[0] also[0] roommates[0] with[0] rand[0] played[0] by[0] randall[0] batinkoff[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the two scheme to murder rand , make it look like a suicide , so they can supposedly get their 4 . 0 . 	the two scheme to murder rand , make it look like a suicide , so they can supposedly get their 4 .<br> 0 .	2	-4	 the[0] two[0] scheme[0] to[0] murder[-3] rand[0] make[0] it[0] look[0] like[1] a[0] suicide[-3] so[0] they[0] can[0] supposedly[0] get[0] their[0] 4[0] [[Sentence=-4,2=word max, 1-5]] 0[0] [[Sentence=-1,1=word max, 1-5]][[[2,-4 max of sentences]]]
they have heard this rumor many places , and they are willing to take the chance to find out . 	they have heard this rumor many places , and they are willing to take the chance to find out .	1	-2	 they[0] have[0] heard[0] this[0] rumor[-1] many[0] places[0] and[0] they[0] are[0] willing[0] to[0] take[0] the[0] chance[0] to[0] find[0] out[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
rand is a very , very mean person . 	rand is a very , very mean person .	1	-1	 rand[0] is[0] a[0] very[0] very[0] mean[0] person[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he treats his girlfriend natalie , played by tamara craig thomas , like she doesn't matter at all . 	he treats his girlfriend natalie , played by tamara craig thomas , like she doesn't matter at all .	2	-1	 he[0] treats[0] his[0] girlfriend[0] natalie[0] played[0] by[0] tamara[0] craig[0] thomas[0] like[1] she[0] doesn't[0] matter[0] at[0] all[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she is very afraid of him , and she especially afraid now that she must tell him she is pregnant . 	she is very afraid of him , and she especially afraid now that she must tell him she is pregnant .	1	-5	 she[0] is[0] very[0] afraid[-3][-1 LastWordBoosterStrength] of[0] him[0] and[0] she[0] especially[0] afraid[-3][-1 LastWordBoosterStrength] now[0] that[0] she[0] must[0] tell[0] him[0] she[0] is[0] pregnant[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
she does tell him , and he becomes enraged . 	she does tell him , and he becomes enraged .	1	-4	 she[0] does[0] tell[0] him[0] and[0] he[0] becomes[0] enraged[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
that night would be the last night of rand's life . 	that night would be the last night of rand's life .	1	-1	 that[0] night[0] would[0] be[0] the[0] last[0] night[0] of[0] rand's[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tim and chris give rand a bottle of rat poison , making him think that it is beer . 	tim and chris give rand a bottle of rat poison , making him think that it is beer .	1	-3	 tim[0] and[0] chris[0] give[0] rand[0] a[0] bottle[0] of[0] rat[-1] poison[-2] making[0] him[0] think[0] that[0] it[0] is[0] beer[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
rand drinks down the poison , and then dies . 	rand drinks down the poison , and then dies .	1	-3	 rand[0] drinks[0] down[0] the[0] poison[-2] and[0] then[0] dies[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
now , tim pushes him off of a mountain with a suicide note near the site to make it look like he killed himself . 	now , tim pushes him off of a mountain with a suicide note near the site to make it look like he killed himself .	2	-4	 now[0] tim[0] pushes[0] him[0] off[0] of[0] a[0] mountain[0] with[0] a[0] suicide[-3] note[0] near[0] the[0] site[0] to[0] make[0] it[0] look[0] like[1] he[0] killed[-3] himself[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it does not take long until the suicide note is found , but the body isn't found . 	it does not take long until the suicide note is found , but the body isn't found .	1	-4	 it[0] does[0] not[0] take[0] long[0] until[0] the[0] suicide[-3] note[0] is[0] found[0] but[0] the[0] body[0] isn't[0] found[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
