after watching " rat race " last week , i noticed my cheeks were sore and realized that , when not laughing aloud , i had held a grin for virtually all of the film's 112 minutes . 	Translation	Positive	Negative	EmotionRationale
saturday night , i attended another sneak preview for the movie and damned if i didn't enjoy it as much the second time as the first . 	saturday night , i attended another sneak preview for the movie and damned if i didn't enjoy it as much the second time as the first .	3	-2	 saturday[0] night[0] i[0] attended[0] another[0] sneak[-1] preview[0] for[0] the[0] movie[0] and[0] damned[-1] if[0] i[0] didn't[0] enjoy[2] it[0] as[0] much[0] the[0] second[0] time[0] as[0] the[0] first[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 " rat race " is a great goofy delight , a dandy mix of energetic performances , inspired sight gags and flat-out silliness . 	 " rat race " is a great goofy delight , a dandy mix of energetic performances , inspired sight gags and flat-out silliness .	3	-2	 rat[-1] race[0] is[0] a[0] great[2] goofy[0] delight[2] a[0] dandy[0] mix[0] of[0] energetic[0] performances[0] inspired[2] sight[0] gags[0] and[0] flat[0] out[0] silliness[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
hands down , this is the most fun film of the summer . 	hands down , this is the most fun film of the summer .	2	-1	 hands[0] down[0] this[0] is[0] the[0] most[0] fun[1] film[0] of[0] the[0] summer[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the movie begins with zippy retro-style opening credits that look like they were torn straight out of a '60s slapstick comedy , featuring animated photos of the cast attached to herky-jerky bodies bounding around the screen . 	the movie begins with zippy retro-style opening credits that look like they were torn straight out of a '60s slapstick comedy , featuring animated photos of the cast attached to herky-jerky bodies bounding around the screen .	2	-2	 the[0] movie[0] begins[0] with[0] zippy[0] retro[0] style[0] opening[0] credits[0] that[0] look[0] like[1] they[0] were[0] torn[0] straight[0] out[0] of[0] a[0] '60s[0] slapstick[-1] comedy[0] featuring[0] animated[0] photos[0] of[0] the[0] cast[0] attached[0] to[0] herky[0] jerky[0] bodies[0] bounding[0] around[0] the[0] screen[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
then comes the setup . 	then comes the setup .	1	-1	 then[0] comes[0] the[0] setup[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
donald sinclair ( john cleese ) , the extremely rich owner of the venetian hotel and casino in las vegas , enjoys concocting unusual bets for his high rolling clients . 	donald sinclair ( john cleese ) , the extremely rich owner of the venetian hotel and casino in las vegas , enjoys concocting unusual bets for his high rolling clients .	3	-1	 donald[0] sinclair[0] john[0] cleese[0] the[0] extremely[0] rich[0] owner[0] of[0] the[0] venetian[0] hotel[0] and[0] casino[0] in[0] las[0] vegas[0] enjoys[2] concocting[0] unusual[0] bets[0] for[0] his[0] high[0] rolling[0] clients[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
to that end , he places a half dozen very special tokens in his slot machines . 	to that end , he places a half dozen very special tokens in his slot machines .	3	-1	 to[0] that[0] end[0] he[0] places[0] a[0] half[0] dozen[0] very[0] special[1][1 LastWordBoosterStrength] tokens[0] in[0] his[0] slot[0] machines[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
gathering together the lucky token holders , he explains , " today you have a chance to play a game where the odds of winning are one in six . " 	gathering together the lucky token holders , he explains , " today you have a chance to play a game where the odds of winning are one in six .<br> "	2	-1	 gathering[0] together[0] the[0] lucky[1] token[0] holders[0] he[0] explains[0] today[0] you[0] have[0] a[0] chance[0] to[0] play[0] a[0] game[0] where[0] the[0] odds[0] of[0] winning[1] are[0] one[0] in[0] six[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the competition is simple : each contestant gets a key that opens a locker in silver city , n . m . , containing  2 million in cash . 	the competition is simple : each contestant gets a key that opens a locker in silver city , n .<br> m .<br> , containing  2 million in cash .	1	-1	 the[0] competition[0] is[0] simple[0] each[0] contestant[0] gets[0] a[0] key[0] that[0] opens[0] a[0] locker[0] in[0] silver[0] city[0] n[0] [[Sentence=-1,1=word max, 1-5]] m[0] [[Sentence=-1,1=word max, 1-5]] containing[0] 2[0] million[0] in[0] cash[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is a transmitter in every key , so that sinclair and his cronies can keep track of who is ahead . 	there is a transmitter in every key , so that sinclair and his cronies can keep track of who is ahead .	1	-1	 there[0] is[0] a[0] transmitter[0] in[0] every[0] key[0] so[0] that[0] sinclair[0] and[0] his[0] cronies[0] can[0] keep[0] track[0] of[0] who[0] is[0] ahead[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the race has no rules ? whichever contestant reaches the locker first gets the money . 	the race has no rules ?<br> whichever contestant reaches the locker first gets the money .	1	-1	 the[0] race[0] has[0] no[0] rules[0] [[Sentence=-1,1=word max, 1-5]] whichever[0] contestant[0] reaches[0] the[0] locker[0] first[0] gets[0] the[0] money[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
since it would be wrong to spoil any of the jokes , let's use the next few paragraphs to profile the racers . 	since it would be wrong to spoil any of the jokes , let's use the next few paragraphs to profile the racers .	2	-2	 since[0] it[0] would[0] be[0] wrong[-1] to[0] spoil[-1] any[0] of[0] the[0] jokes[1] let's[0] use[0] the[0] next[0] few[0] paragraphs[0] to[0] profile[0] the[0] racers[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
decked out in flashy , trashy clothing and sporting big hair , vera baker ( whoopi goldberg ) is in town to reunite with the daughter she gave up for adoption as a baby . 	decked out in flashy , trashy clothing and sporting big hair , vera baker ( whoopi goldberg ) is in town to reunite with the daughter she gave up for adoption as a baby .	2	-2	 decked[0] out[0] in[0] flashy[0] trashy[-1] clothing[0] and[0] sporting[0] big[0] hair[0] vera[0] baker[0] whoopi[0] goldberg[0] is[0] in[0] town[0] to[0] reunite[0] with[0] the[0] daughter[0] she[0] gave[0] up[0] for[0] adoption[0] as[0] a[0] baby[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
