usually when one is debating who the modern queen of the romantic comedy is they will bring up names like julia roberts or sandra bullock . 	Translation	Positive	Negative	EmotionRationale
others will mention meg ryan . 	others will mention meg ryan .	1	-1	 others[0] will[0] mention[0] meg[0] ryan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but for me , it's not even close . 	but for me , it's not even close .	1	-1	 but[0] for[0] me[0] it's[0] not[0] even[0] close[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
janeane garofalo is not only the queen of the romantic comedy , she is the best comic actress in hollywood right now . 	janeane garofalo is not only the queen of the romantic comedy , she is the best comic actress in hollywood right now .	4	-1	 janeane[0] garofalo[0] is[0] not[0] only[0] the[0] queen[0] of[0] the[0] romantic[3] comedy[0] she[0] is[0] the[0] best[1] comic[0] actress[0] in[0] hollywood[0] right[0] now[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
and it's a good thing she's starring in the matchmaker , because without her presence the movie would be bland , unfunny , and dull . 	and it's a good thing she's starring in the matchmaker , because without her presence the movie would be bland , unfunny , and dull .	2	-2	 and[0] it's[0] a[0] good[1] thing[0] she's[0] starring[0] in[0] the[0] matchmaker[0] because[0] without[0] her[0] presence[0] the[0] movie[0] would[0] be[0] bland[-1] unfunny[0] and[0] dull[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
garofalo stars as marcy tizard , a top aide to boston senator john mcglory , who is suffering in the polls . 	garofalo stars as marcy tizard , a top aide to boston senator john mcglory , who is suffering in the polls .	1	-4	 garofalo[0] stars[0] as[0] marcy[0] tizard[0] a[0] top[0] aide[0] to[0] boston[0] senator[0] john[0] mcglory[0] who[0] is[0] suffering[-3] in[0] the[0] polls[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in an attempt to capture the irish vote , he sends marcy on a mission to a small irish town called ballinagra in search of other mcglory's that never moved to america . 	in an attempt to capture the irish vote , he sends marcy on a mission to a small irish town called ballinagra in search of other mcglory's that never moved to america .	1	-2	 in[0] an[0] attempt[0] to[0] capture[-1] the[0] irish[0] vote[0] he[0] sends[0] marcy[0] on[0] a[0] mission[0] to[0] a[0] small[0] irish[0] town[0] called[0] ballinagra[0] in[0] search[0] of[0] other[0] mcglory's[0] that[0] never[0] moved[0] to[0] america[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unfortunately for marcy , her visit coincides with the town's annual matchmaking festival . 	unfortunately for marcy , her visit coincides with the town's annual matchmaking festival .	1	-2	 unfortunately[-1] for[0] marcy[0] her[0] visit[0] coincides[0] with[0] the[0] town's[0] annual[0] matchmaking[0] festival[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
things get off to a rocky start for marcy though . 	things get off to a rocky start for marcy though .	1	-1	 things[0] get[0] off[0] to[0] a[0] rocky[0] start[0] for[0] marcy[0] though[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she has no hotel reservations ( for no rational reason ) and the tiny confined room ( tired old cliche' ) she has to stay in has a visitor in her bathtub . 	she has no hotel reservations ( for no rational reason ) and the tiny confined room ( tired old cliche' ) she has to stay in has a visitor in her bathtub .	1	-2	 she[0] has[0] no[0] hotel[0] reservations[0] for[0] no[0] rational[0] reason[0] and[0] the[0] tiny[0] confined[0] room[0] tired[-1] old[0] cliche'[0] she[0] has[0] to[0] stay[0] in[0] has[0] a[0] visitor[0] in[0] her[0] bathtub[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his name is sean , and marcy finds him repugnant at first , so you can obviously tell where this is headed . 	his name is sean , and marcy finds him repugnant at first , so you can obviously tell where this is headed .	1	-3	 his[0] name[0] is[0] sean[0] and[0] marcy[0] finds[0] him[0] repugnant[-2] at[0] first[0] so[0] you[0] can[0] obviously[0] tell[0] where[0] this[0] is[0] headed[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the movie runs into a few roadblocks . 	the movie runs into a few roadblocks .	1	-1	 the[0] movie[0] runs[0] into[0] a[0] few[0] roadblocks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for instance , the story is very thin . 	for instance , the story is very thin .	1	-1	 for[0] instance[0] the[0] story[0] is[0] very[0] thin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
none of the characters ( except the old local matchmaker ) are nearly as interesting as garofalo . 	none of the characters ( except the old local matchmaker ) are nearly as interesting as garofalo .	2	-1	 none[0] of[0] the[0] characters[0] except[0] the[0] old[0] local[0] matchmaker[0] are[0] nearly[0] as[0] interesting[1] as[0] garofalo[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
some of the characters , like the political aide played by denis leary , have wandered in from a completely different movie . 	some of the characters , like the political aide played by denis leary , have wandered in from a completely different movie .	2	-1	 some[0] of[0] the[0] characters[0] like[1] the[0] political[0] aide[0] played[0] by[0] denis[0] leary[0] have[0] wandered[0] in[0] from[0] a[0] completely[0] different[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i think the director realized this and decided to throw in numerous shots of the beautiful irish scenery , and several close-ups of garofalo's winning smile . 	i think the director realized this and decided to throw in numerous shots of the beautiful irish scenery , and several close-ups of garofalo's winning smile .	3	-1	 i[0] think[0] the[0] director[0] realized[0] this[0] and[0] decided[0] to[0] throw[0] in[0] numerous[0] shots[0] of[0] the[0] beautiful[2] irish[0] scenery[0] and[0] several[0] close[0] ups[0] of[0] garofalo's[0] winning[1] smile[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the strange thing is that it works . 	the strange thing is that it works .	1	-1	 the[0] strange[0] thing[0] is[0] that[0] it[0] works[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
garofalo's charm and the irish scenery could carry the thinnest of stories , and it carries this one . 	garofalo's charm and the irish scenery could carry the thinnest of stories , and it carries this one .	2	-1	 garofalo's[0] charm[1] and[0] the[0] irish[0] scenery[0] could[0] carry[0] the[0] thinnest[0] of[0] stories[0] and[0] it[0] carries[0] this[0] one[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
