>from the commercials , this looks like a mild-mannered neil simonesque tale with mary tyler moore baring her bra touted as the highlight . 	Translation	Positive	Negative	EmotionRationale
instead it turns out to be a hilarious film running in high gear from beginning to end . 	instead it turns out to be a hilarious film running in high gear from beginning to end .	3	-1	 instead[0] it[0] turns[0] out[0] to[0] be[0] a[0] hilarious[2] film[0] running[0] in[0] high[0] gear[0] from[0] beginning[0] to[0] end[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the concept is deceptively pedestrian . 	the concept is deceptively pedestrian .	1	-2	 the[0] concept[0] is[0] deceptively[-1] pedestrian[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
an adult adopted son is looking for his biological parents and encounters eccentric characters along the way . 	an adult adopted son is looking for his biological parents and encounters eccentric characters along the way .	1	-2	 an[0] adult[0] adopted[0] son[0] is[0] looking[0] for[0] his[0] biological[0] parents[0] and[0] encounters[0] eccentric[-1] characters[0] along[0] the[0] way[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie demonstrates just how far a good script and actors can take a mundane idea . 	the movie demonstrates just how far a good script and actors can take a mundane idea .	2	-2	 the[0] movie[0] demonstrates[0] just[0] how[0] far[0] a[0] good[1] script[0] and[0] actors[0] can[0] take[0] a[0] mundane[-1] idea[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the son and his wife take off on the search accompanied by a woman from the agency who located his parents . 	the son and his wife take off on the search accompanied by a woman from the agency who located his parents .	1	-1	 the[0] son[0] and[0] his[0] wife[0] take[0] off[0] on[0] the[0] search[0] accompanied[0] by[0] a[0] woman[0] from[0] the[0] agency[0] who[0] located[0] his[0] parents[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
following one dead end lead after another , each funnier than the previous , they eventually end up in new mexico with his real biological parents : alan alda and lily tomlin . 	following one dead end lead after another , each funnier than the previous , they eventually end up in new mexico with his real biological parents : alan alda and lily tomlin .	2	-3	 following[0] one[0] dead[-2] end[0] lead[0] after[0] another[0] each[0] funnier[1] than[0] the[0] previous[0] they[0] eventually[0] end[0] up[0] in[0] new[0] mexico[0] with[0] his[0] real[0] biological[0] parents[0] alan[0] alda[0] and[0] lily[0] tomlin[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's difficult to condense the mile-a-minute plot . 	it's difficult to condense the mile-a-minute plot .	1	-2	 it's[0] difficult[-1] to[0] condense[0] the[0] mile[0] a[0] minute[0] plot[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
seemingly hundreds of scenes jump on top of each other without giving you a chance to recover from the last one . 	seemingly hundreds of scenes jump on top of each other without giving you a chance to recover from the last one .	1	-1	 seemingly[0] hundreds[0] of[0] scenes[0] jump[0] on[0] top[0] of[0] each[0] other[0] without[0] giving[0] you[0] a[0] chance[0] to[0] recover[0] from[0] the[0] last[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
without giving too much away , one of the better episodes involves a gay federal alcohol , tobacco and firearms agent attempting an arrest while tripping on lsd as his bi-sexual partner is upstairs licking the armpit of a woman while her husband is in the next room seducing their traveling companion . 	without giving too much away , one of the better episodes involves a gay federal alcohol , tobacco and firearms agent attempting an arrest while tripping on lsd as his bi-sexual partner is upstairs licking the armpit of a woman while her husband is in the next room seducing their traveling companion .	1	-2	 without[0] giving[0] too[0] much[0] away[0] one[0] of[0] the[0] better[0] episodes[0] involves[0] a[0] gay[-1] federal[0] alcohol[0] tobacco[0] and[0] firearms[0] agent[0] attempting[0] an[0] arrest[0] while[0] tripping[0] on[0] lsd[0] as[0] his[0] bi[0] sexual[0] partner[0] is[0] upstairs[0] licking[0] the[0] armpit[0] of[0] a[0] woman[0] while[0] her[0] husband[0] is[0] in[0] the[0] next[0] room[0] seducing[0] their[0] traveling[0] companion[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and it's all done in a fairly clean , almost ( well , maybe not exactly ) family fare manner . 	and it's all done in a fairly clean , almost ( well , maybe not exactly ) family fare manner .	1	-1	 and[0] it's[0] all[0] done[0] in[0] a[0] fairly[0] clean[0] almost[0] well[0] maybe[0] not[0] exactly[0] family[0] fare[0] manner[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a grand cast ( tomlin , alda , moore , ben stiller , patricia arquette , tea leoni , george segal ) interacts in a seamless parade of laughs . 	a grand cast ( tomlin , alda , more , ben stiller , patricia arquette , tea leoni , george segal ) interacts in a seamless parade of laughs .	2	-1	 a[0] grand[1] cast[0] tomlin[0] alda[0] moore/more[0] ben[0] stiller[0] patricia[0] arquette[0] tea[0] leoni[0] george[0] segal[0] interacts[0] in[0] a[0] seamless[0] parade[0] of[0] laughs[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
drawing from a more hyper woody allen style , the film succeeds beyond expectations . 	drawing from a more hyper woody allen style , the film succeeds beyond expectations .	3	-1	 drawing[0] from[0] a[0] more[0] hyper[0] woody[0] allen[0] style[0] the[0] film[0] succeeds[2] beyond[0] expectations[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
