krippendorf's tribe is a formula comedy . 	Translation	Positive	Negative	EmotionRationale
done poorly , formulaic comedies might seem to signify the downfall of american cinema . 	done poorly , formulaic comedies might seem to signify the downfall of american cinema .	1	-2	 done[0] poorly[-1] formulaic[0] comedies[0] might[0] seem[0] to[0] signify[0] the[0] downfall[-1] of[0] american[0] cinema[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , every now and then , one emerges , like krippendorf's tribe , that actually works . 	however , every now and then , one emerges , like krippendorf's tribe , that actually works .	2	-1	 however[0] every[0] now[0] and[0] then[0] one[0] emerges[0] like[1] krippendorf's[0] tribe[0] that[0] actually[0] works[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
professor james krippendorf ( richard dreyfuss ) , the renowned anthropologist , is in trouble . 	professor james krippendorf ( richard dreyfuss ) , the renowned anthropologist , is in trouble .	1	-2	 professor[0] james[0] krippendorf[0] richard[0] dreyfuss[0] the[0] renowned[0] anthropologist[0] is[0] in[0] trouble[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his university gave him a hefty grant to discover a lost tribe in new guinea . 	his university gave him a hefty grant to discover a lost tribe in new guinea .	1	-1	 his[0] university[0] gave[0] him[0] a[0] hefty[0] grant[0] to[0] discover[0] a[0] lost[0] tribe[0] in[0] new[0] guinea[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , he found . . . nothing . 	however , he found .<br> .<br> .<br> nothing .	1	-1	 however[0] he[0] found[0] [[Sentence=-1,1=word max, 1-5]] nothing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his wife has recently died , and he has spent the remainder of the grant money in raising his three kids : shelly ( natasha lyonne ) , mickey ( gregory smith ) and edmund ( carl michael lidner ) . 	his wife has recently died , and he has spent the remainder of the grant money in raising his three kids : shelly ( natasha lyonne ) , mickey ( gregory smith ) and edmund ( carl michael lidner ) .	1	-1	 his[0] wife[0] has[0] recently[0] died[0] and[0] he[0] has[0] spent[0] the[0] remainder[0] of[0] the[0] grant[0] money[0] in[0] raising[0] his[0] three[0] kids[0] shelly[0] natasha[0] lyonne[0] mickey[0] gregory[0] smith[0] and[0] edmund[0] carl[0] michael[0] lidner[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tonight , he is expected to lecture on his newfound tribe . 	tonight , he is expected to lecture on his newfound tribe .	1	-1	 tonight[0] he[0] is[0] expected[0] to[0] lecture[0] on[0] his[0] newfound[0] tribe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rather than break the news ( and face the consequences of misusing his funds ) , he invents a tribe : the shelmikedmu ( named after his kids ) . 	rather than break the news ( and face the consequences of misusing his funds ) , he invents a tribe : the shelmikedmu ( named after his kids ) .	1	-1	 rather[0] than[0] break[0] the[0] news[0] and[0] face[0] the[0] consequences[0] of[0] misusing[0] his[0] funds[0] he[0] invents[0] a[0] tribe[0] the[0] shelmikedmu[0] named[0] after[0] his[0] kids[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , one lie begets another as he is not only required to deliver filmed proof of the shelmikedmu , but his research becomes a popular phenomenon . 	however , one lie begets another as he is not only required to deliver filmed proof of the shelmikedmu , but his research becomes a popular phenomenon .	1	-1	 however[0] one[0] lie[0] begets[0] another[0] as[0] he[0] is[0] not[0] only[0] required[0] to[0] deliver[0] filmed[0] proof[0] of[0] the[0] shelmikedmu[0] but[0] his[0] research[0] becomes[0] a[0] popular[0] phenomenon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
soon , professor krippendorf is caught up in an elaborate ruse in which he films mockumentary footage starring his children as the shelmikedmu tribal members . 	soon , professor krippendorf is caught up in an elaborate ruse in which he films mockumentary footage starring his children as the shelmikedmu tribal members .	1	-1	 soon[0] professor[0] krippendorf[0] is[0] caught[0] up[0] in[0] an[0] elaborate[0] ruse[0] in[0] which[0] he[0] films[0] mockumentary[0] footage[0] starring[0] his[0] children[0] as[0] the[0] shelmikedmu[0] tribal[0] members[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
