capsule : the best place to start if you're a jackie chan newcomer . 	Translation	Positive	Negative	EmotionRationale
roars along , never stops for breath , and frequently hilarious . 	roars along , never stops for breath , and frequently hilarious .	3	-1	 roars[0] along[0] never[0] stops[0] for[0] breath[0] and[0] frequently[0] hilarious[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
to talk about jackie chan as a " stuntman " is to miss a million things . 	to talk about jackie chan as a " stuntman " is to miss a million things .	2	-2	 to[0] talk[0] about[0] jackie[0] chan[0] as[0] a[0] stuntman[0] is[0] to[0] miss[-1] a[0] million[0] things[0] [[Sentence=-2,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-2 max of sentences]]]
jackie is not only one of the most accomplished and fearsomely unafraid physical adepts on the screen today , but also a very funny guy . 	jackie is not only one of the most accomplished and fearsomely unafraid physical adepts on the screen today , but also a very funny guy .	3	-1	 jackie[0] is[0] not[0] only[0] one[0] of[0] the[0] most[0] accomplished[1] and[0] fearsomely[0] unafraid[0] physical[0] adepts[0] on[0] the[0] screen[0] today[0] but[0] also[0] a[0] very[0] funny[1][1 LastWordBoosterStrength] guy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he reminds me of the way arnold schwartzenegger * used * to make me laugh -- he's funny just standing there , copping a look . 	he reminds me of the way arnold schwartzenegger * used * to make me laugh - he's funny just standing there , coping a look .	2	-1	 he[0] reminds[0] me[0] of[0] the[0] way[0] arnold[0] schwartzenegger[0] used[0] to[0] make[0] me[0] laugh[1] he's[0] funny[1] just[0] standing[0] there[0] copping/coping[0] a[0] look[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
supercop has jackie making us laugh , scream , duck , root , and gasp for breath , often all in the same scene . 	supercop has jackie making us laugh , scream , duck , root , and gasp for breath , often all in the same scene .	2	-4	 supercop[0] has[0] jackie[0] making[0] us[0] laugh[1] scream[-3] duck[0] root[0] and[0] gasp[0] for[0] breath[0] often[0] all[0] in[0] the[0] same[0] scene[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it's actually the third in a loosely related series of movies , each with jackie playing kevin chan , a hong kong policeman who has a knack for getting neck-deep into trouble and then karate-kicking his way out of it . 	it's actually the third in a loosely related series of movies , each with jackie playing kevin chan , a hong kong policeman who has a knack for getting neck-deep into trouble and then karate-kicking his way out of it .	2	-2	 it's[0] actually[0] the[0] third[0] in[0] a[0] loosely[0] related[0] series[0] of[0] movies[0] each[0] with[0] jackie[0] playing[1] kevin[0] chan[0] a[0] hong[0] kong[0] policeman[0] who[0] has[0] a[0] knack[0] for[0] getting[0] neck[0] deep[0] into[0] trouble[-1] and[0] then[0] karate[0] kicking[-1] his[0] way[0] out[0] of[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 ( the others are also worth seeing . ) 	 ( the others are also worth seeing .<br> )	1	-1	 the[0] others[0] are[0] also[0] worth[0] seeing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a little slow to start , but once it gets moving , it's a field day . 	it's a little slow to start , but once it gets moving , it's a field day .	1	-1	 it's[0] a[0] little[0] slow[0] to[0] start[0] but[0] once[0] it[0] gets[0] moving[0] it's[0] a[0] field[0] day[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie has a fairly sophisticated plot for movies of this kind . 	the movie has a fairly sophisticated plot for movies of this kind .	2	-1	 the[0] movie[0] has[0] a[0] fairly[0] sophisticated[0] plot[0] for[0] movies[0] of[0] this[0] kind[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
kevin is tapped for a dangerous dea assignment to be accomplished in mainland china , which requires him to collaborate with the attractive ( and ass-kicking ) chief fo chinese security ( played here by the ever-enjoyable michelle yeoh ) . 	kevin is tapped for a dangerous dea assignment to be accomplished in mainland china , which requires him to collaborate with the attractive ( and ass-kicking ) chief fo chinese security ( played here by the ever-enjoyable michelle yeoh ) .	3	-2	 kevin[0] is[0] tapped[0] for[0] a[0] dangerous[-1] dea[0] assignment[0] to[0] be[0] accomplished[1] in[0] mainland[0] china[0] which[0] requires[0] him[0] to[0] collaborate[0] with[0] the[0] attractive[1] and[0] ass[0] kicking[-1] chief[0] fo[0] chinese[0] security[1] played[0] here[0] by[0] the[0] ever[0] enjoyable[2] michelle[0] yeoh[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
