in may of 1977 , just 2 years after steven spielberg's success with jaws and 3 years after francis coppolas' the godfather , a risky , ambitious young director named george lucas went for the same unpredictable box office success . 	Translation	Positive	Negative	EmotionRationale
little did he know that star wars would become the greatest science fiction epic in the history of film . 	little did he know that star wars would become the greatest science fiction epic in the history of film .	3	-3	 little[0] did[0] he[0] know[0] that[0] star[0] wars[-2] would[0] become[0] the[0] greatest[2] science[0] fiction[0] epic[0] in[0] the[0] history[0] of[0] film[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
in january of this year , lucas re-released star wars on its 20th anniversary . 	in january of this year , lucas re-released star wars on its 20th anniversary .	1	-3	 in[0] january[0] of[0] this[0] year[0] lucas[0] re[0] released[0] star[0] wars[-2] on[0] its[0] 20th[0] anniversary[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in this new , remastered version , the added effects , which range from leathery desert beasts inserted into already existing shots to an awkward new scene in which hans solo bargains his way out of a jam with a computer-generated jabba the hutt , don't do much but call attention to themselves . 	in this new , remastered version , the added effects , which range from leathery desert beasts inserted into already existing shots to an awkward new scene in which hans solo bargains his way out of a jam with a computer-generated jabba the hut , don't do much but call attention to themselves .	1	-2	 in[0] this[0] new[0] remastered[0] version[0] the[0] added[0] effects[0] which[0] range[0] from[0] leathery[0] desert[0] beasts[0] inserted[0] into[0] already[0] existing[0] shots[0] to[0] an[0] awkward[-1] new[0] scene[0] in[0] which[0] hans[0] solo[0] bargains[0] his[0] way[0] out[0] of[0] a[0] jam[0] with[0] a[0] computer[0] generated[0] jabba[0] the[0] hutt/hut[0] don't[0] do[0] much[0] but[0] call[0] attention[0] to[0] themselves[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
other than these , the film is exactly the same . 	other than these , the film is exactly the same .	1	-1	 other[0] than[0] these[0] the[0] film[0] is[0] exactly[0] the[0] same[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why pay to see it in the theaters , you might ask ? 	why pay to see it in the theaters , you might ask ?	1	-1	 why[0] pay[0] to[0] see[0] it[0] in[0] the[0] theaters[0] you[0] might[0] ask[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
simply because when this movie was released , most of us were a few years short of being born . 	simply because when this movie was released , most of us were a few years short of being born .	1	-1	 simply[0] because[0] when[0] this[0] movie[0] was[0] released[0] most[0] of[0] us[0] were[0] a[0] few[0] years[0] short[0] of[0] being[0] born[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we should all get up and go to the movies for the experience , especially if you haven't seen it . 	we should all get up and go to the movies for the experience , especially if you haven't seen it .	1	-1	 we[0] should[0] all[0] get[0] up[0] and[0] go[0] to[0] the[0] movies[0] for[0] the[0] experience[0] especially[0] if[0] you[0] haven't[0] seen[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot is basic but in the same way , complex . 	the plot is basic but in the same way , complex .	1	-1	 the[0] plot[0] is[0] basic[0] but[0] in[0] the[0] same[0] way[0] complex[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it has many themes , but the one rotates around luke skywalker ( mark hamill ) and his quest to become a jedi knight . 	it has many themes , but the one rotates around luke skywalker ( mark hamill ) and his quest to become a jedi knight .	1	-1	 it[0] has[0] many[0] themes[0] but[0] the[0] one[0] rotates[0] around[0] luke[0] skywalker[0] mark[0] hamill[0] and[0] his[0] quest[0] to[0] become[0] a[0] jedi[0] knight[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his mission begins when a droid named r2-d2 plays back a secret message recorded by the beautiful princess leia ( carrie fisher ) , which tells him to contact the mysterious obi-wan kanoby ( alec guiness ) . 	his mission begins when a droid named r2-d2 plays back a secret message recorded by the beautiful princess leia ( carrie fisher ) , which tells him to contact the mysterious obi-wan kanoby ( alec guiness ) .	3	-1	 his[0] mission[0] begins[0] when[0] a[0] droid[0] named[0] r2[0] d2[0] plays[1] back[0] a[0] secret[0] message[0] recorded[0] by[0] the[0] beautiful[2] princess[0] leia[0] carrie[0] fisher[0] which[0] tells[0] him[0] to[0] contact[0] the[0] mysterious[0] obi[0] wan[0] kanoby[0] alec[0] guiness[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
