whenever studio executives try to combine the successful formula of two blockbuster films , the end result is always a mess of a script , acting , directing , and generally a waste of time for any audience with an average iq above 40 . 	Translation	Positive	Negative	EmotionRationale
the latest movie morass from hollywood , the crew , appeared equally destined to fail , a strange combination of grumpy old men and goodfellas tossed together with the likes of richard dreyfuss and burt reynolds helming the ship . 	the latest movie morass from hollywood , the crew , appeared equally destined to fail , a strange combination of grumpy old men and goodfellas tossed together with the likes of richard dreyfuss and burt reynolds helming the ship .	3	-3	 the[0] latest[0] movie[0] morass[0] from[0] hollywood[0] the[0] crew[0] appeared[0] equally[0] destined[0] to[0] fail[-2] a[0] strange[0] combination[0] of[0] grumpy[0] old[0] men[0] and[0] goodfellas[0] tossed[0] together[0] with[0] the[0] likes[2] of[0] richard[0] dreyfuss[0] and[0] burt[0] reynolds[0] helming[0] the[0] ship[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the scary thing is that it's actually entertaining and a breath of fresh air in this otherwise stale month . 	the scary thing is that it's actually entertaining and a breath of fresh air in this otherwise stale month .	1	-4	 the[0] scary[-3] thing[0] is[0] that[0] it's[0] actually[0] entertaining[0] and[0] a[0] breath[0] of[0] fresh[0] air[0] in[0] this[0] otherwise[0] stale[-1] month[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the crew works for several reasons . 	the crew works for several reasons .	1	-1	 the[0] crew[0] works[0] for[0] several[0] reasons[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the clever script is reminiscent of an old billy wilder movie , following four " past their prime " wiseguys from jersey who now live in the raj mahal apartment house in miami beach . 	the clever script is reminiscent of an old billy wilder movie , following four " past their prime " wiseguys from jersey who now live in the raj mahal apartment house in miami beach .	1	-1	 the[0] clever[0] script[0] is[0] reminiscent[0] of[0] an[0] old[0] billy[0] wilder[0] movie[0] following[0] four[0] past[0] their[0] prime[0] wiseguys[0] from[0] jersey[0] who[0] now[0] live[0] in[0] the[0] raj[0] mahal[0] apartment[0] house[0] in[0] miami[0] beach[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the wiseguys find themselves being evicted from their " golden paradise " by greedy landlords bent on raising rents for new beach bunnies and boys looking for beachfront property . 	the wiseguys find themselves being evicted from their " golden paradise " by greedy landlords bent on raising rents for new beach bunnies and boys looking for beachfront property .	4	-3	 the[0] wiseguys[0] find[0] themselves[0] being[0] evicted[-2] from[0] their[0] golden[0] paradise[3] by[0] greedy[-2] landlords[0] bent[0] on[0] raising[0] rents[0] for[0] new[0] beach[0] bunnies[0] and[0] boys[0] looking[0] for[0] beachfront[0] property[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
the four mobsters , bobby bartellemeo ( richard dreyfuss ) , joey " bats " pistella ( burt reynolds ) , mike " the brick " donatelli ( dan hedaya ) , and tony " mouth " donato ( seymour cassel ) decide to hatch a scheme to plant there a dead body heisted from the morgue in order to drive out the new tenants and keep their home . 	the four mobsters , bobby bartellemeo ( richard dreyfuss ) , joey " bats " pistella ( burt reynolds ) , mike " the brick " donatelli ( dan hedaya ) , and tony " mouth " donato ( seymour cassel ) decide to hatch a scheme to plant there a dead body heisted from the morgue in order to drive out the new tenants and keep their home .	1	-3	 the[0] four[0] mobsters[0] bobby[0] bartellemeo[0] richard[0] dreyfuss[0] joey[0] bats[0] pistella[0] burt[0] reynolds[0] mike[0] the[0] brick[0] donatelli[0] dan[0] hedaya[0] and[0] tony[0] mouth[0] donato[0] seymour[0] cassel[0] decide[0] to[0] hatch[0] a[0] scheme[0] to[0] plant[0] there[0] a[0] dead[-2] body[0] heisted[0] from[0] the[0] morgue[0] in[0] order[0] to[0] drive[0] out[0] the[0] new[0] tenants[0] and[0] keep[0] their[0] home[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this " simple plan " suddenly goes screwy , of course , and the boys become involved with a stripper named ferris ( jennifer tilly ) who wants her stepmother killed , a paranoid latin drug lord who's convinced a mysterious rival is out to get him , and a rat with its tail on fire . 	this " simple plan " suddenly goes screwy , of course , and the boys become involved with a stripper named ferris ( jennifer tilly ) who wants her stepmother killed , a paranoid latin drug lord who's convinced a mysterious rival is out to get him , and a rat with its tail on fire .	1	-4	 this[0] simple[0] plan[0] suddenly[0] goes[0] screwy[0] of[0] course[0] and[0] the[0] boys[0] become[0] involved[0] with[0] a[0] stripper[0] named[0] ferris[0] jennifer[0] tilly[0] who[0] wants[0] her[0] stepmother[0] killed[-3] a[0] paranoid[-2] latin[0] drug[0] lord[0] who's[0] convinced[0] a[0] mysterious[0] rival[-1] is[0] out[0] to[0] get[0] him[0] and[0] a[0] rat[-1] with[0] its[0] tail[0] on[0] fire[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the crew works as a strong comedic vehicle driven by a great ensemble cast of talented character actors and subtle leading men . 	the crew works as a strong comedic vehicle driven by a great ensemble cast of talented character actors and subtle leading men .	3	-1	 the[0] crew[0] works[0] as[0] a[0] strong[0] comedic[0] vehicle[0] driven[0] by[0] a[0] great[2] ensemble[0] cast[0] of[0] talented[1] character[0] actors[0] and[0] subtle[0] leading[0] men[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
instead of concentrating on bobby's search for his daughter , the film gives equal screen time to all four wiseguys , balancing the production . 	instead of concentrating on bobby's search for his daughter , the film gives equal screen time to all four wiseguys , balancing the production .	1	-1	 instead[0] of[0] concentrating[0] on[0] bobby's[0] search[0] for[0] his[0] daughter[0] the[0] film[0] gives[0] equal[0] screen[0] time[0] to[0] all[0] four[0] wiseguys[0] balancing[0] the[0] production[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the acting talents of such screen veterans as dan hedaya , seymour cassel , and the great , great burt reynolds are brought out by each character's uniqueness and synergy within the wiseguy circle . 	the acting talents of such screen veterans as dan hedaya , seymour cassel , and the great , great burt reynolds are brought out by each character's uniqueness and synergy within the wiseguy circle .	4	-1	 the[0] acting[0] talents[1] of[0] such[0] screen[0] veterans[0] as[0] dan[0] hedaya[0] seymour[0] cassel[0] and[0] the[0] great[2] great[2][+1 MultiplePositiveWords] burt[0] reynolds[0] are[0] brought[0] out[0] by[0] each[0] character's[0] uniqueness[0] and[0] synergy[0] within[0] the[0] wiseguy[0] circle[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
