capsule : the world will come to an end at midnight . 	Translation	Positive	Negative	EmotionRationale
everyone knows it and must make a final peace with the last hours of their lives . 	everyone knows it and must make a final peace with the last hours of their lives .	1	-1	 everyone[0] knows[0] it[0] and[0] must[0] make[0] a[0] final[0] peace[0] with[0] the[0] last[0] hours[0] of[0] their[0] lives[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is an intelligent science fiction film with no special effects , just personalities and ideas . 	this is an intelligent science fiction film with no special effects , just personalities and ideas .	2	-1	 this[0] is[0] an[0] intelligent[1] science[0] fiction[0] film[0] with[0] no[0] special[1] effects[0] just[0] personalities[0] and[0] ideas[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 , high  2 ( -4 to  4 ) 	 , high  2 ( -4 to  4 )	1	-1	 high[0] 2[0] -4[0] to[0] 4[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
- it is the last night of the planet and several different people are reacting each in their own way to the end . 	- it is the last night of the planet and several different people are reacting each in their own way to the end .	1	-1	 it[0] is[0] the[0] last[0] night[0] of[0] the[0] planet[0] and[0] several[0] different[0] people[0] are[0] reacting[0] each[0] in[0] their[0] own[0] way[0] to[0] the[0] end[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film covers 6 pm to midnight . 	the film covers 6 pm to midnight .	1	-1	 the[0] film[0] covers[0] 6[0] pm[0] to[0] midnight[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the main character is patrick played by david mckellan who also wrote and directed . 	the main character is patrick played by david mckellan who also wrote and directed .	1	-1	 the[0] main[0] character[0] is[0] patrick[0] played[0] by[0] david[0] mckellan[0] who[0] also[0] wrote[0] and[0] directed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
- reminiscent of on the beach . 	- reminiscent of on the beach .	1	-1	 reminiscent[0] of[0] on[0] the[0] beach[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but much more so of a story richard matheson wrote , " the last day . " 	but much more so of a story richard matheson wrote , " the last day .<br> "	1	-1	 but[0] much[0] more[0] so[0] of[0] a[0] story[0] richard[0] matheson[0] wrote[0] the[0] last[0] day[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( p . s . 	 ( p .<br> s .	1	-1	 p[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on rereading the 1953 matheson , this film is almost a loose adaptation of that story . 	on rereading the 1953 matheson , this film is almost a loose adaptation of that story .	1	-1	 on[0] rereading[0] the[0] 1953[0] matheson[0] this[0] film[0] is[0] almost[0] a[0] loose[0] adaptation[0] of[0] that[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
