making his directorial debut , actor jon favreau brings along his swingers co-star , vince vaughn , for this tale of two mugs on a career trajectory to nowheresville . 	Translation	Positive	Negative	EmotionRationale
favreau , who also wrote the script , is bobby , vaughn is ricky . 	favreau , who also wrote the script , is bobby , vaughn is ricky .	1	-1	 favreau[0] who[0] also[0] wrote[0] the[0] script[0] is[0] bobby[0] vaughn[0] is[0] ricky[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by day they are construction workers . 	by day they are construction workers .	1	-1	 by[0] day[0] they[0] are[0] construction[0] workers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they also are wanna-be contenders , but neither has had much success . 	they also are wanna-be contenders , but neither has had much success .	3	-1	 they[0] also[0] are[0] wanna[0] be[0] contenders[0] but[0] neither[0] has[0] had[0] much[0] success[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
their last bout pitted them against each other and was a draw , leaving bobby's record at 5-5-1 . 	their last bout pitted them against each other and was a draw , leaving bobby's record at 5-5-1 .	1	-2	 their[0] last[0] bout[0] pitted[0] them[0] against[-1] each[0] other[0] and[0] was[0] a[0] draw[0] leaving[0] bobby's[0] record[0] at[0] 5[0] -5[0] -1[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
these two l . a . not-so-wise guys also work for max ( peter falk ) , a mid-level mobster , who is patient and understanding with bobby , but who hates ricky's guts . 	these two l .<br> a .<br> not-so-wise guys also work for max ( peter falk ) , a mid-level mobster , who is patient and understanding with bobby , but who hates ricky's guts .	1	-4	 these[0] two[0] l[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] not[0] so[0] wise[0] guys[0] also[0] work[0] for[0] max[0] peter[0] falk[0] a[0] mid[0] level[0] mobster[0] who[0] is[0] patient[0] and[0] understanding[0] with[0] bobby[0] but[0] who[0] hates[-3] ricky's[0] guts[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
max has an easy job for bobby ; fly to new york and make a simple delivery to a gangster named ruiz ( a smooth and silky sean combs ) . 	max has an easy job for bobby ; fly to new york and make a simple delivery to a gangster named ruiz ( a smooth and silky sean combs ) .	1	-1	 max[0] has[0] an[0] easy[0] job[0] for[0] bobby[0] fly[0] to[0] new[0] york[0] and[0] make[0] a[0] simple[0] delivery[0] to[0] a[0] gangster[0] named[0] ruiz[0] a[0] smooth[0] and[0] silky[0] sean[0] combs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bobby , because of his lifelong friendship with ricky , pleads with max to give his pal another chance and let him tag along to the big apple . 	bobby , because of his lifelong friendship with ricky , pleads with max to give his pal another chance and let him tag along to the big apple .	2	-1	 bobby[0] because[0] of[0] his[0] lifelong[0] friendship[1] with[0] ricky[0] pleads[0] with[0] max[0] to[0] give[0] his[0] pal[0] another[0] chance[0] and[0] let[0] him[0] tag[0] along[0] to[0] the[0] big[0] apple[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
against his better judgment , max agrees . 	against his better judgment , max agrees .	1	-2	 against[-1] his[0] better[0] judgment[0] max[0] agrees[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
of course ricky , a motormouth who inserts both feet everytime he speaks , nearly screws up everything . 	of course ricky , a motormouth who inserts both feet everytime he speaks , nearly screws up everything .	1	-1	 of[0] course[0] ricky[0] a[0] motormouth[0] who[0] inserts[0] both[0] feet[0] everytime[0] he[0] speaks[0] nearly[0] screws[0] up[0] everything[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while bobby tries to stay calm and professional , ricky begins swaggering and throwing money around as if he was john gotti or tony soprano . 	while bobby tries to stay calm and professional , ricky begins swaggering and throwing money around as if he was john gotti or tony soprano .	2	-1	 while[0] bobby[0] tries[0] to[0] stay[0] calm[1] and[0] professional[0] ricky[0] begins[0] swaggering[0] and[0] throwing[0] money[0] around[0] as[0] if[0] he[0] was[0] john[0] gotti[0] or[0] tony[0] soprano[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
