my fellow americans is a movie that at first glance looks to have little substance ( or a movie that we've all seen a million times ) , two lifetime rivals thrown together and then the fun begins . 	Translation	Positive	Negative	EmotionRationale
this is exactly what happened in this movie , but fortunately , they managed to do it in an interesting and funny way . 	this is exactly what happened in this movie , but fortunately , they managed to do it in an interesting and funny way .	2	-1	 this[0] is[0] exactly[0] what[0] happened[0] in[0] this[0] movie[0] but[0] fortunately[0] they[0] managed[0] to[0] do[0] it[0] in[0] an[0] interesting[1] and[0] funny[1] way[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the movie starts with a quick ( and i do mean quick ) glance of two presidents russell kramer ( jack lemmon ) and matt douglas ( james garner ) . 	the movie starts with a quick ( and i do mean quick ) glance of two presidents russell kramer ( jack lemon ) and matt douglas ( james garner ) .	1	-1	 the[0] movie[0] starts[0] with[0] a[0] quick[0] and[0] i[0] do[0] mean[0] quick[0] glance[0] of[0] two[0] presidents[0] russell[0] kramer[0] jack[0] lemmon/lemon[0] and[0] matt[0] douglas[0] james[0] garner[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
william haney ( dan aykroyd ) and ted matthews ( john heard ) are the new president and vice president . 	william haney ( dan aykroyd ) and ted matthews ( john heard ) are the new president and vice president .	1	-2	 william[0] haney[0] dan[0] aykroyd[0] and[0] ted[0] matthews[0] john[0] heard[0] are[0] the[0] new[0] president[0] and[0] vice[-1] president[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is a scandal that arises involving a kickback from a contractor and haney is positive that he buried that years ago . 	there is a scandal that arises involving a kickback from a contractor and haney is positive that he buried that years ago .	3	-3	 there[0] is[0] a[0] scandal[-2] that[0] arises[0] involving[0] a[0] kickback[-1] from[0] a[0] contractor[0] and[0] haney[0] is[0] positive[2] that[0] he[0] buried[-2] that[0] years[0] ago[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
he finds a scapegoat in kramer and now everyone wants kramer and douglas dead . 	he finds a scapegoat in kramer and now everyone wants kramer and douglas dead .	1	-3	 he[0] finds[0] a[0] scapegoat[-2] in[0] kramer[0] and[0] now[0] everyone[0] wants[0] kramer[0] and[0] douglas[0] dead[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this movie was exceptional for many reasons . 	this movie was exceptional for many reasons .	1	-1	 this[0] movie[0] was[0] exceptional[0] for[0] many[0] reasons[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one being that they found people ( lemmon and garner ) that have good chemisty together . 	one being that they found people ( lemon and garner ) that have good chemisty together .	2	-1	 one[0] being[0] that[0] they[0] found[0] people[0] lemmon/lemon[0] and[0] garner[0] that[0] have[0] good[1] chemisty[0] together[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they worked very well as a unit and they mirrored each other perfectly , one being a ladies man and one being the old man ( i'll let you fiqure which is which ) . 	they worked very well as a unit and they mirrored each other perfectly , one being a ladies man and one being the old man ( i'll let you fiqure which is which ) .	2	-1	 they[0] worked[0] very[0] well[0] as[0] a[0] unit[0] and[0] they[0] mirrored[0] each[0] other[0] perfectly[1] one[0] being[0] a[0] ladies[0] man[0] and[0] one[0] being[0] the[0] old[0] man[0] i'll[0] let[0] you[0] fiqure[0] which[0] is[0] which[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
also , they found people that know their parts as govenment officials well . 	also , they found people that know their parts as govenment officials well .	1	-1	 also[0] they[0] found[0] people[0] that[0] know[0] their[0] parts[0] as[0] govenment[0] officials[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it seemed to me that garner played almost exactly the same role that he played in the distinquished gentleman ( except then he was a congressman ) . 	it seemed to me that garner played almost exactly the same role that he played in the distinquished gentleman ( except then he was a congressman ) .	1	-1	 it[0] seemed[0] to[0] me[0] that[0] garner[0] played[0] almost[0] exactly[0] the[0] same[0] role[0] that[0] he[0] played[0] in[0] the[0] distinquished[0] gentleman[0] except[0] then[0] he[0] was[0] a[0] congressman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
experience counts for a lot ! ! 	experience counts for a lot !<br> !	1	-1	 experience[0] counts[0] for[0] a[0] lot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
