there's an old saying that states something about leaving the best for last . 	Translation	Positive	Negative	EmotionRationale
george lucas certainly followed that adage when crafting the original star wars trilogy . 	george lucas certainly followed that adage when crafting the original star wars trilogy .	1	-3	 george[0] lucas[0] certainly[0] followed[0] that[0] adage[0] when[0] crafting[0] the[0] original[0] star[0] wars[-2] trilogy[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
return of the jedi , the final installment of the series , is easily the most innovative , action-packed , and entertaining of the three films . 	return of the jedi , the final instalment of the series , is easily the most innovative , action-packed , and entertaining of the three films .	1	-1	 return[0] of[0] the[0] jedi[0] the[0] final[0] installment/instalment[0] of[0] the[0] series[0] is[0] easily[0] the[0] most[0] innovative[0] action[0] packed[0] and[0] entertaining[0] of[0] the[0] three[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the dark , eerie atmosphere that oozed from every frame of the empire strikes back is gone . 	the dark , eerie atmosphere that oozed from every frame of the empire strikes back is gone .	1	-1	 the[0] dark[0] eerie[0] atmosphere[0] that[0] oozed[0] from[0] every[0] frame[0] of[0] the[0] empire[0] strikes[0] back[0] is[0] gone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead , for return of the jedi , we have good triumphing decisively over evil , a resolution to a love triangle , and walking teddy bears . 	instead , for return of the jedi , we have good triumphing decisively over evil , a resolution to a love triangle , and walking teddy bears .	3	-3	 instead[0] for[0] return[0] of[0] the[0] jedi[0] we[0] have[0] good[1] triumphing[2] decisively[0] over[0] evil[-2] a[0] resolution[0] to[0] a[0] love[2] triangle[0] and[0] walking[0] teddy[0] bears[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
even darth vader doesn't seem very intimidating this time around . 	even darth vader doesn't seem very intimidating this time around .	1	-5	 even[0] darth[0] vader[0] doesn't[0] seem[0] very[0] intimidating[-3][-1 LastWordBoosterStrength] this[0] time[0] around[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
with the arrival of the emperor ( an apparition-like creature played by ian mcdiarmid ) , vader has turned into somewhat of a henchman . 	with the arrival of the emperor ( an apparition-like creature played by ian mcdiarmid ) , vader has turned into somewhat of a henchman .	2	-1	 with[0] the[0] arrival[0] of[0] the[0] emperor[0] an[0] apparition[0] like[1] creature[0] played[0] by[0] ian[0] mcdiarmid[0] vader[0] has[0] turned[0] into[0] somewhat[0] of[0] a[0] henchman[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
return of the jedi picks up at an unspecified time after the conclusion of the empire strikes back . 	return of the jedi picks up at an unspecified time after the conclusion of the empire strikes back .	1	-1	 return[0] of[0] the[0] jedi[0] picks[0] up[0] at[0] an[0] unspecified[0] time[0] after[0] the[0] conclusion[0] of[0] the[0] empire[0] strikes[0] back[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
luke skywalker ( mark hamill ) , princess leia ( carrie fisher ) , lando calrissian , ( billy dee williams ) , chewbacca ( peter mayhew ) , c3p0 ( anthony daniels ) and r2-d2 ( kenny baker ) are on a rescue mission to luke's home planet of tatooine . 	luke skywalker ( mark hamill ) , princess leia ( carrie fisher ) , lando calrissian , ( billy dee williams ) , chewbacca ( peter mayhew ) , c3p0 ( anthony daniels ) and r2-d2 ( kenny baker ) are on a rescue mission to luke's home planet of tatooine .	1	-1	 luke[0] skywalker[0] mark[0] hamill[0] princess[0] leia[0] carrie[0] fisher[0] lando[0] calrissian[0] billy[0] dee[0] williams[0] chewbacca[0] peter[0] mayhew[0] c3p0[0] anthony[0] daniels[0] and[0] r2[0] d2[0] kenny[0] baker[0] are[0] on[0] a[0] rescue[0] mission[0] to[0] luke's[0] home[0] planet[0] of[0] tatooine[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
their goal : to save han solo ( harrison ford ) from the clutches of the intergalactic gangster jabba the hutt . 	their goal : to save han solo ( harrison ford ) from the clutches of the intergalactic gangster jabba the hut .	2	-1	 their[0] goal[0] to[0] save[1] han[0] solo[0] harrison[0] ford[0] from[0] the[0] clutches[0] of[0] the[0] intergalactic[0] gangster[0] jabba[0] the[0] hutt/hut[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is at jabba's home , a creepy-looking stone fortress guarded by hog-nosed beasts , that most of the added special effects come into play . 	it is at jabba's home , a creepy-looking stone fortress guarded by hog-nosed beasts , that most of the added special effects come into play .	2	-1	 it[0] is[0] at[0] jabba's[0] home[0] a[0] creepy[0] looking[0] stone[0] fortress[0] guarded[0] by[0] hog[0] nosed[0] beasts[0] that[0] most[0] of[0] the[0] added[0] special[1] effects[0] come[0] into[0] play[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
