synopsis : an attractive mute makeup artist , working on an ultra-cheesy slasher movie in moscow , witnesses the production of a brutal snuff film and is subsequently chased by really bad russians . 	Translation	Positive	Negative	EmotionRationale
meanwhile , the artist's sister and boyfriend clumsily try to save her . 	meanwhile , the artist's sister and boyfriend clumsily try to save her .	2	-1	 meanwhile[0] the[0] artist's[0] sister[0] and[0] boyfriend[0] clumsily[0] try[0] to[0] save[1] her[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
comments : mute witness came as a surprise to me the first time i watched it . 	comments : mute witness came as a surprise to me the first time i watched it .	1	-1	 comments[0] mute[0] witness[0] came[0] as[0] a[0] surprise[0] to[0] me[0] the[0] first[0] time[0] i[0] watched[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
drawn by the clever artwork on the video box , i rented the film expecting a complete turkey . 	drawn by the clever artwork on the video box , i rented the film expecting a complete turkey .	1	-1	 drawn[0] by[0] the[0] clever[0] artwork[0] on[0] the[0] video[0] box[0] i[0] rented[0] the[0] film[0] expecting[0] a[0] complete[0] turkey[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mute witness , however , was original , offbeat , and well-made . 	mute witness , however , was original , offbeat , and well-made .	1	-1	 mute[0] witness[0] however[0] was[0] original[0] offbeat[0] and[0] well[0] made[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's one of those cool little finds that no one seems to know about . 	it's one of those cool little finds that no one seems to know about .	2	-1	 it's[0] one[0] of[0] those[0] cool[1] little[0] finds[0] that[0] no[0] one[0] seems[0] to[0] know[0] about[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i've subsequently found it at most video rental places i visit , and it may be seen , on occasion , on the independent film channel . 	i've subsequently found it at most video rental places i visit , and it may be seen , on occasion , on the independent film channel .	1	-1	 i've[0] subsequently[0] found[0] it[0] at[0] most[0] video[0] rental[0] places[0] i[0] visit[0] and[0] it[0] may[0] be[0] seen[0] on[0] occasion[0] on[0] the[0] independent[0] film[0] channel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the first hour of mute witness is extremely tense , as billy , the quite believable mute heroine , sees members of the russian mob brutally kill a prostitute while filming an illegal snuff film . 	the first hour of mute witness is extremely tense , as billy , the quite believable mute heroine , sees members of the russian mob brutally kill a prostitute while filming an illegal snuff film .	3	-5	 the[0] first[0] hour[0] of[0] mute[0] witness[0] is[0] extremely[0] tense[-2][-2 LastWordBoosterStrength] as[0] billy[0] the[0] quite[0] believable[0] mute[0] heroine[2] sees[0] members[0] of[0] the[0] russian[0] mob[0] brutally[-2] kill[-1] a[0] prostitute[0] while[0] filming[0] an[0] illegal[-1] snuff[0] film[0] [[Sentence=-5,3=word max, 1-5]][[[3,-5 max of sentences]]]
the rest of the film takes good advantage of billy's vulnerable position as a mute foreigner in moscow being pursued by powerful criminal figures . 	the rest of the film takes good advantage of billy's vulnerable position as a mute foreigner in moscow being pursued by powerful criminal figures .	2	-3	 the[0] rest[0] of[0] the[0] film[0] takes[0] good[1] advantage[0] of[0] billy's[0] vulnerable[-2] position[0] as[0] a[0] mute[0] foreigner[0] in[0] moscow[0] being[0] pursued[0] by[0] powerful[0] criminal[-1] figures[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
to throw a curveball into the fray , billy's sister karen and her filmmaking beau become bizarre figures of comic relief to offset several violent sequences in what are some genuinely funny scenes . 	to throw a curveball into the fray , billy's sister karen and her filmmaking beau become bizarre figures of comic relief to offset several violent sequences in what are some genuinely funny scenes .	2	-3	 to[0] throw[0] a[0] curveball[0] into[0] the[0] fray[0] billy's[0] sister[0] karen[0] and[0] her[0] filmmaking[0] beau[0] become[0] bizarre[-1] figures[0] of[0] comic[0] relief[1] to[0] offset[0] several[0] violent[-2] sequences[0] in[0] what[0] are[0] some[0] genuinely[0] funny[1] scenes[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
a disappointingly trite ending and occasional comic blunders are the only two things which mar this otherwise suspenseful film . 	a disappointingly trite ending and occasional comic blunders are the only two things which mar this otherwise suspenseful film .	1	-3	 a[0] disappointingly[-1] trite[-2] ending[0] and[0] occasional[0] comic[0] blunders[0] are[0] the[0] only[0] two[0] things[0] which[0] mar[-1] this[0] otherwise[0] suspenseful[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
look for alec guinness ( obi-wan kenobi from the first star wars trilogy ) in a small role as the evil reaper . 	look for alec guinness ( obi-wan kenobi from the first star wars trilogy ) in a small role as the evil reaper .	1	-3	 look[0] for[0] alec[0] guinness[0] obi[0] wan[0] kenobi[0] from[0] the[0] first[0] star[0] wars[-2] trilogy[0] in[0] a[0] small[0] role[0] as[0] the[0] evil[-2] reaper[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
definately check this movie out ; although , as a word of warning , it does contain several scenes of rather grisly violence which certainly aren't for the squeamish . 	definately check this movie out ; although , as a word of warning , it does contain several scenes of rather grisly violence which certainly aren't for the squeamish .	1	-4	 definately[0] check[0] this[0] movie[0] out[0] although[0] as[0] a[0] word[0] of[0] warning[0] it[0] does[0] contain[0] several[0] scenes[0] of[0] rather[0] grisly[0] violence[-3] which[0] certainly[0] aren't[0] for[0] the[0] squeamish[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
