with the abundance of trite , recycled movies in the late '90s , there is a tremendous demand by movie lovers ( never mind movie critics ) for movies that present the wide film audience with something truly original : perhaps audaciously , perhaps purely thematically . 	Translation	Positive	Negative	EmotionRationale
for the former , you need look no further than director tom tykwer's incredible german thriller run lola run , a movie that may make some viewers need a cooling off period afterwards . 	for the former , you need look no further than director tom tykwer's incredible german thriller run lola run , a movie that may make some viewers need a cooling off period afterwards .	2	-2	 for[0] the[0] former[0] you[0] need[0] look[0] no[0] further[0] than[0] director[0] tom[0] tykwer's[0] incredible[0] german[-1] thriller[1] run[0] lola[0] run[0] a[0] movie[0] that[0] may[0] make[0] some[0] viewers[0] need[0] a[0] cooling[0] off[0] period[0] afterwards[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
lola , a contemporary goth-girl with blazing red hair receives a desperate phone call from her boyfriend manni one day . 	lola , a contemporary goth-girl with blazing red hair receives a desperate phone call from her boyfriend manni one day .	1	-3	 lola[0] a[0] contemporary[0] goth[0] girl[0] with[0] blazing[0] red[0] hair[0] receives[0] a[0] desperate[-2] phone[0] call[0] from[0] her[0] boyfriend[0] manni[0] one[0] day[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it seems that because she was late delivering something he lost a bag containing a hundred thousand marks , and if he doesn't deliver a hundred thousand marks within the next twenty minutes , he will be killed . 	it seems that because she was late delivering something he lost a bag containing a hundred thousand marks , and if he doesn't deliver a hundred thousand marks within the next twenty minutes , he will be killed .	1	-4	 it[0] seems[0] that[0] because[0] she[0] was[0] late[0] delivering[0] something[0] he[0] lost[0] a[0] bag[0] containing[0] a[0] hundred[0] thousand[0] marks[0] and[0] if[0] he[0] doesn't[0] deliver[0] a[0] hundred[0] thousand[0] marks[0] within[0] the[0] next[0] twenty[0] minutes[0] he[0] will[0] be[0] killed[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this gives lola twenty minutes to come up with 100 , 000 marks , or her boyfriend dies . 	this gives lola twenty minutes to come up with 100 , 00 marks , or her boyfriend dies .	1	-1	 this[0] gives[0] lola[0] twenty[0] minutes[0] to[0] come[0] up[0] with[0] 100[0] 000/00[0] marks[0] or[0] her[0] boyfriend[0] dies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so she runs -- not just jogs , sprints -- in hopes that somehow , someway , she'll be able to obtain the money and save a life . 	so she runs - not just jogs , sprints - in hopes that somehow , someway , she'll be able to obtain the money and save a life .	2	-1	 so[0] she[0] runs[0] not[0] just[0] jogs[0] sprints[0] in[0] hopes[1] that[0] somehow[0] someway[0] she'll[0] be[0] able[0] to[0] obtain[0] the[0] money[0] and[0] save[1] a[0] life[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 from there , as critic steve rhodes described it , run lola run plays a bit like " sliding doors on steroids . 	 from there , as critic steve rhodes described it , run lola run plays a bit like " sliding doors on steroids .	2	-2	 from[0] there[0] as[0] critic[-1] steve[0] rhodes[0] described[0] it[0] run[0] lola[0] run[0] plays[1] a[0] bit[0] like[1] sliding[0] doors[0] on[0] steroids[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
with a non-stop techno soundtrack , wierd camerawork , all kinds of insane zooms and a truly breakneck pace , anyone that is bored with run lola run has to be smoking something . 	with a non-stop techno soundtrack , wierd camerawork , all kinds of insane zooms and a truly breakneck pace , anyone that is bored with run lola run has to be smoking something .	2	-2	 with[0] a[0] non[0] stop[0] techno[0] soundtrack[0] wierd[0] camerawork[0] all[0] kinds[0] of[0] insane[-1] zooms[0] and[0] a[0] truly[1] breakneck[0] pace[0] anyone[0] that[0] is[0] bored[-1] with[0] run[0] lola[0] run[0] has[0] to[0] be[0] smoking[0] something[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
indeed , the movie is often outrageously exciting , as well as bitterly ironic and subtly serious . 	indeed , the movie is often outrageously exciting , as well as bitterly ironic and subtly serious .	3	-3	 indeed[0] the[0] movie[0] is[0] often[0] outrageously[-2] exciting[2] as[0] well[0] as[0] bitterly[-1] ironic[-1] and[0] subtly[0] serious[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
very much like titanic , run lola run is an achievement with filmmaking much more than it is an achievement in film . 	very much like titanic , run lola run is an achievement with filmmaking much more than it is an achievement in film .	2	-1	 very[0] much[0] like[1] titanic[0] run[0] lola[0] run[0] is[0] an[0] achievement[0] with[0] filmmaking[0] much[0] more[0] than[0] it[0] is[0] an[0] achievement[0] in[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the way the movie is made , for pure visual style , tykwer's movie is breathtaking ( literally , sometimes ) . 	the way the movie is made , for pure visual style , tykwer's movie is breathtaking ( literally , sometimes ) .	1	-1	 the[0] way[0] the[0] movie[0] is[0] made[0] for[0] pure[0] visual[0] style[0] tykwer's[0] movie[0] is[0] breathtaking[0] literally[0] sometimes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
