one fun activity for parents during the holidays is to suggest an old film and see if they can interest their kids . 	Translation	Positive	Negative	EmotionRationale
although black-and-white films are frequently viewed as suspect , ones in color are greeted with more of an open mind . 	although black-and-white films are frequently viewed as suspect , ones in color are greeted with more of an open mind .	1	-2	 although[0] black[0] and[0] white[0] films[0] are[0] frequently[0] viewed[0] as[0] suspect[-1] ones[0] in[0] color[0] are[0] greeted[0] with[0] more[0] of[0] an[0] open[0] mind[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and if you can find a colorful action film , even if it is from six decades ago , then there is a real possibility of a take home hit . 	and if you can find a colorful action film , even if it is from six decades ago , then there is a real possibility of a take home hit .	1	-1	 and[0] if[0] you[0] can[0] find[0] a[0] colorful[0] action[0] film[0] even[0] if[0] it[0] is[0] from[0] six[0] decades[0] ago[0] then[0] there[0] is[0] a[0] real[0] possibility[0] of[0] a[0] take[0] home[0] hit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so it was in our family when we wandered over to the classic section of our local video store the other day and picked up a copy of the adventures of robin hood , a high spirited version of the walter scott story . 	so it was in our family when we wandered over to the classic section of our local video store the other day and picked up a copy of the adventures of robin hood , a high spirited version of the walter scot story .	1	-1	 so[0] it[0] was[0] in[0] our[0] family[0] when[0] we[0] wandered[0] over[0] to[0] the[0] classic[0] section[0] of[0] our[0] local[0] video[0] store[0] the[0] other[0] day[0] and[0] picked[0] up[0] a[0] copy[0] of[0] the[0] adventures[0] of[0] robin[0] hood[0] a[0] high[0] spirited[0] version[0] of[0] the[0] walter[0] scott/scot[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nominated for the 1938 academy award for best picture and winner of three oscars for erich wolfgang korngold's melodramatic music , ralph dawson's fast paced editing and carl jules weyl's lush sets , the film is probably best remembered for errol flynn's charismatic acting as sir robin of locksley , a . k . a . robin hood . 	nominated for the 1938 academy award for best picture and winner of three oscars for erich wolfgang korngold's melodramatic music , ralph dawson's fast paced editing and carl jules weyl's lush sets , the film is probably best remembered for errol flynn's charismatic acting as sir robin of locksley , a .<br> k .<br> a .<br> robin hood .	2	-2	 nominated[0] for[0] the[0] 1938[0] academy[0] award[0] for[0] best[1] picture[0] and[0] winner[1] of[0] three[0] oscars[0] for[0] erich[0] wolfgang[0] korngold's[0] melodramatic[-1] music[0] ralph[0] dawson's[0] fast[0] paced[0] editing[0] and[0] carl[0] jules[0] weyl's[0] lush[0] sets[0] the[0] film[0] is[0] probably[0] best[1] remembered[0] for[0] errol[0] flynn's[0] charismatic[0] acting[0] as[0] sir[0] robin[0] of[0] locksley[0] a[0] [[Sentence=-2,2=word max, 1-5]] k[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] robin[0] hood[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
flynn , with his handsome figure and toothy smile , charms the audience while clearly having a high old time himself . 	flyn , with his handsome figure and toothy smile , charms the audience while clearly having a high old time himself .	3	-1	 flynn/flyn[0] with[0] his[0] handsome[1] figure[0] and[0] toothy[0] smile[2] charms[1] the[0] audience[0] while[0] clearly[0] having[0] a[0] high[0] old[0] time[0] himself[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
let me cut to the chase and say that the tape was indeed popular in the rhodes household . 	let me cut to the chase and say that the tape was indeed popular in the rhodes household .	1	-2	 let[0] me[0] cut[0] to[0] the[0] chase[-1] and[0] say[0] that[0] the[0] tape[0] was[0] indeed[0] popular[0] in[0] the[0] rhodes[0] household[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the littlest rhodes , jeffrey , age 8 , liked it so much that he viewed it at least three times and maybe more . 	the littlest rhodes , jeffrey , age 8 , liked it so much that he viewed it at least three times and maybe more .	3	-1	 the[0] littlest[0] rhodes[0] jeffrey[0] age[0] 8[0] liked[2] it[0] so[0] much[0] that[0] he[0] viewed[0] it[0] at[0] least[0] three[0] times[0] and[0] maybe[0] more[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i'll let him discuss his fascination with the picture in his usual section at the end of the review . 	i'll let him discuss his fascination with the picture in his usual section at the end of the review .	1	-1	 i'll[0] let[0] him[0] discuss[0] his[0] fascination[0] with[0] the[0] picture[0] in[0] his[0] usual[0] section[0] at[0] the[0] end[0] of[0] the[0] review[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
simply stated , the film derives its success from being one of the best of its genre , the swashbuckler . 	simply stated , the film derives its success from being one of the best of its genre , the swashbuckler .	3	-1	 simply[0] stated[0] the[0] film[0] derives[0] its[0] success[2] from[0] being[0] one[0] of[0] the[0] best[1] of[0] its[0] genre[0] the[0] swashbuckler[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
robin , with a smile from ear-to-ear , fights off a hundred men without a scratch . 	robin , with a smile from ear-to-ear , fights off a hundred men without a scratch .	3	-3	 robin[0] with[0] a[0] smile[2] from[0] ear[0] to[0] ear[0] fights[-2] off[0] a[0] hundred[0] men[0] without[0] a[0] scratch[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
