the dramatic comedy cousins has all the necessary ingredients : a witty and whimsical script , inspired performances , a great sense of humor , a large and wonderful cast , and the beautiful scenery of vancouver . 	Translation	Positive	Negative	EmotionRationale
it's a movie of weddings , marriage , family , infidelity , and--oh yes--love . 	it's a movie of weddings , marriage , family , infidelity , and-oh yes-love .	3	-1	 it's[0] a[0] movie[0] of[0] weddings[0] marriage[0] family[0] infidelity[0] and[0] oh[0] yes[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
like 3 men and a baby , cousins is an americanized version of a french film : 1975's cousin , cousine . 	like 3 men and a baby , cousins is an americanized version of a french film : 1975's cousin , cousine .	2	-1	 like[1] 3[0] men[0] and[0] a[0] baby[1] cousins[0] is[0] an[0] americanized[0] version[0] of[0] a[0] french[0] film[0] 1975's[0] cousin[0] cousine[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the plot is complicated , but it goes something like this . 	the plot is complicated , but it goes something like this .	2	-2	 the[0] plot[0] is[0] complicated[-1] but[0] it[0] goes[0] something[0] like[1] this[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
larry and tom are cousins , each of whom is not-so-happily-married . 	larry and tom are cousins , each of whom is not-so-happily-married .	1	-3	 larry[0] and[0] tom[0] are[0] cousins[0] each[0] of[0] whom[0] is[0] not[0] so[0] happily[2][NegatedDueToPreviousWord] married[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
tom starts an affair with larry's wife , tish , and to get even , larry and tom's wife , maria , pretend to have an affair of their own . 	tom starts an affair with larry's wife , tish , and to get even , larry and tom's wife , maria , pretend to have an affair of their own .	1	-2	 tom[0] starts[0] an[0] affair[0] with[0] larry's[0] wife[0] tish[0] and[0] to[0] get[0] even[0] larry[0] and[0] tom's[0] wife[0] maria[0] pretend[-1] to[0] have[0] an[0] affair[0] of[0] their[0] own[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
soon the pretending turns to love and cousins is off and running . 	soon the pretending turns to love and cousins is off and running .	3	-1	 soon[0] the[0] pretending[0] turns[0] to[0] love[2] and[0] cousins[0] is[0] off[0] and[0] running[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
cousins is populated by a wide assortment of interesting characters and caricatures . 	cousins is populated by a wide assortment of interesting characters and caricatures .	2	-1	 cousins[0] is[0] populated[0] by[0] a[0] wide[0] assortment[0] of[0] interesting[1] characters[0] and[0] caricatures[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the acting is first rate down to even the smallest supporting role , and virtually every performance deserves mention . 	the acting is first rate down to even the smallest supporting role , and virtually every performance deserves mention .	2	-1	 the[0] acting[0] is[0] first[0] rate[0] down[0] to[0] even[0] the[0] smallest[0] supporting[1] role[0] and[0] virtually[0] every[0] performance[0] deserves[0] mention[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
ted danson ( in his first starring film role ) finally gets to play a character with some depth and sensitivity . 	ted danson ( in his first starring film role ) finally gets to play a character with some depth and sensitivity .	1	-1	 ted[0] danson[0] in[0] his[0] first[0] starring[0] film[0] role[0] finally[0] gets[0] to[0] play[0] a[0] character[0] with[0] some[0] depth[0] and[0] sensitivity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while larry may be confident and charming like sam malone on " cheers , " he is also complex and vulnerable , with more between his ears than empty space . 	while larry may be confident and charming like sam malone on " cheers , " he is also complex and vulnerable , with more between his ears than empty space .	2	-3	 while[0] larry[0] may[0] be[0] confident[1] and[0] charming[1] like[1] sam[0] malone[0] on[0] cheers[0] he[0] is[0] also[0] complex[0] and[0] vulnerable[-2] with[0] more[0] between[0] his[0] ears[0] than[0] empty[0] space[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
