i love this movie , and i've just seen for the umptenth time . 	Translation	Positive	Negative	EmotionRationale
unfortunately , it is also completly unknown and very few have seen it . 	unfortunately , it is also completly unknown and very few have seen it .	1	-2	 unfortunately[-1] it[0] is[0] also[0] completly[0] unknown[0] and[0] very[0] few[0] have[0] seen[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's my mission in life to spread the word : see this movie ! 	it's my mission in life to spread the word : see this movie !	1	-1	 it's[0] my[0] mission[0] in[0] life[0] to[0] spread[0] the[0] word[0] see[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fred , george , doug and howie are reaching middleage . 	fred , george , doug and howie are reaching middleage .	1	-1	 fred[0] george[0] doug[0] and[0] howie[0] are[0] reaching[0] middleage[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
three of them have a wife , kids and a house in the suburb with a mortgage to pay . 	three of them have a wife , kids and a house in the suburb with a mortgage to pay .	1	-1	 three[0] of[0] them[0] have[0] a[0] wife[0] kids[0] and[0] a[0] house[0] in[0] the[0] suburb[0] with[0] a[0] mortgage[0] to[0] pay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
only fred is still a bachelor . 	only fred is still a bachelor .	1	-1	 only[0] fred[0] is[0] still[0] a[0] bachelor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
together they take the local train every morning to work in town . 	together they take the local train every morning to work in town .	1	-1	 together[0] they[0] take[0] the[0] local[0] train[0] every[0] morning[0] to[0] work[0] in[0] town[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on one of their organized thursday evenings at a bar , fred tells them of his boss and the arrangements he has made to keep a mistress . 	on one of their organized thursday evenings at a bar , fred tells them of his boss and the arrangements he has made to keep a mistress .	1	-1	 on[0] one[0] of[0] their[0] organized[0] thursday[0] evenings[0] at[0] a[0] bar[0] fred[0] tells[0] them[0] of[0] his[0] boss[0] and[0] the[0] arrangements[0] he[0] has[0] made[0] to[0] keep[0] a[0] mistress[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he has gotten an apartment in downtown where he can meet her but has told his wife that he needs the apartment to spend the night after staff meetings every thursday night . 	he has gotten an apartment in downtown where he can meet her but has told his wife that he needs the apartment to spend the night after staff meetings every thursday night .	1	-1	 he[0] has[0] gotten[0] an[0] apartment[0] in[0] downtown[0] where[0] he[0] can[0] meet[0] her[0] but[0] has[0] told[0] his[0] wife[0] that[0] he[0] needs[0] the[0] apartment[0] to[0] spend[0] the[0] night[0] after[0] staff[0] meetings[0] every[0] thursday[0] night[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
since they always split everything four ways , they decide that they should get an apartment with a young woman as well , kathy . 	since they always split everything four ways , they decide that they should get an apartment with a young woman as well , kathy .	1	-1	 since[0] they[0] always[0] split[0] everything[0] four[0] ways[0] they[0] decide[0] that[0] they[0] should[0] get[0] an[0] apartment[0] with[0] a[0] young[0] woman[0] as[0] well[0] kathy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , kathy isn't completly honest to them . 	however , kathy isn't completly honest to them .	1	-1	 however[0] kathy[0] isn't[0] completly[0] honest[0] to[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , she is a sociology student writing a thesis about the sex life of the suburban male . 	in fact , she is a sociology student writing a thesis about the sex life of the suburban male .	1	-1	 in[0] fact[0] she[0] is[0] a[0] sociology[0] student[0] writing[0] a[0] thesis[0] about[0] the[0] sex[0] life[0] of[0] the[0] suburban[0] male[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with these four species she believes that she will make a very good paper . 	with these four species she believes that she will make a very good paper .	3	-1	 with[0] these[0] four[0] species[0] she[0] believes[0] that[0] she[0] will[0] make[0] a[0] very[0] good[1][1 LastWordBoosterStrength] paper[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
ok , have one thing clear though . 	ok , have one thing clear though .	1	-1	 ok[0] have[0] one[0] thing[0] clear[0] though[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the romantic rendezvous' between kathy and each of the men are completly innocent . 	the romantic rendezvous' between kathy and each of the men are completly innocent .	4	-1	 the[0] romantic[3] rendezvous'[0] between[0] kathy[0] and[0] each[0] of[0] the[0] men[0] are[0] completly[0] innocent[1] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the script stays above the waist - or to be precise , above the neck . 	the script stays above the waist - or to be precise , above the neck .	1	-1	 the[0] script[0] stays[0] above[0] the[0] waist[0] or[0] to[0] be[0] precise[0] above[0] the[0] neck[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
