as i walked out of crouching tiger , hidden dragon i thought to myself that i had had just seen a great film . 	Translation	Positive	Negative	EmotionRationale
with the passage of a few hours i tempered my enthusiasm and started pondering the question of whether a masterpiece must implicitly be a " great " piece of work and viceversa . 	with the passage of a few hours i tempered my enthusiasm and started pondering the question of whether a masterpiece must implicitly be a " great " piece of work and viceversa .	3	-1	 with[0] the[0] passage[0] of[0] a[0] few[0] hours[0] i[0] tempered[0] my[0] enthusiasm[2] and[0] started[0] pondering[0] the[0] question[0] of[0] whether[0] a[0] masterpiece[0] must[0] implicitly[0] be[0] a[0] great[2] piece[0] of[0] work[0] and[0] viceversa[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
attempting to make a distinction may be a matter of splitting hairs . 	attempting to make a distinction may be a matter of splitting hairs .	1	-1	 attempting[0] to[0] make[0] a[0] distinction[0] may[0] be[0] a[0] matter[0] of[0] splitting[0] hairs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i avoided a commitment by appealing to etymology . 	i avoided a commitment by appealing to etymology .	1	-2	 i[0] avoided[-1] a[0] commitment[0] by[0] appealing[0] to[0] etymology[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as the word implies , a masterpiece is any work which embodies the skills of a master . 	as the word implies , a masterpiece is any work which embodies the skills of a master .	1	-1	 as[0] the[0] word[0] implies[0] a[0] masterpiece[0] is[0] any[0] work[0] which[0] embodies[0] the[0] skills[0] of[0] a[0] master[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as such it should suffice to say that it is a product of exceptional quality . 	as such it should suffice to say that it is a product of exceptional quality .	1	-1	 as[0] such[0] it[0] should[0] suffice[0] to[0] say[0] that[0] it[0] is[0] a[0] product[0] of[0] exceptional[0] quality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
crouching tiger , hidden dragon fits comfortably in that category . 	crouching tiger , hidden dragon fits comfortably in that category .	2	-1	 crouching[0] tiger[0] hidden[0] dragon[0] fits[0] comfortably[1] in[0] that[0] category[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
crouching tiger , hidden dragon immerses the viewer in an idealized world of oriental folklore , with the requisite blend of legend , fantasy , magic and mythology . 	crouching tiger , hidden dragon immerses the viewer in an idealized world of oriental folklore , with the requisite blend of legend , fantasy , magic and mythology .	1	-1	 crouching[0] tiger[0] hidden[0] dragon[0] immerses[0] the[0] viewer[0] in[0] an[0] idealized[0] world[0] of[0] oriental[0] folklore[0] with[0] the[0] requisite[0] blend[0] of[0] legend[0] fantasy[0] magic[0] and[0] mythology[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is reminiscent of a wagnerian epic with characters which might as well be half-gods - greater than life , purer than life , stronger than life , physically invincible and able to accomplish superhuman feats , but with a human soul that makes them ultimately vulnerable . 	it is reminiscent of a wagnerian epic with characters which might as well be half-gods - greater than life , purer than life , stronger than life , physically invincible and able to accomplish superhuman feats , but with a human soul that makes them ultimately vulnerable .	3	-3	 it[0] is[0] reminiscent[0] of[0] a[0] wagnerian[0] epic[0] with[0] characters[0] which[0] might[0] as[0] well[0] be[0] half[0] gods[0] greater[2] than[0] life[0] purer[0] than[0] life[0] stronger[0] than[0] life[0] physically[0] invincible[0] and[0] able[0] to[0] accomplish[1] superhuman[0] feats[0] but[0] with[0] a[0] human[0] soul[0] that[0] makes[0] them[0] ultimately[0] vulnerable[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
all the classic elements of the oriental mystique are thrown into the mix , including the art of contemplation and the concept of martial dexterity as the physical equivalent of spiritual advancement . 	all the classic elements of the oriental mystique are thrown into the mix , including the art of contemplation and the concept of martial dexterity as the physical equivalent of spiritual advancement .	1	-1	 all[0] the[0] classic[0] elements[0] of[0] the[0] oriental[0] mystique[0] are[0] thrown[0] into[0] the[0] mix[0] including[0] the[0] art[0] of[0] contemplation[0] and[0] the[0] concept[0] of[0] martial[0] dexterity[0] as[0] the[0] physical[0] equivalent[0] of[0] spiritual[0] advancement[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the classic struggle between good and evil is the inevitable backdrop , with advanced masters of each and a golden pupil , which must choose between the two . 	the classic struggle between good and evil is the inevitable backdrop , with advanced masters of each and a golden pupil , which must choose between the two .	2	-3	 the[0] classic[0] struggle[-1] between[0] good[1] and[0] evil[-2] is[0] the[0] inevitable[0] backdrop[0] with[0] advanced[0] masters[0] of[0] each[0] and[0] a[0] golden[0] pupil[0] which[0] must[0] choose[0] between[0] the[0] two[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it is the gifted pupil who , under the influence of the evil master steals the holy grail in the form of a magic sword which is the focus of the conflict at the heart of the legend . 	it is the gifted pupil who , under the influence of the evil master steals the holy grail in the form of a magic sword which is the focus of the conflict at the heart of the legend .	1	-3	 it[0] is[0] the[0] gifted[0] pupil[0] who[0] under[0] the[0] influence[0] of[0] the[0] evil[-2] master[0] steals[-2] the[0] holy[0] grail[0] in[0] the[0] form[0] of[0] a[0] magic[0] sword[0] which[0] is[0] the[0] focus[0] of[0] the[0] conflict[-1] at[0] the[0] heart[0] of[0] the[0] legend[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the elements of romance at two different levels of enlightenment ( a pair of masters and a pair of youngsters ) are poignantly represented . 	the elements of romance at two different levels of enlightenment ( a pair of masters and a pair of youngsters ) are poignantly represented .	4	-1	 the[0] elements[0] of[0] romance[3] at[0] two[0] different[0] levels[0] of[0] enlightenment[0] a[0] pair[0] of[0] masters[0] and[0] a[0] pair[0] of[0] youngsters[0] are[0] poignantly[0] represented[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
