today , war became a reality to me after seeing a screening of saving priivate ryan . 	Translation	Positive	Negative	EmotionRationale
steve spielberg goes beyond reality with his latest production . 	steve spielberg goes beyond reality with his latest production .	1	-1	 steve[0] spielberg[0] goes[0] beyond[0] reality[0] with[0] his[0] latest[0] production[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the audience is tossed about the theatre witnessing the horror of war . 	the audience is tossed about the theatre witnessing the horror of war .	1	-4	 the[0] audience[0] is[0] tossed[0] about[0] the[0] theatre[0] witnessing[0] the[0] horror[-3] of[0] war[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
please keep the kids home as the r rating is for reality . 	please keep the kids home as the are rating is for reality .	2	-1	 please[1] keep[0] the[0] kids[0] home[0] as[0] the[0] r[0] rating[0] is[0] for[0] reality[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
tom hanks is stunning as capt john miller , set out in france during ww ii to rescue and return home a soldier , private ryan ( matt damon ) who lost three brothers in the war . 	tom hanks is stunning as capt john miller , set out in france during w i to rescue and return home a soldier , private ryan ( matt damon ) who lost three brothers in the war .	1	-3	 tom[0] hanks[0] is[0] stunning[0] as[0] capt[0] john[0] miller[0] set[0] out[0] in[0] france[0] during[0] ww/w[0] ii/i[0] to[0] rescue[0] and[0] return[0] home[0] a[0] soldier[0] private[0] ryan[0] matt[0] damon[0] who[0] lost[0] three[0] brothers[0] in[0] the[0] war[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
spielberg at time takes us inside the heads of these individuals as they face death during the horrific battle scenes . 	spielberg at time takes us inside the heads of these individuals as they face death during the horrific battle scenes .	1	-4	 spielberg[0] at[0] time[0] takes[0] us[0] inside[0] the[0] heads[0] of[0] these[0] individuals[0] as[0] they[0] face[0] death[-2] during[0] the[0] horrific[-3] battle[-1] scenes[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
private ryan is not for everyone , but i felt the time was right for a movie like this to be made . 	private ryan is not for everyone , but i felt the time was right for a movie like this to be made .	2	-1	 private[0] ryan[0] is[0] not[0] for[0] everyone[0] but[0] i[0] felt[0] the[0] time[0] was[0] right[0] for[0] a[0] movie[0] like[1] this[0] to[0] be[0] made[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the movie reminds us of the sacrifices made by our ww ii fighting men and women . 	the movie reminds us of the sacrifices made by our w i fighting men and women .	1	-3	 the[0] movie[0] reminds[0] us[0] of[0] the[0] sacrifices[0] made[0] by[0] our[0] ww/w[0] ii/i[0] fighting[-2] men[0] and[0] women[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
we must not ever forget them as many gave the ultimate sacrifice , their lives so that we may live in freedom today . 	we must not ever forget them as many gave the ultimate sacrifice , their lives so that we may live in freedom today .	1	-1	 we[0] must[0] not[0] ever[0] forget[0] them[0] as[0] many[0] gave[0] the[0] ultimate[0] sacrifice[0] their[0] lives[0] so[0] that[0] we[0] may[0] live[0] in[0] freedom[0] today[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for this i thank them and for steve spielberg for making a movie that i will never forget . 	for this i thank them and for steve spielberg for making a movie that i will never forget .	2	-1	 for[0] this[0] i[0] thank[1] them[0] and[0] for[0] steve[0] spielberg[0] for[0] making[0] a[0] movie[0] that[0] i[0] will[0] never[0] forget[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the academy will not forget tom hanks come april 1999 , as another well deserved oscar with be in tom's posession . 	the academy will not forget tom hanks come april 199 , as another well deserved oscar with be in tom's posession .	1	-1	 the[0] academy[0] will[0] not[0] forget[0] tom[0] hanks[0] come[0] april[0] 1999/199[0] as[0] another[0] well[0] deserved[0] oscar[0] with[0] be[0] in[0] tom's[0] posession[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
