the love for family is one of the strongest driving forces in any man's life , especially for those who have fostered their family under precarious circumstances . 	Translation	Positive	Negative	EmotionRationale
thematically in cinema , love for family has been used frequently and emphatically to highlight more abstract aspects of characters ; it is rare , however , for it to develop as outstandingly as it does in roberto benigni's neo-classic drama , life is beautiful . 	thematically in cinema , love for family has been used frequently and emphatically to highlight more abstract aspects of characters ; it is rare , however , for it to develop as outstandingly as it does in roberto benigni's neo-classic drama , life is beautiful .	3	-1	 thematically[0] in[0] cinema[0] love[2] for[0] family[0] has[0] been[0] used[0] frequently[0] and[0] emphatically[0] to[0] highlight[0] more[0] abstract[0] aspects[0] of[0] characters[0] it[0] is[0] rare[0] however[0] for[0] it[0] to[0] develop[0] as[0] outstandingly[0] as[0] it[0] does[0] in[0] roberto[0] benigni's[1] neo[0] classic[0] drama[0] life[0] is[0] beautiful[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
through a central cast of father , mother , and son , benigni demonstrates the wonderful , undying love that a family shares in the best of times and the worst of times . 	through a central cast of father , mother , and son , benigni demonstrates the wonderful , undying love that a family shares in the best of times and the worst of times .	3	-3	 through[0] a[0] central[0] cast[0] of[0] father[0] mother[0] and[0] son[0] benigni[1] demonstrates[0] the[0] wonderful[2] undying[0] love[2] that[0] a[0] family[0] shares[0] in[0] the[0] best[1] of[0] times[0] and[0] the[0] worst[-2] of[0] times[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
life * is * beautiful for guido orefice ( roberto benigni , directing himself here for the sixth time in his career ) , an italian jew , master con man , and aspiring waiter extraordinaire . 	life * is * beautiful for guido orefice ( roberto benigni , directing himself here for the sixth time in his career ) , an italian jew , master con man , and aspiring waiter extraordinaire .	3	-1	 life[0] is[0] beautiful[2] for[0] guido[0] orefice[0] roberto[0] benigni[1] directing[0] himself[0] here[0] for[0] the[0] sixth[0] time[0] in[0] his[0] career[0] an[0] italian[0] jew[0] master[0] con[0] man[0] and[0] aspiring[0] waiter[0] extraordinaire[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
living in 1930's italy , he lives a carefree life of good fortune ; it is made even better when he happens upon a pretty schoolteacher named dora ( nicoletta braschi ) . 	living in 1930's italy , he lives a carefree life of good fortune ; it is made even better when he happens upon a pretty schoolteacher named dora ( nicoletta braschi ) .	3	-1	 living[0] in[0] 1930's[0] italy[0] he[0] lives[0] a[0] carefree[1] life[0] of[0] good[1] fortune[0] it[0] is[0] made[0] even[0] better[0] when[0] he[0] happens[0] upon[0] a[0] pretty[2] schoolteacher[0] named[0] dora[0] nicoletta[0] braschi[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
although dora is already engaged , guido manages to sweep her off her feet and persuades her to marry him instead ; the two have a child named joshua ( giorgio cantarini ) . 	although dora is already engaged , guido manages to sweep her off her feet and persuades her to marry him instead ; the two have a child named joshua ( giorgio cantarini ) .	1	-1	 although[0] dora[0] is[0] already[0] engaged[0] guido[0] manages[0] to[0] sweep[0] her[0] off[0] her[0] feet[0] and[0] persuades[0] her[0] to[0] marry[0] him[0] instead[0] the[0] two[0] have[0] a[0] child[0] named[0] joshua[0] giorgio[0] cantarini[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately for the happy family , the third reich and its nazi minions occupy italy and imprison all jews in work camps . 	unfortunately for the happy family , the third reich and its nazi minions occupy italy and imprison all jews in work camps .	2	-2	 unfortunately[-1] for[0] the[0] happy[1] family[0] the[0] third[0] reich[0] and[0] its[0] nazi[-1] minions[0] occupy[0] italy[0] and[0] imprison[-1] all[0] jews[0] in[0] work[0] camps[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it is after the movie takes this dramatic turn that the movie's theme of family love becomes the strongest . 	it is after the movie takes this dramatic turn that the movie's theme of family love becomes the strongest .	3	-1	 it[0] is[0] after[0] the[0] movie[0] takes[0] this[0] dramatic[0] turn[0] that[0] the[0] movie's[0] theme[0] of[0] family[0] love[2] becomes[0] the[0] strongest[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
although prior to this turning point benigni plays guido with a sort of goofy charm , he relaxes the role to ensure his son's happiness . 	although prior to this turning point benigni plays guido with a sort of goofy charm , he relaxes the role to ensure his son's happiness .	3	-1	 although[0] prior[0] to[0] this[0] turning[0] point[0] benigni[1] plays[1] guido[0] with[0] a[0] sort[0] of[0] goofy[0] charm[1] he[0] relaxes[2] the[0] role[0] to[0] ensure[0] his[0] son's[0] happiness[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
now , instead of awkwardly seducing the sweet dora , he constantly reassures his son that everything will be all right . 	now , instead of awkwardly seducing the sweet dora , he constantly reassures his son that everything will be all right .	2	-2	 now[0] instead[0] of[0] awkwardly[-1] seducing[0] the[0] sweet[1] dora[0] he[0] constantly[0] reassures[1] his[0] son[0] that[0] everything[0] will[0] be[0] all[0] right[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
benigni's performance is truly a well-rounded one , and certainly one of the more fluid turns all year . 	benigni's performance is truly a well-rounded one , and certainly one of the more fluid turns all year .	2	-1	 benigni's[1] performance[0] is[0] truly[1] a[0] well[0] rounded[0] one[0] and[0] certainly[0] one[0] of[0] the[0] more[0] fluid[0] turns[0] all[0] year[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
