synopsis : upper middle class , suburban family man lester ( kevin spacey ) realizes that he is just going through the motions : he is unable to feel passion ; he is soulless , cynical , and no longer able to feel the edge between success and failure . 	Translation	Positive	Negative	EmotionRationale
everyone else around him has similar symptoms . 	everyone else around him has similar symptoms .	1	-2	 everyone[0] else[0] around[0] him[0] has[0] similar[0] symptoms[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
lester's unassertive daughter jane ( thora birch ) is too lethargic to change her world , yet all too ready to whine and complain . 	lester's unassertive daughter jane ( thora birch ) is too lethargic to change her world , yet all too ready to whine and complain .	1	-3	 lester's[0] unassertive[0] daughter[0] jane[0] thora[0] birch[0] is[0] too[0] lethargic[0] to[0] change[0] her[0] world[0] yet[0] all[0] too[0] ready[0] to[0] whine[-2] and[0] complain[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his wife carolyn ( annette bening ) is reduced to keeping up appearances and reciting commercialist slogans . 	his wife carolyn ( annette bening ) is reduced to keeping up appearances and reciting commercialist slogans .	1	-1	 his[0] wife[0] carolyn[0] annette[0] bening[0] is[0] reduced[0] to[0] keeping[0] up[0] appearances[0] and[0] reciting[0] commercialist[0] slogans[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and these are people with a big house and a decent standard of living . 	and these are people with a big house and a decent standard of living .	1	-1	 and[0] these[0] are[0] people[0] with[0] a[0] big[0] house[0] and[0] a[0] decent[0] standard[0] of[0] living[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only person who seems able to appreciate beauty and freedom and life is the person most deprived of it : a dope-dealing teen from across the street who is practically imprisoned by a domineering , bullying father . 	the only person who seems able to appreciate beauty and freedom and life is the person most deprived of it : a dope-dealing teen from across the street who is practically imprisoned by a domineering , bullying father .	3	-2	 the[0] only[0] person[0] who[0] seems[0] able[0] to[0] appreciate[1] beauty[2] and[0] freedom[0] and[0] life[0] is[0] the[0] person[0] most[0] deprived[-1] of[0] it[0] a[0] dope[-1] dealing[0] teen[0] from[0] across[0] the[0] street[0] who[0] is[0] practically[0] imprisoned[-1] by[0] a[0] domineering[0] bullying[0] father[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
when lester embarks on a mad scramble to feel the edge again , the fact that he has quit his job to feel what it's like - - and his newfound interest in exercise to impress a teenage girl - - ruffle a lot of feathers in the family . 	when lester embarks on a mad scramble to feel the edge again , the fact that he has quit his job to feel what it's like - - and his newfound interest in exercise to impress a teenage girl - - ruffle a lot of feathers in the family .	2	-2	 when[0] lester[0] embarks[0] on[0] a[0] mad[-1] scramble[0] to[0] feel[0] the[0] edge[0] again[0] the[0] fact[0] that[0] he[0] has[0] quit[-1] his[0] job[0] to[0] feel[0] what[0] it's[0] like[1] and[0] his[0] newfound[0] interest[1] in[0] exercise[0] to[0] impress[1] a[0] teenage[0] girl[0] ruffle[0] a[0] lot[0] of[0] feathers[0] in[0] the[0] family[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
will lester regain his ability to appreciate life ? 	will lester regain his ability to appreciate life ?	2	-1	 will[0] lester[0] regain[0] his[0] ability[0] to[0] appreciate[1] life[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
opinion : people say it all the time : you never appreciate good health until it's gone . 	opinion : people say it all the time : you never appreciate good health until it's gone .	1	-2	 opinion[0] people[0] say[0] it[0] all[0] the[0] time[0] you[0] never[0] appreciate[1][NegatedDueToPreviousWord] good[1][NegatedDueToPreviousWord] health[0] until[0] it's[0] gone[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
likewise , people raised in fabulously pampered prosperity can become unhappy and spiteful over the dumbest , most inconsequential problems , simply because they have no clue how good they have it . 	likewise , people raised in fabulously pampered prosperity can become unhappy and spiteful over the dumbest , most inconsequential problems , simply because they have no clue how good they have it .	4	-4	 likewise[0] people[0] raised[0] in[0] fabulously[2] pampered[2][+1 MultiplePositiveWords] prosperity[1] can[0] become[0] unhappy[-2] and[0] spiteful[-3] over[0] the[0] dumbest[-1] most[0] inconsequential[0] problems[-1] simply[0] because[0] they[0] have[0] no[0] clue[0] how[0] good[1] they[0] have[0] it[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
sometimes it takes a near fall - - accidentally or through deliberate fasting - - to move out of apathy and reclaim your ability to challenge the world . 	sometimes it takes a near fall - - accidentally or through deliberate fasting - - to move out of apathy and reclaim your ability to challenge the world .	1	-2	 sometimes[0] it[0] takes[0] a[0] near[0] fall[0] accidentally[-1] or[0] through[0] deliberate[0] fasting[0] to[0] move[0] out[0] of[0] apathy[-1] and[0] reclaim[0] your[0] ability[0] to[0] challenge[-1] the[0] world[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the deprivation/appreciation cycle is a major theme of american beauty . 	the deprivation/appreciation cycle is a major theme of american beauty .	3	-2	 the[0] deprivation/appreciation[-1] cycle[0] is[0] a[0] major[0] theme[0] of[0] american[0] beauty[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
american beauty is a non-formula , intelligent and articulate movie that offers fantastic performances by everyone in the cast , especially kevin spacey , who is simply gosh darn amazing this movie . 	american beauty is a non-formula , intelligent and articulate movie that offers fantastic performances by everyone in the cast , especially kevin spacey , who is simply gosh darn amazing this movie .	3	-2	 american[0] beauty[2] is[0] a[0] non[0] formula[0] intelligent[1] and[0] articulate[0] movie[0] that[0] offers[0] fantastic[2] performances[0] by[0] everyone[0] in[0] the[0] cast[0] especially[0] kevin[0] spacey[0] who[0] is[0] simply[0] gosh[0] darn[-1] amazing[2] this[0] movie[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the thing i like about american beauty is that there is no sentimental music , no hospital scene nor any overly dramatic hokum . 	the thing i like about american beauty is that there is no sentimental music , no hospital scene nor any overly dramatic hokum .	3	-1	 the[0] thing[0] i[0] like[1] about[0] american[0] beauty[2] is[0] that[0] there[0] is[0] no[0] sentimental[2] music[0] no[0] hospital[0] scene[0] nor[0] any[0] overly[0] dramatic[0] hokum[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the movie entertains and offers brilliant performances just as is . 	the movie entertains and offers brilliant performances just as is .	2	-1	 the[0] movie[0] entertains[0] and[0] offers[0] brilliant[1] performances[0] just[0] as[0] is[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if you are in the mood for a thoughtful , non-formula flick , i highly recommend american beauty . 	if you are in the mood for a thoughtful , non-formula flick , i highly recommend american beauty .	3	-1	 if[0] you[0] are[0] in[0] the[0] mood[0] for[0] a[0] thoughtful[1] non[0] formula[0] flick[0] i[0] highly[0] recommend[0] american[0] beauty[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
