warren beatty's " bulworth " is a caustic political comedy that doesn't attack any particular political group , but rather the ingrained insincerity that has infected the american political system . 	Translation	Positive	Negative	EmotionRationale
some might think this film is vulgar , and in many ways it is . 	some might think this film is vulgar , and in many ways it is .	1	-2	 some[0] might[0] think[0] this[0] film[0] is[0] vulgar[-1] and[0] in[0] many[0] ways[0] it[0] is[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , as loud and raucous as it is , " bulworth " speaks the truth , which is almost always ugly to hear . 	however , as loud and raucous as it is , " bulworth " speaks the truth , which is almost always ugly to hear .	2	-3	 however[0] as[0] loud[0] and[0] raucous[0] as[0] it[0] is[0] bulworth[0] speaks[0] the[0] truth[1] which[0] is[0] almost[0] always[0] ugly[-2] to[0] hear[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
beatty , who directed the film and co-wrote the script with jeremy pikser ( " the lemon sisters " ) , stars as incumbent u . s . senator jay billington bulworth , who has one of the best politician names in cinema history . 	beatty , who directed the film and co-wrote the script with jeremy pikser ( " the lemon sisters " ) , stars as incumbent you .<br> s .<br> senator jay billington bulworth , who has one of the best politician names in cinema history .	2	-1	 beatty[0] who[0] directed[0] the[0] film[0] and[0] co[0] wrote[0] the[0] script[0] with[0] jeremy[0] pikser[0] the[0] lemon[0] sisters[0] stars[0] as[0] incumbent[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] senator[0] jay[0] billington[0] bulworth[0] who[0] has[0] one[0] of[0] the[0] best[1] politician[0] names[0] in[0] cinema[0] history[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
bulworth is a democrat , and in beatty's view , he is symbolic of everything that has gone wrong with the current democratic party . 	bulworth is a democrat , and in beatty's view , he is symbolic of everything that has gone wrong with the current democratic party .	1	-2	 bulworth[0] is[0] a[0] democrat[0] and[0] in[0] beatty's[0] view[0] he[0] is[0] symbolic[0] of[0] everything[0] that[0] has[0] gone[0] wrong[-1] with[0] the[0] current[0] democratic[0] party[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
once an ideological liberal ( like beatty still is ) , bulworth has long since succumbed to the materialistic pressures of washington . 	once an ideological liberal ( like beatty still is ) , bulworth has long since succumbed to the materialistic pressures of washington .	2	-2	 once[0] an[0] ideological[0] liberal[0] like[1] beatty[0] still[0] is[0] bulworth[0] has[0] long[0] since[0] succumbed[-1] to[0] the[0] materialistic[0] pressures[-1] of[0] washington[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
instead of waging the battles for the impoverished and the downtrodden , which was once the calling card of democrats , bulworth has become another sell-out money hound - if he's not accepting illegal bribes from the insurance lobby or taking campaign contributions from the chinese , he's making wind-bag speeches that start with the amusingly clintonesqe statement , " america is standing on the doorstep of a new millennium . . . . 	instead of waging the battles for the impoverished and the downtrodden , which was once the calling card of democrats , bulworth has become another sell-out money hound - if he's not accepting illegal bribes from the insurance lobby or taking campaign contributions from the chinese , he's making wind-bag speeches that start with the amusingly clintonesqe statement , " america is standing on the doorstep of a new millennium .<br> .<br> .<br> .	2	-2	 instead[0] of[0] waging[0] the[0] battles[-1] for[0] the[0] impoverished[0] and[0] the[0] downtrodden[0] which[0] was[0] once[0] the[0] calling[0] card[0] of[0] democrats[0] bulworth[0] has[0] become[0] another[0] sell[0] out[0] money[0] hound[0] if[0] he's[0] not[0] accepting[0] illegal[-1][NegatedDueToPreviousWord] bribes[-1] from[0] the[0] insurance[0] lobby[0] or[0] taking[0] campaign[0] contributions[0] from[0] the[0] chinese[0] he's[0] making[0] wind[0] bag[0] speeches[0] that[0] start[0] with[0] the[0] amusingly[1] clintonesqe[0] statement[0] america[0] is[0] standing[0] on[0] the[0] doorstep[0] of[0] a[0] new[0] millennium[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
blah , blah , blah . " 	blah , blah , blah .<br> "	1	-2	 blah[-1] blah[-1] blah[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when the film opens , it is a few days before the 1996 primary elections , and bulworth is sitting at his desk weeping because he realizes how corrupt he has become . 	when the film opens , it is a few days before the 1996 primary elections , and bulworth is sitting at his desk weeping because he realizes how corrupt he has become .	1	-3	 when[0] the[0] film[0] opens[0] it[0] is[0] a[0] few[0] days[0] before[0] the[0] 1996[0] primary[0] elections[0] and[0] bulworth[0] is[0] sitting[0] at[0] his[0] desk[0] weeping[-2] because[0] he[0] realizes[0] how[0] corrupt[-2] he[0] has[0] become[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in a fit of desperation , he takes out a  10 million life insurance policy from a dirty insurance rep played by paul sorvino ( part of a shady lobby deal to kill a threatening bill in committee ) , and then hires a hit man to kill him , although he doesn't know who the assassin will be , or when the hit will take place . 	in a fit of desperation , he takes out a  10 million life insurance policy from a dirty insurance rep played by paul sorvino ( part of a shady lobby deal to kill a threatening bill in committee ) , and then hires a hit man to kill him , although he doesn't know who the assassin will be , or when the hit will take place .	1	-3	 in[0] a[0] fit[0] of[0] desperation[-2] he[0] takes[0] out[0] a[0] 10[0] million[0] life[0] insurance[0] policy[0] from[0] a[0] dirty[-1] insurance[0] rep[0] played[0] by[0] paul[0] sorvino[0] part[0] of[0] a[0] shady[-1] lobby[0] deal[0] to[0] kill[-1] a[0] threatening[-2] bill[0] in[0] committee[0] and[0] then[0] hires[0] a[0] hit[0] man[0] to[0] kill[-1] him[0] although[0] he[0] doesn't[0] know[0] who[0] the[0] assassin[-2] will[0] be[0] or[0] when[0] the[0] hit[0] will[0] take[0] place[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
knowing that he will soon be dead , bulworth unleashes his own brand of political rhetoric on the world , which is made up of politically incorrect truths about the state of american politics and the society in general . 	knowing that he will soon be dead , bulworth unleashes his own brand of political rhetoric on the world , which is made up of politically incorrect truths about the state of american politics and the society in general .	2	-3	 knowing[0] that[0] he[0] will[0] soon[0] be[0] dead[-2] bulworth[0] unleashes[0] his[0] own[0] brand[0] of[0] political[0] rhetoric[0] on[0] the[0] world[0] which[0] is[0] made[0] up[0] of[0] politically[0] incorrect[-1] truths[1] about[0] the[0] state[0] of[0] american[0] politics[0] and[0] the[0] society[0] in[0] general[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
