part one of " the strangest movies ever made " series at www . mediajunkies . com 	Translation	Positive	Negative	EmotionRationale
by scott watson 	by scot watson	1	-1	 by[0] scott/scot[0] watson[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
[light spoilers , nothing you shouldn't read] 	[light spoilers , nothing you shouldn't read]	1	-2	 [light[0] spoilers[-1] nothing[0] you[0] shouldn't[0] read][0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
existenz has been called " a gooey matrix " , and while this is a correct description in some ways , in others it is completely off . 	existenz has been called " a gooey matrix " , and while this is a correct description in some ways , in others it is completely off .	1	-1	 existenz[0] has[0] been[0] called[0] a[0] gooey[0] matrix[0] and[0] while[0] this[0] is[0] a[0] correct[0] description[0] in[0] some[0] ways[0] in[0] others[0] it[0] is[0] completely[0] off[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only thing the two films have in common is the idea of a virtual reality that is indistinguishable from normal , " real " reality . 	the only thing the two films have in common is the idea of a virtual reality that is indistinguishable from normal , " real " reality .	1	-1	 the[0] only[0] thing[0] the[0] two[0] films[0] have[0] in[0] common[0] is[0] the[0] idea[0] of[0] a[0] virtual[0] reality[0] that[0] is[0] indistinguishable[0] from[0] normal[0] real[0] reality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a major difference is that " the matrix " has a base reality that is obviously the true reality , while existenz does the impossible and makes us accept the most bizarre reality ever as true . 	a major difference is that " the matrix " has a base reality that is obviously the true reality , while existenz does the impossible and makes us accept the most bizarre reality ever as true .	2	-2	 a[0] major[0] difference[0] is[0] that[0] the[0] matrix[0] has[0] a[0] base[0] reality[0] that[0] is[0] obviously[0] the[0] true[1] reality[0] while[0] existenz[0] does[0] the[0] impossible[0] and[0] makes[0] us[0] accept[0] the[0] most[0] bizarre[-1] reality[0] ever[0] as[0] true[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and oh what a reality it is . 	and oh what a reality it is .	1	-1	 and[0] oh[0] what[0] a[0] reality[0] it[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
david cronenberg has shown us before that he knows how to create strange movies ( naked lunch , crash ) , but this one is one of the strangest . 	david cronenberg has shown us before that he knows how to create strange movies ( naked lunch , crash ) , but this one is one of the strangest .	1	-1	 david[0] cronenberg[0] has[0] shown[0] us[0] before[0] that[0] he[0] knows[0] how[0] to[0] create[0] strange[0] movies[0] naked[0] lunch[0] crash[0] but[0] this[0] one[0] is[0] one[0] of[0] the[0] strangest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
maybe it's because of how the mundane is mixed with the bizarre . 	maybe it's because of how the mundane is mixed with the bizarre .	1	-2	 maybe[0] it's[0] because[0] of[0] how[0] the[0] mundane[-1] is[0] mixed[0] with[0] the[0] bizarre[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
technology is organic , but only some of it . 	technology is organic , but only some of it .	1	-1	 technology[0] is[0] organic[0] but[0] only[0] some[0] of[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cars are normal . 	cars are normal .	1	-1	 cars[0] are[0] normal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gas stations are the same . 	gas stations are the same .	1	-1	 gas[0] stations[0] are[0] the[0] same[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cell phones are glowing bug like appendages . 	cell phones are glowing bug like appendages .	2	-2	 cell[0] phones[0] are[0] glowing[0] bug[-1] like[1] appendages[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
you jack into a virtual reality game using a quivering pink gooey animal like apparatus ( referred to simply as a " pod " ) . 	you jack into a virtual reality game using a quivering pink gooey animal like apparatus ( referred to simply as a " pod " ) .	2	-1	 you[0] jack[0] into[0] a[0] virtual[0] reality[0] game[0] using[0] a[0] quivering[0] pink[0] gooey[0] animal[0] like[1] apparatus[0] referred[0] to[0] simply[0] as[0] a[0] pod[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
