bob the happy bastard's quickie review : 	Translation	Positive	Negative	EmotionRationale
the matrix 	the matrix	1	-1	 the[0] matrix[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what's worse than y2k ? 	what's worse than y2k ?	1	-3	 what's[0] worse[-2] than[0] y2k[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
how about a fully digital future where nothing is real ? 	how about a fully digital future where nothing is real ?	1	-1	 how[0] about[0] a[0] fully[0] digital[0] future[0] where[0] nothing[0] is[0] real[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's what computer programmer neo ( keanu reeves ) slowly learns as he enters the dangerous world that is the matrix , a movie directed by the wachowski brothers ( the guys behind the hip thriller bound ) . 	that's what computer programmer neo ( keanu reeves ) slowly learns as he enters the dangerous world that is the matrix , a movie directed by the wachowski brothers ( the guys behind the hip thriller bound ) .	2	-2	 that's[0] what[0] computer[0] programmer[0] neo[0] keanu[0] reeves[0] slowly[0] learns[0] as[0] he[0] enters[0] the[0] dangerous[-1] world[0] that[0] is[0] the[0] matrix[0] a[0] movie[0] directed[0] by[0] the[0] wachowski[0] brothers[0] the[0] guys[0] behind[0] the[0] hip[0] thriller[1] bound[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
before you groan at the presence of reeves in the lead role , hold on . 	before you groan at the presence of reeves in the lead role , hold on .	1	-1	 before[0] you[0] groan[0] at[0] the[0] presence[0] of[0] reeves[0] in[0] the[0] lead[0] role[0] hold[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's actually a story with depth here . 	there's actually a story with depth here .	1	-1	 there's[0] actually[0] a[0] story[0] with[0] depth[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it seems that a group of hackers is out to stop the system that is the matrix , led by the bald but brilliant laurence fishburne and assisted by carrie ann moss , who looks quite cool in leather , i must say . 	it seems that a group of hackers is out to stop the system that is the matrix , led by the bald but brilliant laurence fishburne and assisted by carrie an moss , who looks quite cool in leather , i must say .	2	-1	 it[0] seems[0] that[0] a[0] group[0] of[0] hackers[0] is[0] out[0] to[0] stop[0] the[0] system[0] that[0] is[0] the[0] matrix[0] led[0] by[0] the[0] bald[0] but[0] brilliant[1] laurence[0] fishburne[0] and[0] assisted[0] by[0] carrie[0] ann/an[0] moss[0] who[0] looks[0] quite[0] cool[1] in[0] leather[0] i[0] must[0] say[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
neo ( reeves ) is pretty much a key player in this fight , although he really doesn't look it at first . 	neo ( reeves ) is pretty much a key player in this fight , although he really doesn't look it at first .	3	-3	 neo[0] reeves[0] is[0] pretty[2] much[0] a[0] key[0] player[0] in[0] this[0] fight[-2] although[0] he[0] really[0] doesn't[0] look[0] it[0] at[0] first[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
could this amateur be " the one " as fisburne thinks he is ? 	could this amateur be " the one " as fisburne thinks he is ?	1	-1	 could[0] this[0] amateur[0] be[0] the[0] one[0] as[0] fisburne[0] thinks[0] he[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
credit the wachowskis for putting together a great story that allows suspense to build , something that few special effects-laden films seem to do these days . 	credit the wachowskis for putting together a great story that allows suspense to build , something that few special effects-laden films seem to do these days .	3	-1	 credit[0] the[0] wachowskis[0] for[0] putting[0] together[0] a[0] great[2] story[0] that[0] allows[0] suspense[0] to[0] build[0] something[0] that[0] few[0] special[1] effects[0] laden[0] films[0] seem[0] to[0] do[0] these[0] days[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
