the disney studios has its formula for annual , full-length animated features down so pat that it's hard to remember which one you're watching at any given moment . 	Translation	Positive	Negative	EmotionRationale
 " mulan , " their 36th animated adventure , is the latest case in point . 	 " mulan , " their 36th animated adventure , is the latest case in point .	1	-1	 mulan[0] their[0] 36th[0] animated[0] adventure[0] is[0] the[0] latest[0] case[0] in[0] point[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
once again we have a tale focused around a strong central character ( female as usual ; disney is one of the few studios whose heroines--ariel , belle , pocahontas , and now mulan--get equal screen time with their heroes in recent years ) . 	once again we have a tale focused around a strong central character ( female as usual ; disney is one of the few studios whose heroines-ariel , belle , pocahontas , and now mulan-get equal screen time with their heroes in recent years ) .	3	-1	 once[0] again[0] we[0] have[0] a[0] tale[0] focused[0] around[0] a[0] strong[0] central[0] character[0] female[0] as[0] usual[0] disney[0] is[0] one[0] of[0] the[0] few[0] studios[0] whose[0] heroines[2] ariel[0] belle[0] pocahontas[0] and[0] now[0] mulan[0] get[0] equal[0] screen[0] time[0] with[0] their[0] heroes[2] in[0] recent[0] years[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
add the requisite love interest and a wise-cracking sidekick or two , pep up the soundtrack with a handful of strategically placed show tunes ( an introspective number by a pool or looking in a mirror , a rousing anthem , a cutesy , montage-backed crowd pleaser ) , pose a few threats to our engaging lead , and tie things all up neatly by the closing credits . 	add the requisite love interest and a wise-cracking sidekick or two , pep up the soundtrack with a handful of strategically placed show tunes ( an introspective number by a pool or looking in a mirror , a rousing anthem , a cutesy , montage-backed crowd pleaser ) , pose a few threats to our engaging lead , and tie things all up neatly by the closing credits .	3	-3	 add[0] the[0] requisite[0] love[2] interest[1] and[0] a[0] wise[0] cracking[0] sidekick[0] or[0] two[0] pep[0] up[0] the[0] soundtrack[0] with[0] a[0] handful[0] of[0] strategically[0] placed[0] show[0] tunes[0] an[0] introspective[0] number[0] by[0] a[0] pool[0] or[0] looking[0] in[0] a[0] mirror[0] a[0] rousing[0] anthem[0] a[0] cutesy[1] montage[0] backed[0] crowd[0] pleaser[1] pose[0] a[0] few[0] threats[-2] to[0] our[0] engaging[0] lead[0] and[0] tie[0] things[0] all[0] up[0] neatly[0] by[0] the[0] closing[0] credits[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
bob's your uncle ! 	bob's your uncle !	1	-1	 bob's[0] your[0] uncle[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
better make that walt's your uncle . . . 	better make that walt's your uncle .<br> .<br> .	1	-1	 better[0] make[0] that[0] walt's[0] your[0] uncle[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kids will no doubt go ga-ga over " mulan " ( or at least the fast food tie-ins ) , but familiarity can , after a while , leave grown-ups--this reviewer included--wishing for a little more . 	kids will no doubt go go ahead�-go ahead� over " mulan " ( or at least the fast food tie-ins ) , but familiarity can , after a while , leave grown-ups-this reviewer included-wishing for a little more .	1	-2	 kids[0] will[0] no[0] doubt[-1] go[0] ga[0] ga[0] over[0] mulan[0] or[0] at[0] least[0] the[0] fast[0] food[0] tie[0] ins[0] but[0] familiarity[0] can[0] after[0] a[0] while[0] leave[0] grown[0] ups[0] this[0] reviewer[0] included[0] wishing[0] for[0] a[0] little[0] more[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
maybe an animated feature without--shock ! 	maybe an animated feature without-shock !	1	-3	 maybe[0] an[0] animated[0] feature[0] without[0] shock[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
horror ! --the 	horror !<br> -the	1	-4	 horror[-3] [[Sentence=-4,1=word max, 1-5]] the[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
songs , for example ? 	songs , for example ?	1	-1	 songs[0] for[0] example[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
or maybe a film in which a cheeky chihuahua called pepe longs to become a matador from trinidad ? ? 	or maybe a film in which a cheeky chihuahua called pepe longs to become a matador from trinidad ?<br> ?	1	-1	 or[0] maybe[0] a[0] film[0] in[0] which[0] a[0] cheeky[0] chihuahua[0] called[0] pepe[0] longs[0] to[0] become[0] a[0] matador[0] from[0] trinidad[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how about simply ditching the sidekicks altogether ? 	how about simply ditching the sidekicks altogether ?	1	-1	 how[0] about[0] simply[0] ditching[0] the[0] sidekicks[0] altogether[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it isn't gonna happen . 	it isn't gonna happen .	1	-1	 it[0] isn't[0] gonna[0] happen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
like disney's previous entries , " mulan " is slow to make its mark . 	like disney's previous entries , " mulan " is slow to make its mark .	2	-1	 like[1] disney's[0] previous[0] entries[0] mulan[0] is[0] slow[0] to[0] make[0] its[0] mark[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the animation tends to suffer from some slackness in the early going and the humorous element , a madcap dragon wannabe ( in the guise of a loquacious lizard with a case of dry mouth , courtesy eddie murphy's animated vocal talents ) , plays like an inappropriate if necessary ( formula-wise ) afterthought . 	the animation tends to suffer from some slackness in the early going and the humorous element , a madcap dragon wannabe ( in the guise of a loquacious lizard with a case of dry mouth , courtesy eddie murphy's animated vocal talents ) , plays like an inappropriate if necessary ( formula-wise ) afterthought .	3	-4	 the[0] animation[0] tends[0] to[0] suffer[-3] from[0] some[0] slackness[0] in[0] the[0] early[0] going[0] and[0] the[0] humorous[2] element[0] a[0] madcap[0] dragon[0] wannabe[0] in[0] the[0] guise[-1] of[0] a[0] loquacious[0] lizard[0] with[0] a[0] case[0] of[0] dry[0] mouth[0] courtesy[0] eddie[0] murphy's[0] animated[0] vocal[0] talents[1] plays[1] like[1] an[0] inappropriate[0] if[0] necessary[0] formula[0] wise[0] afterthought[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
however , after about an hour everything comes together and the formula , like it or not , clicks . 	however , after about an hour everything comes together and the formula , like it or not , clicks .	2	-1	 however[0] after[0] about[0] an[0] hour[0] everything[0] comes[0] together[0] and[0] the[0] formula[0] like[1] it[0] or[0] not[0] clicks[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
highlights include a spectacular cavalry charge on a snow-covered pass ( which , due to the sophistication of today's computer-generated imagery , is hard to tell from the real thing ) , a memorable , show-stopping musical interlude ( " i'll make a man out of you , " penned by matthew wilder and david zippel ) , and last but not least , mulan herself . 	highlights include a spectacular cavalry charge on a snow-covered pass ( which , due to the sophistication of today's computer-generated imagery , is hard to tell from the real thing ) , a memorable , show-stopping musical interlude ( " i'll make a man out of you , " penned by matthew wilder and david zippel ) , and last but not least , mulan herself .	1	-2	 highlights[0] include[0] a[0] spectacular[0] cavalry[0] charge[-1] on[0] a[0] snow[0] covered[0] pass[0] which[0] due[0] to[0] the[0] sophistication[0] of[0] today's[0] computer[0] generated[0] imagery[0] is[0] hard[0] to[0] tell[0] from[0] the[0] real[0] thing[0] a[0] memorable[0] show[0] stopping[0] musical[0] interlude[0] i'll[0] make[0] a[0] man[0] out[0] of[0] you[0] penned[0] by[0] matthew[0] wilder[0] and[0] david[0] zippel[0] and[0] last[0] but[0] not[0] least[0] mulan[0] herself[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
voiced by ming-na wen , mulan is disney's strongest female character to date . 	voiced by ming-na wen , mulan is disney's strongest female character to date .	1	-1	 voiced[0] by[0] ming[0] na[0] wen[0] mulan[0] is[0] disney's[0] strongest[0] female[0] character[0] to[0] date[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when hordes of huns pour over china's great wall and threaten to overthrow the imperial palace , the emperor decrees that every family in the land dispatch one man to serve in the imperial army . 	when hordes of huns pour over china's great wall and threaten to overthrow the imperial palace , the emperor decrees that every family in the land dispatch one man to serve in the imperial army .	3	-3	 when[0] hordes[0] of[0] huns[0] pour[0] over[0] china's[0] great[2] wall[0] and[0] threaten[-2] to[0] overthrow[-1] the[0] imperial[0] palace[0] the[0] emperor[0] decrees[0] that[0] every[0] family[0] in[0] the[0] land[0] dispatch[0] one[0] man[0] to[0] serve[0] in[0] the[0] imperial[0] army[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
since mulan's father is infirm , but proud , the high-spirited mulan steals her father's armor and , incognito , signs up to face the mongolian menace . 	since mulan's father is infirm , but proud , the high-spirited mulan steals her father's armor and , incognito , signs up to face the mongolian menace .	2	-3	 since[0] mulan's[0] father[0] is[0] infirm[0] but[0] proud[1] the[0] high[0] spirited[0] mulan[0] steals[-2] her[0] father's[0] armor[0] and[0] incognito[0] signs[0] up[0] to[0] face[0] the[0] mongolian[0] menace[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
attracted to , but not distracted by , her commanding officer shang ( b . d . 	attracted to , but not distracted by , her commanding officer shang ( b .<br> d .	2	-1	 attracted[1] to[0] but[0] not[0] distracted[-1][NegatedDueToPreviousWord] by[0] her[0] commanding[0] officer[0] shang[0] b[0] [[Sentence=-1,2=word max, 1-5]] d[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
wong ) , mulan outmatches her fellow combatants in smarts , wit , and physical ability . 	wong ) , mulan outmatches her fellow combatants in smarts , wit , and physical ability .	2	-2	 wong[0] mulan[0] outmatches[0] her[0] fellow[0] combatants[-1] in[0] smarts[1] wit[0] and[0] physical[0] ability[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
she's a woman of the '90s a couple of millennia ahead of her time . 	she's a woman of the '90s a couple of millennia ahead of her time .	1	-1	 she's[0] a[0] woman[0] of[0] the[0] '90s[0] a[0] couple[0] of[0] millennia[0] ahead[0] of[0] her[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
