larry flynt is a self proclaimed smut pedlar and the owner/publisher of the multi-million dollar hustler publications company . 	Translation	Positive	Negative	EmotionRationale
the people vs . larry flynt is the story of larry flynt's fight for the freedom to circulate and sell his pornographic magazine , hustler . 	the people vs .<br> larry flynt is the story of larry flynt's fight for the freedom to circulate and sell his pornographic magazine , hustler .	1	-3	 the[0] people[0] vs[0] [[Sentence=-1,1=word max, 1-5]] larry[0] flynt[0] is[0] the[0] story[0] of[0] larry[0] flynt's[0] fight[-2] for[0] the[0] freedom[0] to[0] circulate[0] and[0] sell[0] his[0] pornographic[0] magazine[0] hustler[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
based on a true story , the film is almost a documentary in that it's a very vivid and detailed look at larry flynt's life . 	based on a true story , the film is almost a documentary in that it's a very vivid and detailed look at larry flynt's life .	2	-1	 based[0] on[0] a[0] true[1] story[0] the[0] film[0] is[0] almost[0] a[0] documentary[0] in[0] that[0] it's[0] a[0] very[0] vivid[0] and[0] detailed[0] look[0] at[0] larry[0] flynt's[0] life[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
woody harrelson gives an excellent performance . 	woody harrelson gives an excellent performance .	4	-1	 woody[0] harrelson[0] gives[0] an[0] excellent[3] performance[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
he conveys flynt's peculiarities and his character with depth and focus . 	he conveys flynt's peculiarities and his character with depth and focus .	1	-1	 he[0] conveys[0] flynt's[0] peculiarities[0] and[0] his[0] character[0] with[0] depth[0] and[0] focus[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by the end of the film the audience actually finds themselves , somewhat grudgingly , liking larry flynt . 	by the end of the film the audience actually finds themselves , somewhat grudgingly , liking larry flynt .	3	-1	 by[0] the[0] end[0] of[0] the[0] film[0] the[0] audience[0] actually[0] finds[0] themselves[0] somewhat[0] grudgingly[0] liking[2] larry[0] flynt[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this is some feat given flynt's apparent lack of any morals or ethics and his extremely smutty and childish behaviour in court . 	this is some feat given flynt's apparent lack of any morals or ethics and his extremely smutty and childish behaviour in court .	1	-2	 this[0] is[0] some[0] feat[0] given[0] flynt's[0] apparent[0] lack[-1] of[0] any[0] morals[0] or[0] ethics[0] and[0] his[0] extremely[0] smutty[0] and[0] childish[-1] behaviour[0] in[0] court[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , flynt has a number of things going for him , he's rich , he's funny , and most importantly , he says exactly what he means . 	however , flynt has a number of things going for him , he's rich , he's funny , and most importantly , he says exactly what he means .	2	-1	 however[0] flynt[0] has[0] a[0] number[0] of[0] things[0] going[0] for[0] him[0] he's[0] rich[0] he's[0] funny[1] and[0] most[0] importantly[0] he[0] says[0] exactly[0] what[0] he[0] means[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
larry flynt's wife , althea leasure is played by courtney love . 	larry flynt's wife , althea leasure is played by courtney love .	3	-1	 larry[0] flynt's[0] wife[0] althea[0] leasure[0] is[0] played[0] by[0] courtney[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
larry meets althea at one of his clubs , and they fall in love ( a very sexual and open love ) . 	larry meets althea at one of his clubs , and they fall in love ( a very sexual and open love ) .	3	-1	 larry[0] meets[0] althea[0] at[0] one[0] of[0] his[0] clubs[0] and[0] they[0] fall[0] in[0] love[2] a[0] very[0] sexual[0] and[0] open[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
both of them indulge in a world of too much sex , and eventually too much drugs . 	both of them indulge in a world of too much sex , and eventually too much drugs .	1	-2	 both[0] of[0] them[0] indulge[-1] in[0] a[0] world[0] of[0] too[0] much[0] sex[0] and[0] eventually[0] too[0] much[0] drugs[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
flynt had been taking an excessive amount of pain killers after being paralysed from the waist down ( which was especially upsetting for him ) by an assassin . 	flynt had been taking an excessive amount of pain killers after being paralysed from the waist down ( which was especially upsetting for him ) by an assassin .	1	-4	 flynt[0] had[0] been[0] taking[0] an[0] excessive[-1] amount[0] of[0] pain[-3] killers[0] after[0] being[0] paralysed[0] from[0] the[0] waist[0] down[0] which[0] was[0] especially[0] upsetting[-2][-1 LastWordBoosterStrength] for[0] him[0] by[0] an[0] assassin[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
althea had joined him in taking the drugs . 	althea had joined him in taking the drugs .	1	-1	 althea[0] had[0] joined[0] him[0] in[0] taking[0] the[0] drugs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
following an operation flynt decides to stop taking drugs , althea does not have any such plans , nor the determination to follow them . 	following an operation flynt decides to stop taking drugs , althea does not have any such plans , nor the determination to follow them .	1	-1	 following[0] an[0] operation[0] flynt[0] decides[0] to[0] stop[0] taking[0] drugs[0] althea[0] does[0] not[0] have[0] any[0] such[0] plans[0] nor[0] the[0] determination[0] to[0] follow[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as the film progresses we see her become increasingly frail and sick . 	as the film progresses we see her become increasingly frail and sick .	1	-2	 as[0] the[0] film[0] progresses[0] we[0] see[0] her[0] become[0] increasingly[0] frail[0] and[0] sick[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
courtney love obviously has a great understanding for althea's situation , as she is brilliant in portraying althea in every respect . 	courtney love obviously has a great understanding for althea's situation , as she is brilliant in portraying althea in every respect .	3	-1	 courtney[0] love[2] obviously[0] has[0] a[0] great[2] understanding[0] for[0] althea's[0] situation[0] as[0] she[0] is[0] brilliant[1] in[0] portraying[0] althea[0] in[0] every[0] respect[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's extremely sad to watch althea literally wither away . 	it's extremely sad to watch althea literally wither away .	1	-5	 it's[0] extremely[0] sad[-3][-2 LastWordBoosterStrength] to[0] watch[0] althea[0] literally[0] wither[0] away[0] [[Sentence=-6,1=word max, 1-5]][[[1,-5 max of sentences]]]
edward norton plays flynt's lawyer , alan isaacman . 	edward norton plays flynt's lawyer , alan isacman .	2	-1	 edward[0] norton[0] plays[1] flynt's[0] lawyer[0] alan[0] isaacman/isacman[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
again , this is a solid performance . 	again , this is a solid performance .	1	-1	 again[0] this[0] is[0] a[0] solid[0] performance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
