warning : anyone offended by blatant , leering machismo had better avoid this film . 	Translation	Positive	Negative	EmotionRationale
or lots of blood & guts , men against men and mano-et-mano stuff . 	or lots of blood & guts , men against men and mano-et-mano stuff .	1	-2	 or[0] lots[0] of[0] blood[0] &[0] guts[0] men[0] against[-1] men[0] and[0] mano[0] et[0] mano[0] stuff[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in other words , it's a walter hill film ! 	in other words , it's a walter hill film !	1	-1	 in[0] other[0] words[0] it's[0] a[0] walter[0] hill[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with a john milius script ! 	with a john milius script !	1	-1	 with[0] a[0] john[0] milius[0] script[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i always picture these guys getting together and producing a movie between arm-wrestling matches . 	i always picture these guys getting together and producing a movie between arm-wrestling matches .	1	-1	 i[0] always[0] picture[0] these[0] guys[0] getting[0] together[0] and[0] producing[0] a[0] movie[0] between[0] arm[0] wrestling[0] matches[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these films always contain male characters i have a very hard time identifying with , probably due to the likelihood that any meeting between them and me would result in my arm being ripped off and then my subsequent death by beating with said limb . 	these films always contain male characters i have a very hard time identifying with , probably due to the likelihood that any meeting between them and me would result in my arm being ripped off and then my subsequent death by beating with said limb .	1	-3	 these[0] films[0] always[0] contain[0] male[0] characters[0] i[0] have[0] a[0] very[0] hard[0] time[0] identifying[0] with[0] probably[0] due[0] to[0] the[0] likelihood[0] that[0] any[0] meeting[0] between[0] them[0] and[0] me[0] would[0] result[0] in[0] my[0] arm[0] being[0] ripped[0] off[0] and[0] then[0] my[0] subsequent[0] death[-2] by[0] beating[0] with[0] said[0] limb[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and we got tough guys galore , here ; drug-running banditos by the dozens , all dirty and sweaty and pretty ill-tempered , overall ; a secret task force of army commandos who are in the area to cover-up ( supposedly ) any connection between the government and the drug runners ; and lots of shit-kicking texas dirt farmers who'd as soon shoot you between the eyes as look at you . 	and we got tough guys galore , here ; drug-running banditos by the dozens , all dirty and sweaty and pretty ill-tempered , overall ; a secret task force of army commandos who are in the area to cover-up ( supposedly ) any connection between the government and the drug runners ; and lots of shit-kicking texas dirt farmers who'd as soon shoot you between the eyes as look at you .	3	-2	 and[0] we[0] got[0] tough[-1] guys[0] galore[0] here[0] drug[0] running[0] banditos[-1] by[0] the[0] dozens[0] all[0] dirty[-1] and[0] sweaty[0] and[0] pretty[2] ill[-1] tempered[0] overall[0] a[0] secret[0] task[0] force[-1] of[0] army[0] commandos[0] who[0] are[0] in[0] the[0] area[0] to[0] cover[0] up[0] supposedly[0] any[0] connection[0] between[0] the[0] government[0] and[0] the[0] drug[0] runners[0] and[0] lots[0] of[0] shit[-1] kicking[-1] texas[0] dirt[-1] farmers[0] who'd[0] as[0] soon[0] shoot[-1] you[0] between[0] the[0] eyes[0] as[0] look[0] at[0] you[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in particular , we got nick nolte as one hard-ass texas ranger , powers boothe as the drug kingpin , michael ironsides as the leader of the secret army , and rip torn as the local sheriff . 	in particular , we got nick nolte as one hard-ass texas ranger , powers boothe as the drug kingpin , michael ironsides as the leader of the secret army , and rip torn as the local sheriff .	1	-2	 in[0] particular[0] we[0] got[0] nick[0] nolte[0] as[0] one[0] hard[0] ass[0] texas[0] ranger[0] powers[0] boothe[0] as[0] the[0] drug[0] kingpin[0] michael[0] ironsides[0] as[0] the[0] leader[0] of[0] the[0] secret[0] army[0] and[0] rip[-1] torn[0] as[0] the[0] local[0] sheriff[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
torn is the sympathetic figure of the group ; he smiles before shooting anyone . 	torn is the sympathetic figure of the group ; he smiles before shooting anyone .	3	-2	 torn[0] is[0] the[0] sympathetic[0] figure[0] of[0] the[0] group[0] he[0] smiles[2] before[0] shooting[-1] anyone[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
as to women . . . 	as to women .<br> .<br> .	1	-1	 as[0] to[0] women[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , i've never seen jane fonda or meryl streep in a walter hill film , and at this rate , i doubt i ever will . 	well , i've never seen jane fonda or meryl streep in a walter hill film , and at this rate , i doubt i ever will .	1	-2	 well[0] i've[0] never[0] seen[0] jane[0] fonda[0] or[0] meryl[0] streep[0] in[0] a[0] walter[0] hill[0] film[0] and[0] at[0] this[0] rate[0] i[0] doubt[-1] i[0] ever[0] will[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
