having not seen , " who framed roger rabbit " in over 10 years , and not remembering much besides that i liked it then , i decided to rent it recently . 	Translation	Positive	Negative	EmotionRationale
watching it i was struck by just how brilliant a film it is . 	watching it i was struck by just how brilliant a film it is .	2	-2	 watching[0] it[0] i[0] was[0] struck[-1] by[0] just[0] how[0] brilliant[1] a[0] film[0] it[0] is[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
aside from the fact that it's a milestone in animation in movies ( it's the first film to combine real actors and cartoon characters , have them interact , and make it convincingly real ) and a great entertainment it's also quite an effective comedy/mystery . 	aside from the fact that it's a milestone in animation in movies ( it's the first film to combine real actors and cartoon characters , have them interact , and make it convincingly real ) and a great entertainment it's also quite an effective comedy/mystery .	3	-1	 aside[0] from[0] the[0] fact[0] that[0] it's[0] a[0] milestone[0] in[0] animation[0] in[0] movies[0] it's[0] the[0] first[0] film[0] to[0] combine[0] real[0] actors[0] and[0] cartoon[0] characters[0] have[0] them[0] interact[0] and[0] make[0] it[0] convincingly[0] real[0] and[0] a[0] great[2] entertainment[0] it's[0] also[0] quite[0] an[0] effective[0] comedy/mystery[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
while the plot may be somewhat familiar the characters are original , especially baby herman , and watching them together is a lot of fun . 	while the plot may be somewhat familiar the characters are original , especially baby herman , and watching them together is a lot of fun .	3	-1	 while[0] the[0] plot[0] may[0] be[0] somewhat[0] familiar[0] the[0] characters[0] are[0] original[0] especially[0] baby[1][1 LastWordBoosterStrength] herman[0] and[0] watching[0] them[0] together[0] is[0] a[0] lot[0] of[0] fun[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the story begins in hollywood in 1947 . 	the story begins in hollywood in 1947 .	1	-1	 the[0] story[0] begins[0] in[0] hollywood[0] in[0] 1947[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cartoon star roger rabbit is blowing takes and having trouble keeping his mind on work , so hard-boiled private detective eddie valiant ( bob hoskins ) is called in by studio head r . k . 	cartoon star roger rabbit is blowing takes and having trouble keeping his mind on work , so hard-boiled private detective eddie valiant ( bob hoskins ) is called in by studio head are .<br> k .	1	-2	 cartoon[0] star[0] roger[0] rabbit[0] is[0] blowing[0] takes[0] and[0] having[0] trouble[-1] keeping[0] his[0] mind[0] on[0] work[0] so[0] hard[0] boiled[0] private[0] detective[0] eddie[0] valiant[0] bob[0] hoskins[0] is[0] called[0] in[0] by[0] studio[0] head[0] r[0] [[Sentence=-2,1=word max, 1-5]] k[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
maroon ( alan tilvern ) to try to help get roger's mind back on work . 	maroon ( alan tilvern ) to try to help get roger's mind back on work .	1	-1	 maroon[0] alan[0] tilvern[0] to[0] try[0] to[0] help[0] get[0] roger's[0] mind[0] back[0] on[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
maroon thinks that roger's wife , jessica's , possible unfaithfulness to him might be the cause of distraction and tells eddie to get some photos of her in the act before it costs him any more money in reshoots . 	maroon thinks that roger's wife , jessica's , possible unfaithfulness to him might be the cause of distraction and tells eddie to get some photos of her in the act before it costs him any more money in reshoots .	1	-2	 maroon[0] thinks[0] that[0] roger's[0] wife[0] jessica's[0] possible[0] unfaithfulness[-1] to[0] him[0] might[0] be[0] the[0] cause[0] of[0] distraction[-1] and[0] tells[0] eddie[0] to[0] get[0] some[0] photos[0] of[0] her[0] in[0] the[0] act[0] before[0] it[0] costs[0] him[0] any[0] more[0] money[0] in[0] reshoots[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
valiant takes some photos of jessica playing ,  patty cake' with marvin acme ( stubby kaye ) , the owner of toontown ( where all of the cartoon characters live ) and takes them to maroon . 	valiant takes some photos of jessica playing ,  patty cake' with marvin acme ( stubby kaye ) , the owner of toontown ( where all of the cartoon characters live ) and takes them to maroon .	2	-1	 valiant[0] takes[0] some[0] photos[0] of[0] jessica[0] playing[1] patty[0] cake'[0] with[0] marvin[0] acme[0] stubby[0] kaye[0] the[0] owner[0] of[0] toontown[0] where[0] all[0] of[0] the[0] cartoon[0] characters[0] live[0] and[0] takes[0] them[0] to[0] maroon[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
upon seeing them , roger is emotionally destroyed and soon after acme is found dead and roger rabbit is the prime suspect . 	upon seeing them , roger is emotionally destroyed and soon after acme is found dead and roger rabbit is the prime suspect .	1	-3	 upon[0] seeing[0] them[0] roger[0] is[0] emotionally[0] destroyed[-2] and[0] soon[0] after[0] acme[0] is[0] found[0] dead[-2] and[0] roger[0] rabbit[0] is[0] the[0] prime[0] suspect[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the rest of the movie follows valiant and roger as they run around town ( and eventually toontown ) trying to clear roger's good name . 	the rest of the movie follows valiant and roger as they run around town ( and eventually toontown ) trying to clear roger's good name .	2	-1	 the[0] rest[0] of[0] the[0] movie[0] follows[0] valiant[0] and[0] roger[0] as[0] they[0] run[0] around[0] town[0] and[0] eventually[0] toontown[0] trying[0] to[0] clear[0] roger's[0] good[1] name[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
