 " a private matter " is based on the true story of sherri finkbine and the events in her life during the 1960s . 	Translation	Positive	Negative	EmotionRationale
after becoming pregnant ( for the fifth time ) she learns that some tranquilizers she had taken have seriously deformed her unborn child . 	after becoming pregnant ( for the fifth time ) she learns that some tranquilizers she had taken have seriously deformed her unborn child .	1	-1	 after[0] becoming[0] pregnant[0] for[0] the[0] fifth[0] time[0] she[0] learns[0] that[0] some[0] tranquilizers[1][-1 LastWordBoosterStrength] she[0] had[0] taken[0] have[0] seriously[0] deformed[0] her[0] unborn[0] child[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she and her husband decide , with the help of her doctor , to have an abortion . 	she and her husband decide , with the help of her doctor , to have an abortion .	1	-1	 she[0] and[0] her[0] husband[0] decide[0] with[0] the[0] help[0] of[0] her[0] doctor[0] to[0] have[0] an[0] abortion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but this is the 1960s , and abortion is illegal . 	but this is the 1960s , and abortion is illegal .	1	-2	 but[0] this[0] is[0] the[0] 1960s[0] and[0] abortion[0] is[0] illegal[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
her doctor has made arrangements to have the procedure performed withing the law , by claiming that the child is endangering the mother's life . 	her doctor has made arrangements to have the procedure performed withing the law , by claiming that the child is endangering the mother's life .	1	-2	 her[0] doctor[0] has[0] made[0] arrangements[0] to[0] have[0] the[0] procedure[0] performed[0] withing[0] the[0] law[0] by[0] claiming[0] that[0] the[0] child[0] is[0] endangering[-1] the[0] mother's[0] life[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
everything is about to work out just fine , until sherri has the uncontrollable urge to talk about her situation with a local reporter . 	everything is about to work out just fine , until sherri has the uncontrollable urge to talk about her situation with a local reporter .	2	-2	 everything[0] is[0] about[0] to[0] work[0] out[0] just[0] fine[2][-1 LastWordBoosterStrength] until[0] sherri[0] has[0] the[0] uncontrollable[-1] urge[0] to[0] talk[0] about[0] her[0] situation[0] with[0] a[0] local[0] reporter[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this sets off a media frenzy and immediately sherri is the most hated woman in the world . 	this sets off a media frenzy and immediately sherri is the most hated woman in the world .	1	-4	 this[0] sets[0] off[0] a[0] media[0] frenzy[0] and[0] immediately[0] sherri[0] is[0] the[0] most[0] hated[-3] woman[0] in[0] the[0] world[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
she and her husband are fired from their jobs , reporters are surrounding their home at all times , and most importantly , no one in the country ( and eventually other countries ) will perform the abortion . 	she and her husband are fired from their jobs , reporters are surrounding their home at all times , and most importantly , no one in the country ( and eventually other countries ) will perform the abortion .	1	-3	 she[0] and[0] her[0] husband[0] are[0] fired[-2] from[0] their[0] jobs[0] reporters[0] are[0] surrounding[0] their[0] home[0] at[0] all[0] times[0] and[0] most[0] importantly[0] no[0] one[0] in[0] the[0] country[0] and[0] eventually[0] other[0] countries[0] will[0] perform[0] the[0] abortion[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this causes emotion problems for all involved . 	this causes emotion problems for all involved .	1	-2	 this[0] causes[0] emotion[0] problems[-1] for[0] all[0] involved[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " a private matter " is a fascinating story and it's hard to believe that this only happened 30 years or so ago . 	 " a private matter " is a fascinating story and it's hard to believe that this only happened 30 years or so ago .	1	-1	 a[0] private[0] matter[0] is[0] a[0] fascinating[0] story[0] and[0] it's[0] hard[0] to[0] believe[0] that[0] this[0] only[0] happened[0] 30[0] years[0] or[0] so[0] ago[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's only flaw is that not once is there ever a satisfactory confrontation with sherri and any of her opponents . 	it's only flaw is that not once is there ever a satisfactory confrontation with sherri and any of her opponents .	2	-3	 it's[0] only[0] flaw[-1] is[0] that[0] not[0] once[0] is[0] there[0] ever[0] a[0] satisfactory[1] confrontation[-2] with[0] sherri[0] and[0] any[0] of[0] her[0] opponents[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
