capsule : earthy , experimental , difficult , shockingly frank ( even for 1997 ! ) , and ultimately refreshing story of a black man on the run from the cops . 	Translation	Positive	Negative	EmotionRationale
the first few minutes of sweet sweetback's baad asssss song ( yes , i checked -- that's the correct number of ss ) are without dialogue , just eerie montages of sounds . 	the first few minutes of sweet sweetback's bad ass song ( yes , i checked - that's the correct number of ss ) are without dialogue , just eerie montages of sounds .	2	-2	 the[0] first[0] few[0] minutes[0] of[0] sweet[1] sweetback's[0] baad/bad[-1] asssss/ass[0][+0.6 MultipleLetters] song[0] yes[0] i[0] checked[0] that's[0] the[0] correct[0] number[0] of[0] ss[0] are[0] without[0] dialogue[0] just[0] eerie[0] montages[0] of[0] sounds[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
a young boy , obviously malnourished , is taken in and fed up by several loving mother-surrogate figures . 	a young boy , obviously malnourished , is taken in and fed up by several loving mother-surrogate figures .	4	-1	 a[0] young[0] boy[0] obviously[0] malnourished[0] is[0] taken[0] in[0] and[0] fed[0] up[0] by[0] several[0] loving[3] mother[0] surrogate[0] figures[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
then one of them takes the boy to bed for a sexual initation ( underneath the title credits ) that's far more confrontatory and shocking than any ten basic instincts -- probably because it has the directness and clumsiness of real life , something we're not used to seeing on screen . 	then one of them takes the boy to bed for a sexual initation ( underneath the title credits ) that's far more confrontatory and shocking than any ten basic instincts - probably because it has the directness and clumsiness of real life , something we're not used to seeing on screen .	1	-3	 then[0] one[0] of[0] them[0] takes[0] the[0] boy[0] to[0] bed[0] for[0] a[0] sexual[0] initation[0] underneath[0] the[0] title[0] credits[0] that's[0] far[0] more[0] confrontatory[-2] and[0] shocking[-2] than[0] any[0] ten[0] basic[0] instincts[0] probably[0] because[0] it[0] has[0] the[0] directness[0] and[0] clumsiness[0] of[0] real[0] life[0] something[0] we're[0] not[0] used[0] to[0] seeing[0] on[0] screen[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this is one tough movie to swallow , no matter who you are , but that probably reflects more on how pallid and unchallenging movies have gotten lately . 	this is one tough movie to swallow , no matter who you are , but that probably reflects more on how pallid and unchallenging movies have gotten lately .	1	-2	 this[0] is[0] one[0] tough[-1] movie[0] to[0] swallow[0] no[0] matter[0] who[0] you[0] are[0] but[0] that[0] probably[0] reflects[0] more[0] on[0] how[0] pallid[0] and[0] unchallenging[0] movies[0] have[0] gotten[0] lately[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( i suspect the sex scenes in movies like el topo and salo would probably melt the synapses of most modern audiences . ) 	 ( i suspect the sex scenes in movies like el topo and salo would probably melt the synapses of most modern audiences .<br> )	2	-2	 i[0] suspect[-1] the[0] sex[0] scenes[0] in[0] movies[0] like[1] el[0] topo[0] and[0] salo[0] would[0] probably[0] melt[0] the[0] synapses[0] of[0] most[0] modern[0] audiences[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the plot is simple but not simpleminded . 	the plot is simple but not simpleminded .	1	-1	 the[0] plot[0] is[0] simple[0] but[0] not[0] simpleminded[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sweetback , hassled by two white cops who are apparently just looking for an excuse to beat up on a black man , breaks his bonds and runs like hell . 	sweetback , hassled by two white cops who are apparently just looking for an excuse to beat up on a black man , breaks his bonds and runs like hell .	2	-2	 sweetback[0] hassled[-1] by[0] two[0] white[0] cops[0] who[0] are[0] apparently[0] just[0] looking[0] for[0] an[0] excuse[0] to[0] beat[0] up[0] on[0] a[0] black[0] man[0] breaks[0] his[0] bonds[0] and[0] runs[0] like[1] hell[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
along the way he moves through a good many of the kinds of environments that we are only just now being seen in a more serious light in the movies -- or at all , for that matter : the slums , the missions , the ghetto . 	along the way he moves through a good many of the kinds of environments that we are only just now being seen in a more serious light in the movies - or at all , for that matter : the slums , the missions , the ghetto .	2	-2	 along[0] the[0] way[0] he[0] moves[0] through[0] a[0] good[1] many[0] of[0] the[0] kinds[0] of[0] environments[0] that[0] we[0] are[0] only[0] just[0] now[0] being[0] seen[0] in[0] a[0] more[0] serious[-1] light[0] in[0] the[0] movies[0] or[0] at[0] all[0] for[0] that[0] matter[0] the[0] slums[0] the[0] missions[0] the[0] ghetto[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in other , lesser , movies , sweetback would be machine-gunning everything in sight and the end credits would roll over a pile of bodies ; in this one , we get taken on a kind of a tour of the depressing and anarchic world that sweetback takes for granted . 	in other , lesser , movies , sweetback would be machine-gunning everything in sight and the end credits would roll over a pile of bodies ; in this one , we get taken on a kind of a tour of the depressing and anarchic world that sweetback takes for granted .	2	-4	 in[0] other[0] lesser[0] movies[0] sweetback[0] would[0] be[0] machine[0] gunning[-1] everything[0] in[0] sight[0] and[0] the[0] end[0] credits[0] would[0] roll[0] over[0] a[0] pile[0] of[0] bodies[0] in[0] this[0] one[0] we[0] get[0] taken[0] on[0] a[0] kind[1] of[0] a[0] tour[0] of[0] the[0] depressing[-3] and[0] anarchic[0] world[0] that[0] sweetback[0] takes[0] for[0] granted[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
ssbas first appeared in 1971 and was promptly rated x ( " by an all-white jury " , as director melvin van peebles crowed in his legendary ad campaigns ) , and it's hardly surprising why . 	ssbas first appeared in 1971 and was promptly rated x ( " by an all-white jury " , as director melvin van peebles crowed in his legendary ad campaigns ) , and it's hardly surprising why .	2	-1	 ssbas[0] first[0] appeared[0] in[0] 1971[0] and[0] was[0] promptly[0] rated[0] x[1] by[0] an[0] all[0] white[0] jury[0] as[0] director[0] melvin[0] van[0] peebles[0] crowed[0] in[0] his[0] legendary[0] ad[0] campaigns[0] and[0] it's[0] hardly[0] surprising[0] why[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there's a good deal of sex in the movie , but it's handled in a way that's unsettlingly frank -- a frankness that spills over into the rest of the movie . 	there's a good deal of sex in the movie , but it's handled in a way that's unsettlingly frank - a frankness that spills over into the rest of the movie .	2	-2	 there's[0] a[0] good[1] deal[0] of[0] sex[0] in[0] the[0] movie[0] but[0] it's[0] handled[0] in[0] a[0] way[0] that's[0] unsettlingly[0] frank[0] a[0] frankness[0] that[0] spills[-1] over[0] into[0] the[0] rest[0] of[0] the[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in one scene , sweetback visits a friend's house in the hope of getting sanctuary there , and the other man chats him up while on the toilet . 	in one scene , sweetback visits a friend's house in the hope of getting sanctuary there , and the other man chats him up while on the toilet .	3	-1	 in[0] one[0] scene[0] sweetback[0] visits[0] a[0] friend's[1] house[0] in[0] the[0] hope[2] of[0] getting[0] sanctuary[0] there[0] and[0] the[0] other[0] man[0] chats[0] him[0] up[0] while[0] on[0] the[0] toilet[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
we're not used to coming this close to people in real life , let alone in the movies -- especially not people who are not made out to be glamorous . 	we're not used to coming this close to people in real life , let alone in the movies - especially not people who are not made out to be glamorous .	2	-1	 we're[0] not[0] used[0] to[0] coming[0] this[0] close[0] to[0] people[0] in[0] real[0] life[0] let[0] alone[0] in[0] the[0] movies[0] especially[0] not[0] people[0] who[0] are[0] not[0] made[0] out[0] to[0] be[0] glamorous[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the movie is also full of experimental stylistics that are relatively unused today , but probably because of that seem curiously fresh and new in van peebles' hands . 	the movie is also full of experimental stylistics that are relatively unused today , but probably because of that seem curiously fresh and new in van peebles' hands .	1	-1	 the[0] movie[0] is[0] also[0] full[0] of[0] experimental[0] stylistics[0] that[0] are[0] relatively[0] unused[0] today[0] but[0] probably[0] because[0] of[0] that[0] seem[0] curiously[0] fresh[0] and[0] new[0] in[0] van[0] peebles'[0] hands[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one scene , in which a man is interrogated by the cops , is loaded full of menacing energy as they fire off a gun inches from his ears , and suggest his deafness through a cleverly edited soundtrack . 	one scene , in which a man is interrogated by the cops , is loaded full of menacing energy as they fire off a gun inches from his ears , and suggest his deafness through a cleverly edited soundtrack .	1	-2	 one[0] scene[0] in[0] which[0] a[0] man[0] is[0] interrogated[0] by[0] the[0] cops[0] is[0] loaded[0] full[0] of[0] menacing[0] energy[0] as[0] they[0] fire[0] off[0] a[0] gun[-1] inches[0] from[0] his[0] ears[0] and[0] suggest[0] his[0] deafness[-1] through[0] a[0] cleverly[0] edited[0] soundtrack[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
another note : ssbas is not so much anti-white ( that would be too easy ) as anti-authority , and as the movie goes on to demonstrate , authority exists in many forms -- governments , churches , and even the paranoid inside of one's own mind . 	another note : ssbas is not so much anti-white ( that would be too easy ) as anti-authority , and as the movie goes on to demonstrate , authority exists in many forms - governments , churches , and even the paranoid inside of one's own mind .	1	-3	 another[0] note[0] ssbas[0] is[0] not[0] so[0] much[0] anti[0] white[0] that[0] would[0] be[0] too[0] easy[0] as[0] anti[0] authority[0] and[0] as[0] the[0] movie[0] goes[0] on[0] to[0] demonstrate[0] authority[0] exists[0] in[0] many[0] forms[0] governments[0] churches[0] and[0] even[0] the[0] paranoid[-2] inside[0] of[0] one's[0] own[0] mind[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
ssbas is ultimately about thirsting for freedom -- and it looks like we could use a little more of that in our movie diet , god knows . 	ssbas is ultimately about thirsting for freedom - and it looks like we could use a little more of that in our movie diet , god knows .	2	-1	 ssbas[0] is[0] ultimately[0] about[0] thirsting[0] for[0] freedom[0] and[0] it[0] looks[0] like[1] we[0] could[0] use[0] a[0] little[0] more[0] of[0] that[0] in[0] our[0] movie[0] diet[0] god[0] knows[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
