susan granger's review of " songcatcher " in the midst of this summer's fare of dinos revisited and romantic fiascoes , there are a few thoughtful movies - and this appalachian period drama is one . 	Translation	Positive	Negative	EmotionRationale
oscar nominee janet mcteer ( " tumbleweeds " ) stars as dr . lily penleric , an accomplished musicologist who , back in that pre-feminist era , was refused a full professorship at her university . 	oscar nominee janet mcteer ( " tumbleweeds " ) stars as dr .<br> lily penleric , an accomplished musicologist who , back in that pre-feminist era , was refused a full professorship at her university .	2	-2	 oscar[0] nominee[0] janet[0] mcteer[0] tumbleweeds[0] stars[0] as[0] dr[0] [[Sentence=-1,1=word max, 1-5]] lily[0] penleric[0] an[0] accomplished[1] musicologist[0] who[0] back[0] in[0] that[0] pre[0] feminist[0] era[0] was[0] refused[-1] a[0] full[0] professorship[0] at[0] her[0] university[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
determined to prove her worth , she ventures deep into the rugged mountains of north carolina , where her younger sister elna ( jane adams ) runs a school . 	determined to prove her worth , she ventures deep into the rugged mountains of north carolina , where her younger sister elna ( jane adams ) runs a school .	1	-1	 determined[0] to[0] prove[0] her[0] worth[0] she[0] ventures[0] deep[0] into[0] the[0] rugged[0] mountains[0] of[0] north[0] carolina[0] where[0] her[0] younger[0] sister[0] elna[0] jane[0] adams[0] runs[0] a[0] school[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there in bear creek , she discovers a treasure-trove of traditional scots-irish and english folk ballads , given a unique interpretation by the insular locals . 	there in bear creek , she discovers a treasure-trove of traditional scots-irish and english folk ballads , given a unique interpretation by the insular locals .	2	-1	 there[0] in[0] bear[0] creek[0] she[0] discovers[0] a[0] treasure[1] trove[0] of[0] traditional[0] scots[0] irish[0] and[0] english[0] folk[0] ballads[0] given[0] a[0] unique[0] interpretation[0] by[0] the[0] insular[0] locals[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
excited , she sends for recording equipment and persuades vinie butler ( pat carroll ) and other self-sustaining mountain folk to share their musical heritage on her edison phonograph cylinders . 	excited , she sends for recording equipment and persuades vinie butler ( pat carroll ) and other self-sustaining mountain folk to share their musical heritage on her edison phonograph cylinders .	3	-1	 excited[2] she[0] sends[0] for[0] recording[0] equipment[0] and[0] persuades[0] vinie[0] butler[0] pat[0] carroll[0] and[0] other[0] self[0] sustaining[0] mountain[0] folk[0] to[0] share[0] their[0] musical[0] heritage[0] on[0] her[0] edison[0] phonograph[0] cylinders[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
their music , as she puts it , is " as much a part of life here as the air you breathe . " 	their music , as she puts it , is " as much a part of life here as the air you breathe .<br> "	1	-1	 their[0] music[0] as[0] she[0] puts[0] it[0] is[0] as[0] much[0] a[0] part[0] of[0] life[0] here[0] as[0] the[0] air[0] you[0] breathe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's the main thrust of writer-director maggie greenwald's occasionally uneven culture-clash story , which is loosely based on olive dame campbell's foray through the blue ridge mountains in 1908 , but there's also some melodramatic romantic spice . 	that's the main thrust of writer-director maggie greenwald's occasionally uneven culture-clash story , which is loosely based on olive dame campbell's foray through the blue ridge mountains in 1908 , but there's also some melodramatic romantic spice .	4	-2	 that's[0] the[0] main[0] thrust[0] of[0] writer[0] director[0] maggie[0] greenwald's[0] occasionally[0] uneven[-1] culture[0] clash[-1] story[0] which[0] is[0] loosely[0] based[0] on[0] olive[0] dame[0] campbell's[0] foray[0] through[0] the[0] blue[0] ridge[0] mountains[0] in[0] 1908[0] but[0] there's[0] also[0] some[0] melodramatic[-1][--1 LastWordBoosterStrength] romantic[3] spice[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
ornery , bearded , banjo-picking aidan quinn falls for the statuesque , passionate " songcatcher , " while elna secretly engages in a lesbian relationship with a colleague ( e . 	ornery , bearded , banjo-picking aidan quin falls for the statuesque , passionate " songcatcher , " while elna secretly engages in a lesbian relationship with a colleague ( e .	3	-1	 ornery[0] bearded[0] banjo[0] picking[0] aidan[0] quinn/quin[0] falls[0] for[0] the[0] statuesque[0] passionate[2] songcatcher[0] while[0] elna[0] secretly[0] engages[0] in[0] a[0] lesbian[0] relationship[0] with[0] a[0] colleague[0] e[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
katherine kerr ) . 	katherine ker ) .	1	-1	 katherine[0] kerr/ker[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm ready to buy the soulful soundtrack with vocalists like emmylou harris , iris dement , taj mahal and young opera star emmy rossum who plays a pivotal role as mcteer's wide-eyed prot ? g ? . 	i'm ready to buy the soulful soundtrack with vocalists like emmylou harris , iris dement , taj mahal and young opera star emmy rossum who plays a pivotal role as mcteer's wide-eyed prot ?<br> grin� ?<br> .	2	-1	 i'm[0] ready[0] to[0] buy[0] the[0] soulful[0] soundtrack[0] with[0] vocalists[0] like[1] emmylou[0] harris[0] iris[0] dement[0] taj[0] mahal[0] and[0] young[0] opera[0] star[0] emmy[0] rossum[0] who[0] plays[1] a[0] pivotal[0] role[0] as[0] mcteer's[0] wide[0] eyed[0] prot[0] [[Sentence=-1,2=word max, 1-5]] g[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
rated pg-13 , there's an intense scene of primitive childbirth . 	rated pg-13 , there's an intense scene of primitive childbirth .	1	-1	 rated[0] pg[0] -13[0] there's[0] an[0] intense[0] scene[0] of[0] primitive[0] childbirth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
