written by mark rosenthal and lawrence konner 	Translation	Positive	Negative	EmotionRationale
starring charlize theron , bill paxton , david paymer 	starring charlize theron , bill paxton , david paymer	1	-1	 starring[0] charlize[0] theron[0] bill[0] paxton[0] david[0] paymer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as reviewed by james brundage 	as reviewed by james brundage	1	-1	 as[0] reviewed[0] by[0] james[0] brundage[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm beginning to get fed up . 	i'm beginning to get fed up .	1	-1	 i'm[0] beginning[0] to[0] get[0] fed[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
over my four years as a critic , the thing which has kept me going is the moderate balance of films . 	over my four years as a critic , the thing which has kept me going is the moderate balance of films .	1	-2	 over[0] my[0] four[0] years[0] as[0] a[0] critic[-1] the[0] thing[0] which[0] has[0] kept[0] me[0] going[0] is[0] the[0] moderate[0] balance[0] of[0] films[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the good balances the bad . 	the good balances the bad .	2	-2	 the[0] good[1] balances[0] the[0] bad[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i try to see both in equal proportions . 	i try to see both in equal proportions .	1	-1	 i[0] try[0] to[0] see[0] both[0] in[0] equal[0] proportions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but disney's mighty joe young remake marks the fourth week in which i haven't seen a truly terrible movie . 	but disney's mighty joe young remake marks the fourth week in which i haven't seen a truly terrible movie .	2	-4	 but[0] disney's[0] mighty[0] joe[0] young[0] remake[0] marks[0] the[0] fourth[0] week[0] in[0] which[0] i[0] haven't[0] seen[0] a[0] truly[1] terrible[-3] movie[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it's a backwards machismo , i suppose , the urge to see the things which you so loathe ; but i need to see a bad film every once in a while . 	it's a backwards machismo , i suppose , the urge to see the things which you so loathe ; but i need to see a bad film every once in a while .	1	-2	 it's[0] a[0] backwards[0] machismo[0] i[0] suppose[0] the[0] urge[0] to[0] see[0] the[0] things[0] which[0] you[0] so[0] loathe[0] but[0] i[0] need[0] to[0] see[0] a[0] bad[-1] film[0] every[0] once[0] in[0] a[0] while[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and , you know what , mighty joe young doesn't qualify . 	and , you know what , mighty joe young doesn't qualify .	1	-1	 and[0] you[0] know[0] what[0] mighty[0] joe[0] young[0] doesn't[0] qualify[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
far from being bad , mighty joe young is actually a family fun movie . 	far from being bad , mighty joe young is actually a family fun movie .	2	-2	 far[0] from[0] being[0] bad[-1] mighty[0] joe[0] young[0] is[0] actually[0] a[0] family[0] fun[1] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's enjoyable , appropriate , cute , cuddly , and all of those other things that i've been seeing in every movie since a bug's life . 	it's enjoyable , appropriate , cute , cuddly , and all of those other things that i've been seeing in every movie since a bug's life .	3	-1	 it's[0] enjoyable[2] appropriate[0] cute[1] cuddly[2] and[0] all[0] of[0] those[0] other[0] things[0] that[0] i've[0] been[0] seeing[0] in[0] every[0] movie[0] since[0] a[0] bug's[0] life[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
