hedwig ( john cameron mitchell ) was born a boy named hansel in east berlin . 	Translation	Positive	Negative	EmotionRationale
as a teen seeking his " other half , " he reluctantly agrees to a sex change operation in order to marry american g . i . 	as a teen seeking his " other half , " he reluctantly agrees to a sex change operation in order to marry american grin� .<br> i .	1	-2	 as[0] a[0] teen[0] seeking[0] his[0] other[0] half[0] he[0] reluctantly[-1] agrees[0] to[0] a[0] sex[0] change[0] operation[0] in[0] order[0] to[0] marry[0] american[0] g[0] [[Sentence=-2,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
luther ( maurice dean wint ) . 	luther ( maurice dean wint ) .	1	-1	 luther[0] maurice[0] dean[0] wint[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the operation , performed by a hack surgeon , is botched , and the " angry inch " is all that's left . 	the operation , performed by a hack surgeon , is botched , and the " angry inch " is all that's left .	1	-4	 the[0] operation[0] performed[0] by[0] a[0] hack[-1] surgeon[0] is[0] botched[0] and[0] the[0] angry[-3] inch[0] is[0] all[0] that's[0] left[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
now a " she " , hedwig comes to america , is abandoned by luther , forms a rock band and falls for her 17-year old lover/prot ? g ? , tommy , only to be rejected by him later , too . 	now a " she " , hedwig comes to america , is abandoned by luther , forms a rock band and falls for her 17-year old lover/prot ?<br> grin� ?<br> , tommy , only to be rejected by him later , too .	4	-2	 now[0] a[0] she[0] hedwig[0] comes[0] to[0] america[0] is[0] abandoned[-1] by[0] luther[0] forms[0] a[0] rock[1] band[0] and[0] falls[0] for[0] her[0] 17[0] year[0] old[0] lover/prot[3] [[Sentence=-2,4=word max, 1-5]] g[0] [[Sentence=-1,1=word max, 1-5]] tommy[0] only[0] to[0] be[0] rejected[-1] by[0] him[0] later[0] too[0] [[Sentence=-2,1=word max, 1-5]][[[4,-2 max of sentences]]]
she and her band , the angry inch , shadows the now-famous tommy gnosis across the us ( for revenge ? ) , but hedwig is really in search of her lost other half in " hedwig and the angry inch . " 	she and her band , the angry inch , shadows the now-famous tommy gnosis across the us ( for revenge ?<br> ) , but hedwig is really in search of her lost other half in " hedwig and the angry inch .<br> "	1	-4	 she[0] and[0] her[0] band[0] the[0] angry[-3] inch[0] shadows[0] the[0] now[0] famous[0] tommy[0] gnosis[0] across[0] the[0] us[0] for[0] revenge[-1] [[Sentence=-4,1=word max, 1-5]] but[0] hedwig[0] is[0] really[0] in[0] search[0] of[0] her[0] lost[0] other[0] half[0] in[0] hedwig[0] and[0] the[0] angry[-3] inch[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
first time helmer john cameron mitchell , along with composer/lyricist stephen trask , created and starred in their acclaimed off-broadway production that has become the movie . 	first time helmer john cameron mitchell , along with composer/lyricist stephen trask , created and starred in their acclaimed off-broadway production that has become the movie .	1	-1	 first[0] time[0] helmer[0] john[0] cameron[0] mitchell[0] along[0] with[0] composer/lyricist[0] stephen[0] trask[0] created[0] and[0] starred[0] in[0] their[0] acclaimed[0] off[0] broadway[0] production[0] that[0] has[0] become[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and quite a movie it is in its eclectic variety of songs , outrageous costumes , sets and makeup and , especially , a riveting performance by mitchell as the title character . 	and quite a movie it is in its eclectic variety of songs , outrageous costumes , sets and makeup and , especially , a riveting performance by mitchell as the title character .	1	-3	 and[0] quite[0] a[0] movie[0] it[0] is[0] in[0] its[0] eclectic[0] variety[0] of[0] songs[0] outrageous[-2] costumes[0] sets[0] and[0] makeup[0] and[0] especially[0] a[0] riveting[0] performance[0] by[0] mitchell[0] as[0] the[0] title[0] character[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
mitchell and trask have reinvented the movie musical and couple it with the underlying story of just whom hedwig is and what she is looking for . 	mitchell and trask have reinvented the movie musical and couple it with the underlying story of just whom hedwig is and what she is looking for .	1	-1	 mitchell[0] and[0] trask[0] have[0] reinvented[0] the[0] movie[0] musical[0] and[0] couple[0] it[0] with[0] the[0] underlying[0] story[0] of[0] just[0] whom[0] hedwig[0] is[0] and[0] what[0] she[0] is[0] looking[0] for[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i am , by far , not a big fan of musicals . 	i am , by far , not a big fan of musicals .	1	-1	 i[0] am[0] by[0] far[0] not[0] a[0] big[0] fan[0] of[0] musicals[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sure , there are exceptions , like bob fosse's " all that jazz " and " cabaret , " but , for the most part , they are just not my cup of tea . 	sure , there are exceptions , like bob fosse's " all that jaz " and " cabaret , " but , for the most part , they are just not my cup of tea .	2	-1	 sure[0] there[0] are[0] exceptions[0] like[1] bob[0] fosse's[0] all[0] that[0] jazz/jaz[0] and[0] cabaret[0] but[0] for[0] the[0] most[0] part[0] they[0] are[0] just[0] not[0] my[0] cup[0] of[0] tea[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " hedwig and the angry inch " is an exception , though , with its combination of humor , wit and a collection of tunes that covers musical styles ranging from " the rocky horror picture show " and meatloaf to david bowie to the sex pistols . 	 " hedwig and the angry inch " is an exception , though , with its combination of humor , wit and a collection of tunes that covers musical styles ranging from " the rocky horror picture show " and meatloaf to david bowie to the sex pistols .	3	-4	 hedwig[0] and[0] the[0] angry[-3] inch[0] is[0] an[0] exception[0] though[0] with[0] its[0] combination[0] of[0] humor[2] wit[0] and[0] a[0] collection[0] of[0] tunes[0] that[0] covers[0] musical[0] styles[0] ranging[0] from[0] the[0] rocky[0] horror[-3] picture[0] show[0] and[0] meatloaf[0] to[0] david[0] bowie[0] to[0] the[0] sex[0] pistols[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
