summary five liberal iowa graduate students share a house and carry on a tradition of a large sunday dinner . 	Translation	Positive	Negative	EmotionRationale
for a year now they have been inviting a guest for dinner and discussion . 	for a year now they have been inviting a guest for dinner and discussion .	1	-1	 for[0] a[0] year[0] now[0] they[0] have[0] been[0] inviting[0] a[0] guest[0] for[0] dinner[0] and[0] discussion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on this occasion one of the roommates , pete ( ron eldard ) , brings home a stranger who picked him up when his car broke down . 	on this occasion one of the roommates , pete ( ron eldard ) , brings home a stranger who picked him up when his car broke down .	1	-2	 on[0] this[0] occasion[0] one[0] of[0] the[0] roommates[0] pete[0] ron[0] eldard[0] brings[0] home[0] a[0] stranger[0] who[0] picked[0] him[0] up[0] when[0] his[0] car[0] broke[-1] down[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the stranger is zack ( bill paxton ) who appears like a decent enough good samaritan . 	the stranger is zack ( bill paxton ) who appears like a decent enough good samaritan .	2	-1	 the[0] stranger[0] is[0] zack[0] bill[0] paxton[0] who[0] appears[0] like[1] a[0] decent[0] enough[0] good[1] samaritan[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
nothing could be further from the truth . 	nothing could be further from the truth .	2	-1	 nothing[0] could[0] be[0] further[0] from[0] the[0] truth[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
after some dinner conversation it appears that zack is , among other things , a racist " you know my grandfather once said that if he knew you coloreds were going to be so much trouble we'd have picked the damn cotton ourselves " , and an anti-semite . 	after some dinner conversation it appears that zack is , among other things , a racist " you know my grandfather once said that if he knew you coloreds were going to be so much trouble we'd have picked the damn cotton ourselves " , and an anti-semite .	1	-2	 after[0] some[0] dinner[0] conversation[0] it[0] appears[0] that[0] zack[0] is[0] among[0] other[0] things[0] a[0] racist[-1] you[0] know[0] my[0] grandfather[0] once[0] said[0] that[0] if[0] he[0] knew[0] you[0] coloreds[0] were[0] going[0] to[0] be[0] so[0] much[0] trouble[-1] we'd[0] have[0] picked[0] the[0] damn[-1] cotton[0] ourselves[0] and[0] an[0] anti[0] semite[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
an argument escalates at the dinner table and leads to violence . 	an argument escalates at the dinner table and leads to violence .	1	-4	 an[0] argument[-1] escalates[0] at[0] the[0] dinner[0] table[0] and[0] leads[0] to[0] violence[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
after zack assaults marc ( jonathan penner ) and pete , zack is killed . 	after zack assaults marc ( jonathan penner ) and pete , zack is killed .	1	-4	 after[0] zack[0] assaults[-2] marc[0] jonathan[0] penner[0] and[0] pete[0] zack[0] is[0] killed[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the roommates are at odds with what to do . 	the roommates are at odds with what to do .	1	-1	 the[0] roommates[0] are[0] at[0] odds[0] with[0] what[0] to[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
marc , pete and paulie ( annabeth gish ) immediately wish to call the police . 	marc , pete and paulie ( annabeth gish ) immediately wish to call the police .	1	-1	 marc[0] pete[0] and[0] paulie[0] annabeth[0] gish[0] immediately[0] wish[0] to[0] call[0] the[0] police[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
luke ( courtney b . vance ) and jude ( cameron diaz ) suggest something different . 	luke ( courtney b .<br> vance ) and jude ( cameron diaz ) suggest something different .	1	-1	 luke[0] courtney[0] b[0] [[Sentence=-1,1=word max, 1-5]] vance[0] and[0] jude[0] cameron[0] diaz[0] suggest[0] something[0] different[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after more discussion they agree to dispose of the body and cover it up . 	after more discussion they agree to dispose of the body and cover it up .	1	-2	 after[0] more[0] discussion[0] they[0] agree[0] to[0] dispose[-1] of[0] the[0] body[0] and[0] cover[0] it[0] up[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they do not want to be sent to jail for what they feel was a justifiable homicide . 	they do not want to be sent to jail for what they feel was a justifiable homicide .	1	-2	 they[0] do[0] not[0] want[0] to[0] be[0] sent[0] to[0] jail[-1] for[0] what[0] they[0] feel[0] was[0] a[0] justifiable[0] homicide[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when it is done the roommates realize that it was easier than they thought . 	when it is done the roommates realize that it was easier than they thought .	1	-1	 when[0] it[0] is[0] done[0] the[0] roommates[0] realize[0] that[0] it[0] was[0] easier[0] than[0] they[0] thought[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so easy in fact that they decide that every sunday their dinner guest would be someone who opposes of their views . 	so easy in fact that they decide that every sunday their dinner guest would be someone who opposes of their views .	1	-1	 so[0] easy[0] in[0] fact[0] that[0] they[0] decide[0] that[0] every[0] sunday[0] their[0] dinner[0] guest[0] would[0] be[0] someone[0] who[0] opposes[0] of[0] their[0] views[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if they all agree that the guest deserves to die , they will poison them and bury them in the back yard . 	if they all agree that the guest deserves to die , they will poison them and bury them in the back yard .	1	-3	 if[0] they[0] all[0] agree[0] that[0] the[0] guest[0] deserves[0] to[0] die[0] they[0] will[0] poison[-2] them[0] and[0] bury[-2] them[0] in[0] the[0] back[0] yard[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
