i tried hard not like this movie without succeeding . 	Translation	Positive	Negative	EmotionRationale
it contains parts of bringing up baby , any hepburn/tracy film , part of the plot of war games , cary grant and rosalind russell in his girl friday , elevator shaft action , train action , and murder . 	it contains parts of bringing up baby , any hepburn/tracy film , part of the plot of war games , cary grant and rosalind russell in his girl friday , elevator shaft action , train action , and murder .	2	-4	 it[0] contains[0] parts[0] of[0] bringing[0] up[0] baby[1] any[0] hepburn/tracy[0] film[0] part[0] of[0] the[0] plot[0] of[0] war[-2] games[0] cary[0] grant[0] and[0] rosalind[0] russell[0] in[0] his[0] girl[0] friday[0] elevator[0] shaft[0] action[0] train[0] action[0] and[0] murder[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it is cute , funny , suspenseful ( a little bit ) , sexy ( a little bit ) . 	it is cute , funny , suspenseful ( a little bit ) , sexy ( a little bit ) .	3	-1	 it[0] is[0] cute[1] funny[1] suspenseful[0] a[0] little[0] bit[0] sexy[2] a[0] little[0] bit[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
one of the bad guys was a surprise . 	one of the bad guys was a surprise .	1	-2	 one[0] of[0] the[0] bad[-1] guys[0] was[0] a[0] surprise[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the pace is fast enough , there are some " action " scenes . 	the pace is fast enough , there are some " action " scenes .	1	-1	 the[0] pace[0] is[0] fast[0] enough[0] there[0] are[0] some[0] action[0] scenes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i think that this is a reasonable family summer movie for families with older kids who have already seen maverick . 	i think that this is a reasonable family summer movie for families with older kids who have already seen maverick .	1	-1	 i[0] think[0] that[0] this[0] is[0] a[0] reasonable[0] family[0] summer[0] movie[0] for[0] families[0] with[0] older[0] kids[0] who[0] have[0] already[0] seen[0] maverick[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
julia roberts and nick nolte are fine separately and together . 	julia roberts and nick nolte are fine separately and together .	3	-1	 julia[0] roberts[0] and[0] nick[0] nolte[0] are[0] fine[2] separately[0] and[0] together[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i really identified with the julia roberts character ( wishful thinking , i know ! ) , but i do have better hair ! 	i really identified with the julia roberts character ( wishful thinking , i know !<br> ) , but i do have better hair !	1	-1	 i[0] really[0] identified[0] with[0] the[0] julia[0] roberts[0] character[0] wishful[0] thinking[0] i[0] know[0] [[Sentence=-1,1=word max, 1-5]] but[0] i[0] do[0] have[0] better[0] hair[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her hair , a very dull dark brown , has no color . 	her hair , a very dull dark brown , has no color .	1	-3	 her[0] hair[0] a[0] very[0] dull[-1][-1 LastWordBoosterStrength] dark[0] brown[0] has[0] no[0] color[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
she could use some highlights . 	she could use some highlights .	1	-1	 she[0] could[0] use[0] some[0] highlights[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they both do fine with their roles : he's a bored columnist with the chicago chronicle and she's a hotshot " cub " reporter with the chicago globe . 	they both do fine with their roles : he's a bored columnist with the chicago chronicle and she's a hotshot " cub " reporter with the chicago globe .	3	-2	 they[0] both[0] do[0] fine[2] with[0] their[0] roles[0] he's[0] a[0] bored[-1] columnist[0] with[0] the[0] chicago[0] chronicle[0] and[0] she's[0] a[0] hotshot[0] cub[0] reporter[0] with[0] the[0] chicago[0] globe[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
