dora ( fernanda montenegro ) sits behind a make-shift desk at rio+s major train station . 	Translation	Positive	Negative	EmotionRationale
she , in her colorful demeanor , offers a service that is unheard of in the states . 	she , in her colorful demeanor , offers a service that is unheard of in the states .	1	-1	 she[0] in[0] her[0] colorful[0] demeanor[0] offers[0] a[0] service[0] that[0] is[0] unheard[0] of[0] in[0] the[0] states[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she writes letters for the illiterate , who pass through , to try to find lost relatives , find love , or search after lost debts . 	she writes letters for the illiterate , who pass through , to try to find lost relatives , find love , or search after lost debts .	3	-2	 she[0] writes[0] letters[0] for[0] the[0] illiterate[-1] who[0] pass[0] through[0] to[0] try[0] to[0] find[0] lost[0] relatives[0] find[0] love[2] or[0] search[0] after[0] lost[0] debts[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
she s quirky , she s elderly , she s caring . 	she s quirky , she s elderly , she s caring .	3	-1	 she[0] s[0] quirky[0] she[0] s[0] elderly[0] she[0] s[0] caring[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
totally trustworthy , right ? 	totally trustworthy , right ?	3	-1	 totally[0] trustworthy[1][1 LastWordBoosterStrength] right[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
not a chance . 	not a chance .	1	-1	 not[0] a[0] chance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
once home , she never sends these letters , saving money on postage , and relishing in the drama contained therein with her neighbor irene ( mar ? lia p ? ra ) . 	once home , she never sends these letters , saving money on postage , and relishing in the drama contained therein with her neighbor irene ( mar ?<br> lia p ?<br> ra ) .	1	-2	 once[0] home[0] she[0] never[0] sends[0] these[0] letters[0] saving[0] money[0] on[0] postage[0] and[0] relishing[0] in[0] the[0] drama[0] contained[0] therein[0] with[0] her[0] neighbor[0] irene[0] mar[-1] [[Sentence=-2,1=word max, 1-5]] lia[0] p[0] [[Sentence=-1,1=word max, 1-5]] ra[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
one of the letters is sent by a young mother with her nine-year old son , looking for their father . 	one of the letters is sent by a young mother with her nine-year old son , looking for their father .	1	-1	 one[0] of[0] the[0] letters[0] is[0] sent[0] by[0] a[0] young[0] mother[0] with[0] her[0] nine[0] year[0] old[0] son[0] looking[0] for[0] their[0] father[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
shortly thereafter , she gets hit by a bus , and the son is orphaned . 	shortly thereafter , she gets hit by a bus , and the son is orphaned .	1	-1	 shortly[0] thereafter[0] she[0] gets[0] hit[0] by[0] a[0] bus[0] and[0] the[0] son[0] is[0] orphaned[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
days go by , and the boy , named josu ? , roams around the station , hungry , desperate , and somewhat clueless to his predictament . 	days go by , and the boy , named josu ?<br> , roams around the station , hungry , desperate , and somewhat clueless to his predictament .	1	-3	 days[0] go[0] by[0] and[0] the[0] boy[0] named[0] josu[0] [[Sentence=-1,1=word max, 1-5]] roams[0] around[0] the[0] station[0] hungry[-1] desperate[-2] and[0] somewhat[0] clueless[0] to[0] his[0] predictament[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
through a series of circumstances too precious to elaborate upon , dora somehow takes a responsibility in trying to find josu ?  s father . 	through a series of circumstances too precious to elaborate upon , dora somehow takes a responsibility in trying to find josu ?<br>  s father .	3	-1	 through[0] a[0] series[0] of[0] circumstances[0] too[0] precious[2] to[0] elaborate[0] upon[0] dora[0] somehow[0] takes[0] a[0] responsibility[0] in[0] trying[0] to[0] find[0] josu[0] [[Sentence=-1,3=word max, 1-5]] s[0] father[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
