i guess there are those who have never been kissed before ( a rare and dying breed ) , except if you're child ? in which case it would be called experimenting . 	Translation	Positive	Negative	EmotionRationale
rarer still are those who have never been kissed before they reach the twenties . 	rarer still are those who have never been kissed before they reach the twenties .	1	-3	 rarer[0] still[0] are[0] those[0] who[0] have[0] never[0] been[0] kissed[2][NegatedDueToPreviousWord] before[0] they[0] reach[0] the[0] twenties[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
hardest to believe still , is that drew barrymore has never been kissed . 	hardest to believe still , is that drew barrymore has never been kissed .	1	-3	 hardest[0] to[0] believe[0] still[0] is[0] that[0] drew[0] barrymore[0] has[0] never[0] been[0] kissed[2][NegatedDueToPreviousWord] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
despite all these hard to believe tit bits , there are people out there who have never truly been kissed , and who are still waiting for that right person to give them the wet , sloppy warm feeling of tongues intermingling , reassuring them that their search for true love is over . 	despite all these hard to believe tit bits , there are people out there who have never truly been kissed , and who are still waiting for that right person to give them the wet , sloppy warm feeling of tongues intermingling , reassuring them that their search for true love is over .	3	-2	 despite[0] all[0] these[0] hard[0] to[0] believe[0] tit[0] bits[0] there[0] are[0] people[0] out[0] there[0] who[0] have[0] never[0] truly[1][NegatedDueToPreviousWord] been[0] kissed[2] and[0] who[0] are[0] still[0] waiting[0] for[0] that[0] right[0] person[0] to[0] give[0] them[0] the[0] wet[0] sloppy[-1] warm[0] feeling[0] of[0] tongues[0] intermingling[0] reassuring[1] them[0] that[0] their[0] search[0] for[0] true[1] love[2] is[0] over[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
well , this movie is about a girl waiting for the right boy to give her the kiss of her life . 	well , this movie is about a girl waiting for the right boy to give her the kiss of her life .	3	-1	 well[0] this[0] movie[0] is[0] about[0] a[0] girl[0] waiting[0] for[0] the[0] right[0] boy[0] to[0] give[0] her[0] the[0] kiss[2] of[0] her[0] life[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and it's sweet . 	and it's sweet .	2	-1	 and[0] it's[0] sweet[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
drew barrymore who shone in ? ever after' is wonderful as ? josie , grossy' , the high school dweeb who becase a professional editor , before being assigned by her paper to return to school as an undercover reporter . 	drew barrymore who shone in ?<br> ever after' is wonderful as ?<br> josie , grossy' , the high school dweeb who becase a professional editor , before being assigned by her paper to return to school as an undercover reporter .	3	-2	 drew[0] barrymore[0] who[0] shone[0] in[0] [[Sentence=-1,1=word max, 1-5]] ever[0] after'[0] is[0] wonderful[2] as[0] [[Sentence=-1,3=word max, 1-5]] josie[0] grossy'[-1] the[0] high[0] school[0] dweeb[0] who[0] becase[0] a[0] professional[0] editor[0] before[0] being[0] assigned[0] by[0] her[0] paper[0] to[0] return[0] to[0] school[0] as[0] an[0] undercover[0] reporter[0] [[Sentence=-2,1=word max, 1-5]][[[3,-2 max of sentences]]]
it addresses the issues of how a dweeb , becomes a prom queen and finds the man of her life all in one sitting . 	it addresses the issues of how a dweeb , becomes a prom queen and finds the man of her life all in one sitting .	1	-1	 it[0] addresses[0] the[0] issues[0] of[0] how[0] a[0] dweeb[0] becomes[0] a[0] prom[0] queen[0] and[0] finds[0] the[0] man[0] of[0] her[0] life[0] all[0] in[0] one[0] sitting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hard to believe , but possible . 	hard to believe , but possible .	1	-1	 hard[0] to[0] believe[0] but[0] possible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there may also be those who have been kissed before , but in fact , never truly been given the kiss . 	there may also be those who have been kissed before , but in fact , never truly been given the kiss .	3	-2	 there[0] may[0] also[0] be[0] those[0] who[0] have[0] been[0] kissed[2] before[0] but[0] in[0] fact[0] never[0] truly[1][NegatedDueToPreviousWord] been[0] given[0] the[0] kiss[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
so this movie can be watched by those who are waiting for true love or those who are still searching for it . 	so this movie can be watched by those who are waiting for true love or those who are still searching for it .	3	-1	 so[0] this[0] movie[0] can[0] be[0] watched[0] by[0] those[0] who[0] are[0] waiting[0] for[0] true[1] love[2] or[0] those[0] who[0] are[0] still[0] searching[0] for[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
either way , it is one enjoyable sit , with a fairytale ending . 	either way , it is one enjoyable sit , with a fairytale ending .	3	-1	 either[0] way[0] it[0] is[0] one[0] enjoyable[2] sit[0] with[0] a[0] fairytale[0] ending[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
