you know you're in for a truly different cinematic experience the moment you realize steve buscemi has been cast as the movie in question's most normal character . 	Translation	Positive	Negative	EmotionRationale
such is the case with " the big lebowski , " joel and ethan coen's first venture since their " fargo " nabbed nationwide acclaim and a mantlepiece of academy award nods . 	such is the case with " the big lebowski , " joel and ethan coen's first venture since their " fargo " nabbed nationwide acclaim and a mantlepiece of academy award nods .	1	-1	 such[0] is[0] the[0] case[0] with[0] the[0] big[0] lebowski[0] joel[0] and[0] ethan[0] coen's[0] first[0] venture[0] since[0] their[0] fargo[0] nabbed[0] nationwide[0] acclaim[0] and[0] a[0] mantlepiece[0] of[0] academy[0] award[0] nods[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's no need to fear that the coens suffered creative burnout with that accomplishment , because " lebowski " is an effort that makes words like " strange " and " unusual " seem like an understatement . 	there's no need to fear that the coens suffered creative burnout with that accomplishment , because " lebowski " is an effort that makes words like " strange " and " unusual " seem like an understatement .	2	-4	 there's[0] no[0] need[0] to[0] fear[-3] that[0] the[0] coens[0] suffered[-3] creative[0] burnout[-1] with[0] that[0] accomplishment[1] because[0] lebowski[0] is[0] an[0] effort[0] that[0] makes[0] words[0] like[1] strange[0] and[0] unusual[0] seem[0] like[1] an[0] understatement[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
thanks in part to delicious characterization and an all-encompassing sense of humor , the film is a smashing success . 	thanks in part to delicious characterization and an all-encompassing sense of humor , the film is a smashing success .	3	-1	 thanks[1] in[0] part[0] to[0] delicious[2] characterization[0] and[0] an[0] all[0] encompassing[0] sense[0] of[0] humor[2] the[0] film[0] is[0] a[0] smashing[0] success[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the central oddball here is the dude ( jeff bridges ) , an unemployed cad whose ambitions appear to be zilch beyond smoking pot , drinking beer and going bowling ( are you college students already rooting for him , or what ? ) . 	the central oddball here is the dude ( jeff bridges ) , an unemployed cad whose ambitions appear to be zilch beyond smoking pot , drinking beer and going bowling ( are you college students already rooting for him , or what ?<br> ) .	1	-2	 the[0] central[0] oddball[0] here[0] is[0] the[0] dude[0] jeff[0] bridges[0] an[0] unemployed[-1] cad[0] whose[0] ambitions[0] appear[0] to[0] be[0] zilch[0] beyond[0] smoking[0] pot[0] drinking[0] beer[0] and[0] going[0] bowling[0] are[0] you[0] college[0] students[0] already[0] rooting[0] for[0] him[0] or[0] what[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one night , a pair of thugs break into his house and pee on his carpet , a threatening act that's supposed to be carried out against a famous pasadena millionaire ( david huddleston ) who shares his birth name -- jeff lebowski -- with the dude . 	one night , a pair of thugs break into his house and pee on his carpet , a threatening act that's supposed to be carried out against a famous pasadena millionaire ( david huddleston ) who shares his birth name - jeff lebowski - with the dude .	1	-3	 one[0] night[0] a[0] pair[0] of[0] thugs[0] break[0] into[0] his[0] house[0] and[0] pee[0] on[0] his[0] carpet[0] a[0] threatening[-2] act[0] that's[0] supposed[0] to[0] be[0] carried[0] out[0] against[-1] a[0] famous[0] pasadena[0] millionaire[0] david[0] huddleston[0] who[0] shares[0] his[0] birth[0] name[0] jeff[0] lebowski[0] with[0] the[0] dude[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
once the dude realizes this coincidence , he visits the big lebowski in hopes to claim reparations for his soiled rug , and is back to his normal life with alley pals walter ( john goodman ) , a hotheaded vietnam vet , and donny ( buscemi ) , a mild-mannered surfer , before too long . 	once the dude realizes this coincidence , he visits the big lebowski in hopes to claim reparations for his soiled rug , and is back to his normal life with alley pals walter ( john goodman ) , a hotheaded vietnam vet , and donny ( buscemi ) , a mild-mannered surfer , before too long .	2	-1	 once[0] the[0] dude[0] realizes[0] this[0] coincidence[0] he[0] visits[0] the[0] big[0] lebowski[0] in[0] hopes[1] to[0] claim[0] reparations[0] for[0] his[0] soiled[0] rug[0] and[0] is[0] back[0] to[0] his[0] normal[0] life[0] with[0] alley[0] pals[0] walter[0] john[0] goodman[0] a[0] hotheaded[0] vietnam[0] vet[0] and[0] donny[0] buscemi[0] a[0] mild[0] mannered[0] surfer[0] before[0] too[0] long[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
soon , though , lebowski's trampy trophy wife bunny ( tara reid ) is kidnaped and held for a hefty ransom , and he turns to the dude for help . 	soon , though , lebowski's trampy trophy wife bunny ( tara reid ) is kidnaped and held for a hefty ransom , and he turns to the dude for help .	1	-1	 soon[0] though[0] lebowski's[0] trampy[0] trophy[0] wife[0] bunny[0] tara[0] reid[0] is[0] kidnaped[0] and[0] held[0] for[0] a[0] hefty[0] ransom[0] and[0] he[0] turns[0] to[0] the[0] dude[0] for[0] help[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it seems bunny's troubles are related to a line of work she's kept secret from her husband -- she's actually an adult film star and is very in debt with a shady producer named jackie treehorn . 	it seems bunny's troubles are related to a line of work she's kept secret from her husband - she's actually an adult film star and is very in debt with a shady producer named jackie treehorn .	1	-2	 it[0] seems[0] bunny's[0] troubles[-1] are[0] related[0] to[0] a[0] line[0] of[0] work[0] she's[0] kept[0] secret[0] from[0] her[0] husband[0] she's[0] actually[0] an[0] adult[0] film[0] star[0] and[0] is[0] very[0] in[0] debt[0] with[0] a[0] shady[-1] producer[0] named[0] jackie[0] treehorn[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the dude , now on lebowski's payroll , accepts the offer and agrees to handle the money drop ; walter tags along and insists that the dude keep the cash for himself . 	the dude , now on lebowski's payroll , accepts the offer and agrees to handle the money drop ; walter tags along and insists that the dude keep the cash for himself .	1	-2	 the[0] dude[0] now[0] on[0] lebowski's[0] payroll[0] accepts[0] the[0] offer[0] and[0] agrees[0] to[0] handle[0] the[0] money[0] drop[-1] walter[0] tags[0] along[0] and[0] insists[0] that[0] the[0] dude[0] keep[0] the[0] cash[0] for[0] himself[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
chaos obviously ensues , and the dude eventually finds himself in hot water with cops , crooks and lebowski's ultra-eccentric artist daughter maude ( julianne moore ) . 	chaos obviously ensues , and the dude eventually finds himself in hot water with cops , crooks and lebowski's ultra-eccentric artist daughter maude ( julianne more ) .	1	-2	 chaos[-1] obviously[0] ensues[0] and[0] the[0] dude[0] eventually[0] finds[0] himself[0] in[0] hot[0] water[0] with[0] cops[0] crooks[0] and[0] lebowski's[0] ultra[0] eccentric[-1] artist[0] daughter[0] maude[0] julianne[0] moore/more[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
