one of kyle mclachlan's earlier cinematic features , this movie has had an obvious influence on such films as the terminator ( 8/10 ) , species ( 7/10 ) and the more recent , fallen with denzel washington . 	Translation	Positive	Negative	EmotionRationale
plot : a science-fiction picture set in modern times , this thriller follows the exploits of an " entity " from outer space , who likes to inhabit human bodies , use them up until they are completely worn out , and then switch over to the next available receptacle . 	plot : a science-fiction picture set in modern times , this thriller follows the exploits of an " entity " from outer space , who likes to inhabit human bodies , use them up until they are completely worn out , and then switch over to the next available receptacle .	3	-3	 plot[0] a[0] science[0] fiction[0] picture[0] set[0] in[0] modern[0] times[0] this[0] thriller[1] follows[0] the[0] exploits[0] of[0] an[0] entity[0] from[0] outer[0] space[0] who[0] likes[2] to[0] inhabit[0] human[0] bodies[0] use[0] them[0] up[0] until[0] they[0] are[0] completely[0] worn[-1][-1 LastWordBoosterStrength] out[0] and[0] then[0] switch[0] over[0] to[0] the[0] next[0] available[0] receptacle[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
fbi agent ( mclachlan ) and local top cop ( nouri ) are charged with the capture of this " thing " before it's too late . 	fbi agent ( mclachlan ) and local top cop ( nouri ) are charged with the capture of this " thing " before it's too late .	1	-2	 fbi[0] agent[0] mclachlan[0] and[0] local[0] top[0] cop[0] nouri[0] are[0] charged[-1] with[0] the[0] capture[-1] of[0] this[0] thing[0] before[0] it's[0] too[0] late[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
critique : this fast-paced , urban equivalent of the thing ( 8/10 ) , checks in on all cylinders for ultra-violence ( god knows how many people died in this movie ) , action and an overall rock 'n roll attitude . 	critique : this fast-paced , urban equivalent of the thing ( 8/10 ) , checks in on all cylinders for ultra-violence ( god knows how many people died in this movie ) , action and an overall rock 'n roll attitude .	2	-4	 critique[0] this[0] fast[0] paced[0] urban[0] equivalent[0] of[0] the[0] thing[0] 8/10[0] checks[0] in[0] on[0] all[0] cylinders[0] for[0] ultra[0] violence[-3] god[0] knows[0] how[0] many[0] people[0] died[0] in[0] this[0] movie[0] action[0] and[0] an[0] overall[0] rock[1] 'n[0] roll[0] attitude[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
then again , how can you go wrong with an " alien " that likes the ferraris , guns , heavy metal music and sexy girls ? ! 	then again , how can you go wrong with an " alien " that likes the ferraris , guns , heavy metal music and sexy girls ?<br> !	3	-2	 then[0] again[0] how[0] can[0] you[0] go[0] wrong[-1] with[0] an[0] alien[-1] that[0] likes[2] the[0] ferraris[0] guns[-1] heavy[0] metal[0] music[0] and[0] sexy[2] girls[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
granted , the plot isn't the most elaborate of tales ( alien bad , find alien , kill alien ) , but i can honestly say that i was never once bored during the viewing of this entire picture . 	granted , the plot isn't the most elaborate of tales ( alien bad , find alien , kill alien ) , but i can honestly say that i was never once bored during the viewing of this entire picture .	2	-2	 granted[0] the[0] plot[0] isn't[0] the[0] most[0] elaborate[0] of[0] tales[0] alien[-1] bad[-1] find[0] alien[-1] kill[-1] alien[-1] but[0] i[0] can[0] honestly[0] say[0] that[0] i[0] was[0] never[0] once[0] bored[-1][NegatedDueToPreviousWord] during[0] the[0] viewing[0] of[0] this[0] entire[0] picture[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i wouldn't recommend it to those who don't like car chases , murders , and bland acting , but for all the rest of you out there , those who enjoy putting away their brains every now and again , sitting back , slamming back some salsa'd nachos , and relishing in the cheeze some call film . . . 	i wouldn't recommend it to those who don't like car chases , murders , and bland acting , but for all the rest of you out there , those who enjoy putting away their brains every now and again , sitting back , slamming back some salsa'd nachos , and relishing in the cheeze some call film .<br> .<br> .	3	-4	 i[0] wouldn't[0] recommend[0] it[0] to[0] those[0] who[0] don't[0] like[1][NegatedDueToPreviousWord] car[0] chases[-1] murders[-3] and[0] bland[-1] acting[0] but[0] for[0] all[0] the[0] rest[0] of[0] you[0] out[0] there[0] those[0] who[0] enjoy[2] putting[0] away[0] their[0] brains[0] every[0] now[0] and[0] again[0] sitting[0] back[0] slamming[-1] back[0] some[0] salsa'd[0] nachos[0] and[0] relishing[0] in[0] the[0] cheeze[0] some[0] call[0] film[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
have a blast ! ! 	have a blast !<br> !	1	-1	 have[0] a[0] blast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
two scenes to watch for are both within the first ten minutes of this gore-fest . 	two scenes to watch for are both within the first ten minutes of this gore-fest .	1	-1	 two[0] scenes[0] to[0] watch[0] for[0] are[0] both[0] within[0] the[0] first[0] ten[0] minutes[0] of[0] this[0] gore[0] fest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the opening sequence is one of the most rockin' scenes to open any action movie , and the subsequent extra-terrestrial " transformation " is another eye-catcher . 	the opening sequence is one of the most rockin' scenes to open any action movie , and the subsequent extra-terrestrial " transformation " is another eye-catcher .	1	-1	 the[0] opening[0] sequence[0] is[0] one[0] of[0] the[0] most[0] rockin'[0] scenes[0] to[0] open[0] any[0] action[0] movie[0] and[0] the[0] subsequent[0] extra[0] terrestrial[0] transformation[0] is[0] another[0] eye[0] catcher[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even the late 80's special effects were okay . 	even the late 80's special effects were okay .	2	-1	 even[0] the[0] late[0] 80's[0] special[1] effects[0] were[0] okay[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
