if you're the type of person who goes on the submarine ride every time you visit disneyland , you're going to love the hunt for red october . 	Translation	Positive	Negative	EmotionRationale
you'll also love the film if you enjoy cat and mouse military tactics , or if you're a sean connery or alec baldwin fan , or if you admired director john mctiernan's earlier films , die hard and predator . 	you'll also love the film if you enjoy cat and mouse military tactics , or if you're a sean connery or alec baldwin fan , or if you admired director john mctiernan's earlier films , die hard and predator .	3	-1	 you'll[0] also[0] love[2] the[0] film[0] if[0] you[0] enjoy[2] cat[0] and[0] mouse[0] military[0] tactics[0] or[0] if[0] you're[0] a[0] sean[0] connery[0] or[0] alec[0] baldwin[0] fan[0] or[0] if[0] you[0] admired[2] director[0] john[0] mctiernan's[0] earlier[0] films[0] die[0] hard[0] and[0] predator[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in fact , the only people likely to be disappointed with the hunt for red october are those who have read the book , since films almost never live up to the novels which inspired them . 	in fact , the only people likely to be disappointed with the hunt for red october are those who have read the book , since films almost never live up to the novels which inspired them .	3	-2	 in[0] fact[0] the[0] only[0] people[0] likely[0] to[0] be[0] disappointed[-1] with[0] the[0] hunt[0] for[0] red[0] october[0] are[0] those[0] who[0] have[0] read[0] the[0] book[0] since[0] films[0] almost[0] never[0] live[0] up[0] to[0] the[0] novels[0] which[0] inspired[2] them[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the hunt for red october is an epic thriller , adapted from tom clancy's best selling novel . 	the hunt for red october is an epic thriller , adapted from tom clancy's best selling novel .	2	-1	 the[0] hunt[0] for[0] red[0] october[0] is[0] an[0] epic[0] thriller[1] adapted[0] from[0] tom[0] clancy's[0] best[1] selling[0] novel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
set in an era before glasnost , the movie revolves around a top-secret soviet submarine , called the red october . 	set in an era before glasnost , the movie revolves around a top-secret soviet submarine , called the red october .	1	-1	 set[0] in[0] an[0] era[0] before[0] glasnost[0] the[0] movie[0] revolves[0] around[0] a[0] top[0] secret[0] soviet[0] submarine[0] called[0] the[0] red[0] october[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the nuclear sub has a revolutionary propulsion system , which makes the vessel silent and allows it to escape sonar detection . 	the nuclear sub has a revolutionary propulsion system , which makes the vessel silent and allows it to escape sonar detection .	1	-2	 the[0] nuclear[0] sub[0] has[0] a[0] revolutionary[-1] propulsion[0] system[0] which[0] makes[0] the[0] vessel[0] silent[0] and[0] allows[0] it[0] to[0] escape[0] sonar[0] detection[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the red october embarks on its maiden voyage under the command of captain marko ramius , played by sean connery . 	the red october embarks on its maiden voyage under the command of captain marko ramius , played by sean connery .	1	-1	 the[0] red[0] october[0] embarks[0] on[0] its[0] maiden[0] voyage[0] under[0] the[0] command[0] of[0] captain[0] marko[0] ramius[0] played[0] by[0] sean[0] connery[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ramius has strict orders just to test the submarine , but he has other ideas . 	ramius has strict orders just to test the submarine , but he has other ideas .	1	-2	 ramius[0] has[0] strict[-1] orders[0] just[0] to[0] test[0] the[0] submarine[0] but[0] he[0] has[0] other[0] ideas[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he takes the sub and its crew and disappears into the atlantic ocean . 	he takes the sub and its crew and disappears into the atlantic ocean .	1	-1	 he[0] takes[0] the[0] sub[0] and[0] its[0] crew[0] and[0] disappears[0] into[0] the[0] atlantic[0] ocean[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is he planning to start world war iii ? 	is he planning to start world war i ?	2	-3	 is[0] he[0] planning[0] to[0] start[0] world[0] war[-2] iii/i[0][+0.6 MultipleLetters] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
cia analyst jack ryan doesn't think so ; he's convinced that ramius plans to defect to the u . s . ryan , played by alec baldwin , is given three days to prove his theory and find the missing sub . 	cia analyst jack ryan doesn't think so ; he's convinced that ramius plans to defect to the you .<br> s .<br> ryan , played by alec baldwin , is given three days to prove his theory and find the missing sub .	1	-2	 cia[0] analyst[0] jack[0] ryan[0] doesn't[0] think[0] so[0] he's[0] convinced[0] that[0] ramius[0] plans[0] to[0] defect[-1] to[0] the[0] u[0] [[Sentence=-2,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] ryan[0] played[0] by[0] alec[0] baldwin[0] is[0] given[0] three[0] days[0] to[0] prove[0] his[0] theory[0] and[0] find[0] the[0] missing[0] sub[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
the characters in the hunt for red october are paper thin , but the performances , thankfully , are rock solid . 	the characters in the hunt for red october are paper thin , but the performances , thankfully , are rock solid .	2	-1	 the[0] characters[0] in[0] the[0] hunt[0] for[0] red[0] october[0] are[0] paper[0] thin[0] but[0] the[0] performances[0] thankfully[1] are[0] rock[1] solid[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
baldwin and connery anchor the film with their customary vigor . 	baldwin and connery anchor the film with their customary vigor .	1	-1	 baldwin[0] and[0] connery[0] anchor[0] the[0] film[0] with[0] their[0] customary[0] vigor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sam neil gives a sturdy performance as connery's somber first officer . 	sam neil gives a sturdy performance as connery's somber first officer .	1	-2	 sam[0] neil[0] gives[0] a[0] sturdy[0] performance[0] as[0] connery's[0] somber[-1] first[0] officer[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's ironic to see neil and connery playing russians , since they are both best known for their roles as british agents , connery as james bond and neil as reilly , " ace of spies . " 	it's ironic to see neil and connery playing russians , since they are both best known for their roles as british agents , connery as james bond and neil as reilly , " ace of spies .<br> "	2	-2	 it's[0] ironic[-1] to[0] see[0] neil[0] and[0] connery[0] playing[1] russians[0] since[0] they[0] are[0] both[0] best[1] known[0] for[0] their[0] roles[0] as[0] british[0] agents[0] connery[0] as[0] james[0] bond[0] and[0] neil[0] as[0] reilly[0] ace[0] of[0] spies[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the large cast also includes scott glenn , james earl jones , tim curry , and joss ackland , plus richard jordan as the smooth u . s . national security adviser . 	the large cast also includes scot glen , james earl jones , tim curry , and joss ackland , plus richard jordan as the smooth you .<br> s .<br> national security adviser .	2	-1	 the[0] large[0] cast[0] also[0] includes[0] scott/scot[0] glenn/glen[0] james[0] earl[0] jones[0] tim[0] curry[0] and[0] joss[0] ackland[0] plus[0] richard[0] jordan[0] as[0] the[0] smooth[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] national[0] security[1] adviser[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the special effects are remarkable , but more than anything , the hunt for red october is distinguished by its water-tight plot . 	the special effects are remarkable , but more than anything , the hunt for red october is distinguished by its water-tight plot .	2	-1	 the[0] special[1] effects[0] are[0] remarkable[0] but[0] more[0] than[0] anything[0] the[0] hunt[0] for[0] red[0] october[0] is[0] distinguished[0] by[0] its[0] water[0] tight[0] plot[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
screenwriters larry ferguson and donald stewart have gracefully navigated red october through a story line full of twists and turns . 	screenwriters larry ferguson and donald stewart have gracefully navigated red october through a story line full of twists and turns .	3	-1	 screenwriters[0] larry[0] ferguson[0] and[0] donald[0] stewart[0] have[0] gracefully[2] navigated[0] red[0] october[0] through[0] a[0] story[0] line[0] full[0] of[0] twists[0] and[0] turns[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they keep us involved in the action by unveiling plot strands at just the right moment . 	they keep us involved in the action by unveiling plot strands at just the right moment .	1	-1	 they[0] keep[0] us[0] involved[0] in[0] the[0] action[0] by[0] unveiling[0] plot[0] strands[0] at[0] just[0] the[0] right[0] moment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie doesn't get as sweaty or breathless as die hard , because it would rather tell a good story than hit you over the head with non-stop action . 	the movie doesn't get as sweaty or breathless as die hard , because it would rather tell a good story than hit you over the head with non-stop action .	2	-1	 the[0] movie[0] doesn't[0] get[0] as[0] sweaty[0] or[0] breathless[0] as[0] die[0] hard[0] because[0] it[0] would[0] rather[0] tell[0] a[0] good[1] story[0] than[0] hit[0] you[0] over[0] the[0] head[0] with[0] non[0] stop[0] action[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the finale is rousing and suspenseful , but essentially , the hunt for red october is a superior potboiler . 	the finale is rousing and suspenseful , but essentially , the hunt for red october is a superior potboiler .	3	-1	 the[0] finale[0] is[0] rousing[0] and[0] suspenseful[0] but[0] essentially[0] the[0] hunt[0] for[0] red[0] october[0] is[0] a[0] superior[2] potboiler[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
