synopsis : it's 1977 in a small italian american neighborhood in new york . 	Translation	Positive	Negative	EmotionRationale
disco music is popular , and the sexual revolution is on , but the people of new york are not happy . 	disco music is popular , and the sexual revolution is on , but the people of new york are not happy .	1	-2	 disco[0] music[0] is[0] popular[0] and[0] the[0] sexual[0] revolution[-1] is[0] on[0] but[0] the[0] people[0] of[0] new[0] york[0] are[0] not[0] happy[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in fact , they're terrified . 	in fact , they're terrified .	1	-4	 in[0] fact[0] they're[0] terrified[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as in spike lee's do the right thing a heat wave has the city in its grip , and peoples' tempers are flaring . 	as in spike lee's do the right thing a heat wave has the city in its grip , and peoples' tempers are flaring .	1	-1	 as[0] in[0] spike[0] lee's[0] do[0] the[0] right[0] thing[0] a[0] heat[0] wave[0] has[0] the[0] city[0] in[0] its[0] grip[0] and[0] peoples'[0] tempers[0] are[0] flaring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the cool of night offers no respite : the neighborhood is being terrorized by a nocturnal psychotic killer who calls himself the son of sam . 	the cool of night offers no respite : the neighborhood is being terrorized by a nocturnal psychotic killer who calls himself the son of sam .	2	-3	 the[0] cool[1] of[0] night[0] offers[0] no[0] respite[0] the[0] neighborhood[0] is[0] being[0] terrorized[-2] by[0] a[0] nocturnal[0] psychotic[0] killer[-1] who[0] calls[0] himself[0] the[0] son[0] of[0] sam[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
no one knows who the son of sam is , and no one is safe . 	no one knows who the son of sam is , and no one is safe .	2	-1	 no[0] one[0] knows[0] who[0] the[0] son[0] of[0] sam[0] is[0] and[0] no[0] one[0] is[0] safe[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
all around new york people are different . 	all around new york people are different .	1	-1	 all[0] around[0] new[0] york[0] people[0] are[0] different[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
aside from cultural groupings and ethnic neighborhoods there are differences between individuals . 	aside from cultural groupings and ethnic neighborhoods there are differences between individuals .	1	-1	 aside[0] from[0] cultural[0] groupings[0] and[0] ethnic[0] neighborhoods[0] there[0] are[0] differences[0] between[0] individuals[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the italian american section of town a philandering husband named vinny ( john leguizamo ) tries to hide his trysts and sexual behavior from his long suffering newlywed wife dionna ( mira sorvino ) . 	in the italian american section of town a philandering husband named vinny ( john leguizamo ) tries to hide his trysts and sexual behavior from his long suffering newlywed wife dionna ( mira sorvino ) .	1	-4	 in[0] the[0] italian[0] american[0] section[0] of[0] town[0] a[0] philandering[0] husband[0] named[0] vinny[0] john[0] leguizamo[0] tries[0] to[0] hide[0] his[0] trysts[0] and[0] sexual[0] behavior[0] from[0] his[0] long[0] suffering[-3] newlywed[0] wife[0] dionna[0] mira[0] sorvino[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
vinny's friend ritchie ( adrien brody ) hates disco , works at a gay strip club and doesn't want any of the neighborhood folks to know . 	vinny's friend ritchie ( adrien brody ) hates disco , works at a gay strip club and doesn't want any of the neighborhood folks to know .	2	-4	 vinny's[0] friend[1] ritchie[0] adrien[0] brody[0] hates[-3] disco[0] works[0] at[0] a[0] gay[-1] strip[0] club[0] and[0] doesn't[0] want[0] any[0] of[0] the[0] neighborhood[0] folks[0] to[0] know[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
ritchie's girl ruby ( jennifer esposito ) is trying to escape a reputation as a slut . 	ritchie's girl ruby ( jennifer esposito ) is trying to escape a reputation as a slut .	1	-3	 ritchie's[0] girl[0] ruby[0] jennifer[0] esposito[0] is[0] trying[0] to[0] escape[0] a[0] reputation[0] as[0] a[0] slut[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
