defending your life is an imaginative vision of the afterlife from the twisted mind of writer-director albert brooks , who also stars in the comedy . 	Translation	Positive	Negative	EmotionRationale
after dying in a car crash , on his birthday of all days , brooks wakes up in judgement city , a satirical rendition of purgatory where higher beings evaluate the lives of newly deceased earthlings . 	after dying in a car crash , on his birthday of all days , brooks wakes up in judgement city , a satirical rendition of purgatory where higher beings evaluate the lives of newly deceased earthlings .	1	-2	 after[0] dying[-1] in[0] a[0] car[0] crash[0] on[0] his[0] birthday[0] of[0] all[0] days[0] brooks[0] wakes[0] up[0] in[0] judgement[0] city[0] a[0] satirical[0] rendition[0] of[0] purgatory[0] where[0] higher[0] beings[0] evaluate[0] the[0] lives[0] of[0] newly[0] deceased[0] earthlings[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
brooks has five days to convince two judges that he's worthy of passing on to higher plains of existence . 	brooks has five days to convince two judges that he's worthy of passing on to higher plains of existence .	1	-1	 brooks[0] has[0] five[0] days[0] to[0] convince[0] two[0] judges[0] that[0] he's[0] worthy[0] of[0] passing[0] on[0] to[0] higher[0] plains[0] of[0] existence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
enter rip torn as the slick lawyer who defends brooks in court against prosecutor lee grant . 	enter rip torn as the slick lawyer who defends brooks in court against prosecutor lee grant .	1	-2	 enter[0] rip[-1] torn[0] as[0] the[0] slick[0] lawyer[0] who[0] defends[0] brooks[0] in[0] court[0] against[-1] prosecutor[-1] lee[0] grant[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
during his " trial , " brooks must view episodes of his life on a movie screen , and these scenes are both hysterically funny and painfully poignant . 	during his " trial , " brooks must view episodes of his life on a movie screen , and these scenes are both hysterically funny and painfully poignant .	2	-4	 during[0] his[0] trial[0] brooks[0] must[0] view[0] episodes[0] of[0] his[0] life[0] on[0] a[0] movie[0] screen[0] and[0] these[0] scenes[0] are[0] both[0] hysterically[0] funny[1] and[0] painfully[-3] poignant[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it's impossible to resist chuckling ( and cringing ) at brooks as he and torn try to explain away his cowardly behavior on earth . 	it's impossible to resist chuckling ( and cringing ) at brooks as he and torn try to explain away his cowardly behavior on earth .	3	-2	 it's[0] impossible[0] to[0] resist[0] chuckling[2] and[0] cringing[0] at[0] brooks[0] as[0] he[0] and[0] torn[0] try[0] to[0] explain[0] away[0] his[0] cowardly[-1] behavior[0] on[0] earth[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
torn , in particular , is in vintage comic form , and he walks away with the picture . 	torn , in particular , is in vintage comic form , and he walks away with the picture .	1	-1	 torn[0] in[0] particular[0] is[0] in[0] vintage[0] comic[0] form[0] and[0] he[0] walks[0] away[0] with[0] the[0] picture[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie also features meryl streep , appealing as the love-interest , and shirley maclaine , who pops up in a hilarious cameo . 	the movie also features meryl streep , appealing as the love-interest , and shirley maclaine , who pops up in a hilarious cameo .	3	-1	 the[0] movie[0] also[0] features[0] meryl[0] streep[0] appealing[0] as[0] the[0] love[2] interest[1] and[0] shirley[0] maclaine[0] who[0] pops[0] up[0] in[0] a[0] hilarious[2] cameo[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
while the film is uneven , many of its gags are price less . 	while the film is uneven , many of its gags are price less .	1	-2	 while[0] the[0] film[0] is[0] uneven[-1] many[0] of[0] its[0] gags[0] are[0] price[0] less[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
take , for example , the food in judgement city : it's always the most delicious you've ever tasted . . . 	take , for example , the food in judgement city : it's always the most delicious you've ever tasted .<br> .<br> .	3	-1	 take[0] for[0] example[0] the[0] food[0] in[0] judgement[0] city[0] it's[0] always[0] the[0] most[0] delicious[2] you've[0] ever[0] tasted[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and it's also calorie-free--so chow down ! 	and it's also calorie-free-so chow down !	1	-1	 and[0] it's[0] also[0] calorie[0] free[0] so[0] chow[0] down[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
