trailing the success of brit humour in the movie industry with the likes of the semi-dramatic the commitments and the nearly slapstick a fish called wanda , the full monty is one film which delivered the depth of the former and the humour magnitude of the latter . 	Translation	Positive	Negative	EmotionRationale
the film opens with a narrated documentary reel showing the improving economic and living standards of sheffield in the 60's , then cut to the harsh reality of the present . 	the film opens with a narrated documentary reel showing the improving economic and living standards of sheffield in the 60's , then cut to the harsh reality of the present .	2	-2	 the[0] film[0] opens[0] with[0] a[0] narrated[0] documentary[0] reel[0] showing[0] the[0] improving[1] economic[0] and[0] living[0] standards[0] of[0] sheffield[0] in[0] the[0] 60's[0] then[0] cut[0] to[0] the[0] harsh[-1] reality[0] of[0] the[0] present[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
sheffield has become some sort of a semi-slum with the only visible increase in anything was the amount of layoffs from steel-factories ; a once flourishing industry . 	sheffield has become some sort of a semi-slum with the only visible increase in anything was the amount of layoffs from steel-factories ; a once flourishing industry .	1	-1	 sheffield[0] has[0] become[0] some[0] sort[0] of[0] a[0] semi[0] slum[0] with[0] the[0] only[0] visible[0] increase[0] in[0] anything[0] was[0] the[0] amount[0] of[0] layoffs[0] from[0] steel[0] factories[0] a[0] once[0] flourishing[0] industry[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gaz ( carlyle ) spends most of his time in the worker's club , a sort of place where jobless people sit around to wait for job offers . 	gaz ( carlyle ) spends most of his time in the worker's club , a sort of place where jobless people sit around to wait for job offers .	1	-2	 gaz[0] carlyle[0] spends[0] most[0] of[0] his[0] time[0] in[0] the[0] worker's[0] club[0] a[0] sort[0] of[0] place[0] where[0] jobless[-1] people[0] sit[0] around[0] to[0] wait[0] for[0] job[0] offers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he and his  plump' friend dave ( addy ) as well as their former foreman gerald ( wilkinson ) have been sitting around the club for months without any  call for duty' . 	he and his  plump' friend dave ( addy ) as well as their former foreman gerald ( wilkinson ) have been sitting around the club for months without any  call for duty' .	2	-1	 he[0] and[0] his[0] plump'[0] friend[1] dave[0] addy[0] as[0] well[0] as[0] their[0] former[0] foreman[0] gerald[0] wilkinson[0] have[0] been[0] sitting[0] around[0] the[0] club[0] for[0] months[0] without[0] any[0] call[0] for[0] duty'[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what seemingly was just a passing hard time for gaz suddenly transformed itself into desperation when he cannot afford the 700 pounds of child-support money to his ex-wife . 	what seemingly was just a passing hard time for gaz suddenly transformed itself into desperation when he cannot afford the 700 pounds of child-support money to his ex-wife .	2	-3	 what[0] seemingly[0] was[0] just[0] a[0] passing[0] hard[0] time[0] for[0] gaz[0] suddenly[0] transformed[0] itself[0] into[0] desperation[-2] when[0] he[0] cannot[0] afford[0] the[0] 700[0] pounds[0] of[0] child[0] support[1] money[0] to[0] his[0] ex[0] wife[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
suddenly finding himself facing the possiblity of losing custody of his son , he goes on to concoct an enterprising wild-idea to get the money he desperately requires . 	suddenly finding himself facing the possiblity of losing custody of his son , he goes on to concoct an enterprising wild-idea to get the money he desperately requires .	1	-3	 suddenly[0] finding[0] himself[0] facing[0] the[0] possiblity[0] of[0] losing[-2] custody[0] of[0] his[0] son[0] he[0] goes[0] on[0] to[0] concoct[0] an[0] enterprising[0] wild[0] idea[0] to[0] get[0] the[0] money[0] he[0] desperately[-2] requires[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
dave and gerald too have problems of their own . 	dave and gerald too have problems of their own .	1	-2	 dave[0] and[0] gerald[0] too[0] have[0] problems[-1] of[0] their[0] own[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
on top of his lack of employment , dave is also faced with the paranoia of his wife leaving him because of his current financial state as well as his plump' appearance while gerald have been cheating on his wife by not telling her of his layoff for as long as 6 months , leaving home for  work' when he was actually a long-standing member of the worker's club . 	on top of his lack of employment , dave is also faced with the paranoia of his wife leaving him because of his current financial state as well as his plump' appearance while gerald have been cheating on his wife by not telling her of his layoff for as long as 6 months , leaving home for  work' when he was actually a long-standing member of the worker's club .	1	-3	 on[0] top[0] of[0] his[0] lack[-1] of[0] employment[0] dave[0] is[0] also[0] faced[0] with[0] the[0] paranoia[-2] of[0] his[0] wife[0] leaving[0] him[0] because[0] of[0] his[0] current[0] financial[0] state[0] as[0] well[0] as[0] his[0] plump'[0] appearance[0] while[0] gerald[0] have[0] been[0] cheating[-2] on[0] his[0] wife[0] by[0] not[0] telling[0] her[0] of[0] his[0] layoff[0] for[0] as[0] long[0] as[0] 6[0] months[0] leaving[0] home[0] for[0] work'[0] when[0] he[0] was[0] actually[0] a[0] long[0] standing[0] member[0] of[0] the[0] worker's[0] club[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there we have it ; people with real problems and a not-so-practical solution for them . 	there we have it ; people with real problems and a not-so-practical solution for them .	1	-2	 there[0] we[0] have[0] it[0] people[0] with[0] real[0] problems[-1] and[0] a[0] not[0] so[0] practical[0] solution[0] for[0] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
gaz manages to get the support from them and sure enough they managed to get a few other poor jobless blokes to join in their gag : to perform a strip-act at the local pub . 	gaz manages to get the support from them and sure enough they managed to get a few other poor jobless blokes to join in their gag : to perform a strip-act at the local pub .	2	-2	 gaz[0] manages[0] to[0] get[0] the[0] support[1] from[0] them[0] and[0] sure[0] enough[0] they[0] managed[0] to[0] get[0] a[0] few[0] other[0] poor[-1] jobless[-1] blokes[0] to[0] join[0] in[0] their[0] gag[0] to[0] perform[0] a[0] strip[0] act[0] at[0] the[0] local[0] pub[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
