scarface , a remake of the 1932 film of the same name , is a very gripping and , as far as i know , a true-to-life story of how power and violence lead to corruption . 	Translation	Positive	Negative	EmotionRationale
al pacino , as tony montana ( for whom the movie is named ) , also provides a brilliant performance as a cuban refugee who comes to america with less than nothing and becomes one of the most highly respected and feared drug lords in miami . 	al pacino , as tony montana ( for whom the movie is named ) , also provides a brilliant performance as a cuban refugee who comes to america with less than nothing and becomes one of the most highly respected and feared drug lords in miami .	3	-3	 al[0] pacino[0] as[0] tony[0] montana[0] for[0] whom[0] the[0] movie[0] is[0] named[0] also[0] provides[0] a[0] brilliant[1] performance[0] as[0] a[0] cuban[0] refugee[-1] who[0] comes[0] to[0] america[0] with[0] less[0] than[0] nothing[0] and[0] becomes[0] one[0] of[0] the[0] most[0] highly[0] respected[2] and[0] feared[-2] drug[0] lords[0] in[0] miami[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
oliver stone also penned the screenplay in one of his earlier writing roles . 	oliver stone also penned the screenplay in one of his earlier writing roles .	1	-1	 oliver[0] stone[0] also[0] penned[0] the[0] screenplay[0] in[0] one[0] of[0] his[0] earlier[0] writing[0] roles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film begins by disclosing the story of now fidel castro ordered thousands of cubans to set sail and head for the coasts of the united states . 	the film begins by disclosing the story of now fidel castro ordered thousands of cubans to set sail and head for the coasts of the united states .	1	-1	 the[0] film[0] begins[0] by[0] disclosing[0] the[0] story[0] of[0] now[0] fidel[0] castro[0] ordered[0] thousands[0] of[0] cubans[0] to[0] set[0] sail[0] and[0] head[0] for[0] the[0] coasts[0] of[0] the[0] united[0] states[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
many of these cubans had criminal records , such as tony montana , a cocky , fast-talking man who has the look of crime . 	many of these cubans had criminal records , such as tony montana , a cocky , fast-talking man who has the look of crime .	1	-2	 many[0] of[0] these[0] cubans[0] had[0] criminal[-1] records[0] such[0] as[0] tony[0] montana[0] a[0] cocky[-1] fast[0] talking[0] man[0] who[0] has[0] the[0] look[0] of[0] crime[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
nearly right after his arrival in miami , tony is thrust into the gangster life when he participates in a cocaine buy that goes awry . 	nearly right after his arrival in miami , tony is thrust into the gangster life when he participates in a cocaine buy that goes awry .	1	-1	 nearly[0] right[0] after[0] his[0] arrival[0] in[0] miami[0] tony[0] is[0] thrust[0] into[0] the[0] gangster[0] life[0] when[0] he[0] participates[0] in[0] a[0] cocaine[0] buy[0] that[0] goes[0] awry[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
along with his friend and partner , manolo ( steven bauer ) , tony rises in the gangster ranks when he forms a friendship with frank lopez ( robert loggia ) , a high-roller in the organized crime field . 	along with his friend and partner , manolo ( steven bauer ) , tony rises in the gangster ranks when he forms a friendship with frank lopez ( robert loggia ) , a high-roller in the organized crime field .	2	-2	 along[0] with[0] his[0] friend[1] and[0] partner[0] manolo[0] steven[0] bauer[0] tony[0] rises[0] in[0] the[0] gangster[0] ranks[0] when[0] he[0] forms[0] a[0] friendship[1] with[0] frank[0] lopez[0] robert[0] loggia[0] a[0] high[0] roller[0] in[0] the[0] organized[0] crime[-1] field[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
tony also begins to fall in love with elvira ( michelle pfeiffer ) , who at the time was frank's lover . 	tony also begins to fall in love with elvira ( michelle pfeiffer ) , who at the time was frank's lover .	4	-1	 tony[0] also[0] begins[0] to[0] fall[0] in[0] love[2] with[0] elvira[0] michelle[0] pfeiffer[0] who[0] at[0] the[0] time[0] was[0] frank's[0] lover[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
of course , sooner or later in this industry , betrayal and corruption amount into a force greater than anything else , and tony is one of the ones who fall victim to this force . 	of course , sooner or later in this industry , betrayal and corruption amount into a force greater than anything else , and tony is one of the ones who fall victim to this force .	3	-3	 of[0] course[0] sooner[0] or[0] later[0] in[0] this[0] industry[0] betrayal[-2] and[0] corruption[-2] amount[0] into[0] a[0] force[-1] greater[2] than[0] anything[0] else[0] and[0] tony[0] is[0] one[0] of[0] the[0] ones[0] who[0] fall[0] victim[-2] to[0] this[0] force[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
this is not before he becomes one of the most respected , and often feared , men in miami . 	this is not before he becomes one of the most respected , and often feared , men in miami .	3	-3	 this[0] is[0] not[0] before[0] he[0] becomes[0] one[0] of[0] the[0] most[0] respected[2] and[0] often[0] feared[-2] men[0] in[0] miami[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
tony gets to the point where he cannot trust anyone , and everyone he knows basically feels the same way towards him . 	tony gets to the point where he cannot trust anyone , and everyone he knows basically feels the same way towards him .	1	-2	 tony[0] gets[0] to[0] the[0] point[0] where[0] he[0] cannot[0] trust[1][NegatedDueToPreviousWord] anyone[0] and[0] everyone[0] he[0] knows[0] basically[0] feels[0] the[0] same[0] way[0] towards[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
