you don't want to be like mike . 	Translation	Positive	Negative	EmotionRationale
mike has been doing badly . 	mike has been doing badly .	1	-2	 mike[0] has[0] been[0] doing[0] badly[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
embarrassingly bad . 	embarrassingly bad .	1	-3	 embarrassingly[-2] bad[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he broke up a six-year relationship six months ago to move from n . y . to l . a . and he's still not over her . 	he broke up a six-year relationship six months ago to move from n .<br> y .<br> to l .<br> a .<br> and he's still not over her .	1	-2	 he[0] broke[-1] up[0] a[0] six[0] year[0] relationship[0] six[0] months[0] ago[0] to[0] move[0] from[0] n[0] [[Sentence=-2,1=word max, 1-5]] y[0] [[Sentence=-1,1=word max, 1-5]] to[0] l[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] and[0] he's[0] still[0] not[0] over[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
as a result , his jokes fall flat when he tries to impress , and he's a comedian . 	as a result , his jokes fall flat when he tries to impress , and he's a comedian .	2	-1	 as[0] a[0] result[0] his[0] jokes[1] fall[0] flat[0] when[0] he[0] tries[0] to[0] impress[1] and[0] he's[0] a[0] comedian[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
well , an unemployed comedian , one of hollywood's little fish , and it has gotten so bad he's asked for an application at starbuck's . 	well , an unemployed comedian , one of hollywood's little fish , and it has gotten so bad he's asked for an application at starbuck's .	1	-2	 well[0] an[0] unemployed[-1] comedian[0] one[0] of[0] hollywood's[0] little[0] fish[0] and[0] it[0] has[0] gotten[0] so[0] bad[-1] he's[0] asked[0] for[0] an[0] application[0] at[0] starbuck's[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
actually , the starbuck's thing gets even worse . 	actually , the starbuck's thing gets even worse .	1	-3	 actually[0] the[0] starbuck's[0] thing[0] gets[0] even[0] worse[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and worse . 	and worse .	1	-3	 and[0] worse[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
you won't fail to like mike , however , played endearingly by jon favreau . 	you won't fail to like mike , however , played endearingly by jon favreau .	3	-1	 you[0] won't[0] fail[-2][NegatedDueToPreviousWord] to[0] like[1] mike[0] however[0] played[0] endearingly[0] by[0] jon[0] favreau[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
swingers revolves around mike's half-hearted and awkward efforts to get back in the social swing of things . 	swingers revolves around mike's half-hearted and awkward efforts to get back in the social swing of things .	1	-2	 swingers[0] revolves[0] around[0] mike's[0] half[0] hearted[0] and[0] awkward[-1] efforts[0] to[0] get[0] back[0] in[0] the[0] social[0] swing[0] of[0] things[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
to this end he is enthusiastically assisted by his equally underachieving twentysomething actor friends , such as trent ( vince vaughn with the film's most animated performance ) , who has the gift of gab bordering on the disturbing side of motivational speaking , gun-toting sue ( patrick van horn ) , and rob ( ron livingston ) , who once played hamlet but now longs to work as goofy in disneyland , but doesn't succeed because of his lack of " theme park experience . " 	to this end he is enthusiastically assisted by his equally underachieving twentysomething actor friends , such as trent ( vince vaughn with the film's most animated performance ) , who has the gift of gab bordering on the disturbing side of motivational speaking , gun-toting sue ( patrick van horn ) , and rob ( ron livingston ) , who once played hamlet but now longs to work as goofy in disneyland , but doesn't succeed because of his lack of " theme park experience .<br> "	3	-2	 to[0] this[0] end[0] he[0] is[0] enthusiastically[2] assisted[0] by[0] his[0] equally[0] underachieving[0] twentysomething[0] actor[0] friends[1] such[0] as[0] trent[0] vince[0] vaughn[0] with[0] the[0] film's[0] most[0] animated[0] performance[0] who[0] has[0] the[0] gift[0] of[0] gab[0] bordering[0] on[0] the[0] disturbing[-1] side[0] of[0] motivational[0] speaking[0] gun[-1] toting[0] sue[0] patrick[0] van[0] horn[0] and[0] rob[0] ron[0] livingston[0] who[0] once[0] played[0] hamlet[0] but[0] now[0] longs[0] to[0] work[0] as[0] goofy[0] in[0] disneyland[0] but[0] doesn't[0] succeed[2] because[0] of[0] his[0] lack[-1] of[0] theme[0] park[0] experience[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
together they talk about women - how to make eye contact , which involves avoiding it , and when to call so as never to appear desperate , two days being " industry standard . " 	together they talk about women - how to make eye contact , which involves avoiding it , and when to call so as never to appear desperate , two days being " industry standard .<br> "	1	-3	 together[0] they[0] talk[0] about[0] women[0] how[0] to[0] make[0] eye[0] contact[0] which[0] involves[0] avoiding[-1] it[0] and[0] when[0] to[0] call[0] so[0] as[0] never[0] to[0] appear[0] desperate[-2] two[0] days[0] being[0] industry[0] standard[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
after talking the talk , they walk the walk , strutting like the cool swingers they aspire to be , always to laughable effect . 	after talking the talk , they walk the walk , strutting like the cool swingers they aspire to be , always to laughable effect .	2	-2	 after[0] talking[0] the[0] talk[0] they[0] walk[0] the[0] walk[0] strutting[0] like[1] the[0] cool[1] swingers[0] they[0] aspire[0] to[0] be[0] always[0] to[0] laughable[-1] effect[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
to get mike out of his funk , his friends persistently convince him to get outside , whether it be to a quickie night trip to a seedy vegas casino or a cutthroat hollywood party with the beautiful people or a 50s swing lounge . 	to get mike out of his funk , his friends persistently convince him to get outside , whether it be to a quickie night trip to a seedy vegas casino or a cutthroat hollywood party with the beautiful people or a 50s swing lounge .	3	-1	 to[0] get[0] mike[0] out[0] of[0] his[0] funk[0] his[0] friends[1] persistently[0] convince[0] him[0] to[0] get[0] outside[0] whether[0] it[0] be[0] to[0] a[0] quickie[0] night[0] trip[0] to[0] a[0] seedy[0] vegas[0] casino[0] or[0] a[0] cutthroat[0] hollywood[0] party[0] with[0] the[0] beautiful[2] people[0] or[0] a[0] 50s[0] swing[0] lounge[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
