jay and silent bob strike back , kevin smith's swan song to his two most famous characters , is the best received comedy that i've seen since there's something about mary , which is a tea party in comparison to the foul-mouthed humor in jay and silent bob strike back . 	Translation	Positive	Negative	EmotionRationale
the audience didn't just laugh ; they went wild with boisterous laughter and heavy applause throughout . 	the audience didn't just laugh ; they went wild with boisterous laughter and heavy applause throughout .	2	-2	 the[0] audience[0] didn't[0] just[0] laugh[1][-1 LastWordBoosterStrength] they[0] went[0] wild[0] with[0] boisterous[-1] laughter[1] and[0] heavy[0] applause[1] throughout[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in short , if you like really raunchy humor , you may find it , as i did , to be the funniest movie of the year . 	in short , if you like really raunchy humor , you may find it , as i did , to be the funniest movie of the year .	3	-1	 in[0] short[0] if[0] you[0] like[1] really[0] raunchy[0] humor[2] you[0] may[0] find[0] it[0] as[0] i[0] did[0] to[0] be[0] the[0] funniest[1] movie[0] of[0] the[0] year[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 ( on the other hand , if you are one of those who walked out in disgust with smith's dogma , then jay and silent bob strike back is not the movie for you . ) 	 ( on the other hand , if you are one of those who walked out in disgust with smith's dogma , then jay and silent bob strike back is not the movie for you .<br> )	1	-4	 on[0] the[0] other[0] hand[0] if[0] you[0] are[0] one[0] of[0] those[0] who[0] walked[0] out[0] in[0] disgust[-3] with[0] smith's[0] dogma[0] then[0] jay[0] and[0] silent[0] bob[0] strike[-1] back[0] is[0] not[0] the[0] movie[0] for[0] you[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in one of the fastest paced movies of the year , the story has jay and silent bob ( jason mewes and kevin smith ) , a pair of card carrying drug dealers , traveling from their new jersey convenience store home to hollywood so that they can stop a movie . 	in one of the fastest paced movies of the year , the story has jay and silent bob ( jason mewes and kevin smith ) , a pair of card carrying drug dealers , traveling from their new jersey convenience store home to hollywood so that they can stop a movie .	1	-1	 in[0] one[0] of[0] the[0] fastest[0] paced[0] movies[0] of[0] the[0] year[0] the[0] story[0] has[0] jay[0] and[0] silent[0] bob[0] jason[0] mewes[0] and[0] kevin[0] smith[0] a[0] pair[0] of[0] card[0] carrying[0] drug[0] dealers[0] traveling[0] from[0] their[0] new[0] jersey[0] convenience[0] store[0] home[0] to[0] hollywood[0] so[0] that[0] they[0] can[0] stop[0] a[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it seems their comic book alter egos , bluntman and chronic , are being used in a movie without jay and silent bob's consent . 	it seems their comic book alter egos , bluntman and chronic , are being used in a movie without jay and silent bob's consent .	1	-3	 it[0] seems[0] their[0] comic[0] book[0] alter[0] egos[0] bluntman[-1] and[0] chronic[-2] are[0] being[0] used[0] in[0] a[0] movie[0] without[0] jay[0] and[0] silent[0] bob's[0] consent[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
jason biggs and james van der beek are slated to star in it . 	jason biggs and james van der beek are slated to star in it .	1	-1	 jason[0] biggs[0] and[0] james[0] van[0] der[0] beek[0] are[0] slated[0] to[0] star[0] in[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jay and silent bob strike back has more and better used cameos than just about any movie that i've ever seen . 	jay and silent bob strike back has more and better used cameos than just about any movie that i've ever seen .	1	-2	 jay[0] and[0] silent[0] bob[0] strike[-1] back[0] has[0] more[0] and[0] better[0] used[0] cameos[0] than[0] just[0] about[0] any[0] movie[0] that[0] i've[0] ever[0] seen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
among others , they include carrie fisher as a bible-toting nun , mark hamill as a comic book version of his famous alter ego and gus van sant as a director too busy counting his money to yell , " action ! " 	among others , they include carrie fisher as a bible-toting nun , mark hamill as a comic book version of his famous alter ego and gus van sant as a director too busy counting his money to yell , " action !<br> "	1	-1	 among[0] others[0] they[0] include[0] carrie[0] fisher[0] as[0] a[0] bible[0] toting[0] nun[0] mark[0] hamill[0] as[0] a[0] comic[0] book[0] version[0] of[0] his[0] famous[0] alter[0] ego[0] and[0] gus[0] van[0] sant[0] as[0] a[0] director[0] too[0] busy[0] counting[0] his[0] money[0] to[0] yell[0] action[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
best of all are ben affleck and matt damon who mock themselves and their movies . 	best of all are ben affleck and matt damon who mock themselves and their movies .	2	-3	 best[1] of[0] all[0] are[0] ben[0] affleck[0] and[0] matt[0] damon[0] who[0] mock[-2] themselves[0] and[0] their[0] movies[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the film stops several times to make fun of itself and of the audience who was " stupid " enough to buy tickets to this movie . 	the film stops several times to make fun of itself and of the audience who was " stupid " enough to buy tickets to this movie .	2	-2	 the[0] film[0] stops[0] several[0] times[0] to[0] make[0] fun[1] of[0] itself[0] and[0] of[0] the[0] audience[0] who[0] was[0] stupid[-1] enough[0] to[0] buy[0] tickets[0] to[0] this[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 ( actually , purchasing tickets to this film is extremely smart given that it delivers more laughter per dollar than anything in recent memory . ) 	 ( actually , purchasing tickets to this film is extremely smart given that it delivers more laughter per dollar than anything in recent memory .<br> )	4	-1	 actually[0] purchasing[0] tickets[0] to[0] this[0] film[0] is[0] extremely[0] smart[1][2 LastWordBoosterStrength] given[0] that[0] it[0] delivers[0] more[0] laughter[1] per[0] dollar[0] than[0] anything[0] in[0] recent[0] memory[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the film even skewers people who write about movies on the internet . 	the film even skewers people who write about movies on the internet .	1	-1	 the[0] film[0] even[0] skewers[0] people[0] who[0] write[0] about[0] movies[0] on[0] the[0] internet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
guilty . 	guilty .	1	-4	 guilty[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
although it's filled with inside jokes , you'll still be laughing even if you only get some of them . 	although it's filled with inside jokes , you'll still be laughing even if you only get some of them .	2	-1	 although[0] it's[0] filled[0] with[0] inside[0] jokes[1] you'll[0] still[0] be[0] laughing[1] even[0] if[0] you[0] only[0] get[0] some[0] of[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's easy to understand enough so that they are still funny . 	it's easy to understand enough so that they are still funny .	2	-1	 it's[0] easy[0] to[0] understand[0] enough[0] so[0] that[0] they[0] are[0] still[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
jay is a motor mouth who hasn't met a subject that he couldn't vulgarize . 	jay is a motor mouth who hasn't met a subject that he couldn't vulgarize .	1	-1	 jay[0] is[0] a[0] motor[0] mouth[0] who[0] hasn't[0] met[0] a[0] subject[0] that[0] he[0] couldn't[0] vulgarize[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his favorite topic is oral sex , but , being an equal opportunity profaner , he's willing to make crude jokes about absolutely anything . 	his favorite topic is oral sex , but , being an equal opportunity profaner , he's willing to make crude jokes about absolutely anything .	2	-2	 his[0] favorite[1] topic[0] is[0] oral[0] sex[0] but[0] being[0] an[0] equal[0] opportunity[0] profaner[0] he's[0] willing[0] to[0] make[0] crude[-1] jokes[1] about[0] absolutely[0] anything[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but it is his buddy , the aptly named silent bob , who is responsible for most of the movie's success . 	but it is his buddy , the aptly named silent bob , who is responsible for most of the movie's success .	3	-1	 but[0] it[0] is[0] his[0] buddy[0] the[0] aptly[0] named[0] silent[0] bob[0] who[0] is[0] responsible[0] for[0] most[0] of[0] the[0] movie's[0] success[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
his reaction shots , with his wildly exaggerated eye movements , are comedic gems . 	his reaction shots , with his wildly exaggerated eye movements , are comedic gems .	1	-2	 his[0] reaction[0] shots[0] with[0] his[0] wildly[0] exaggerated[-1] eye[0] movements[0] are[0] comedic[0] gems[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the story's main subplot concerns four animal rights activists , justice ( shannon elizabeth ) and her three sexy buddies , sissy ( eliza dushku ) , missy ( jennifer schwalbach smith ) and chrissy ( ali larter ) . 	the story's main subplot concerns four animal rights activists , justice ( shannon elizabeth ) and her three sexy buddies , sissy ( eliza dushku ) , missy ( jennifer schwalbach smith ) and chrissy ( ali larter ) .	3	-2	 the[0] story's[0] main[0] subplot[0] concerns[-1] four[0] animal[0] rights[0] activists[0] justice[0] shannon[0] elizabeth[0] and[0] her[0] three[0] sexy[2] buddies[0] sissy[0] eliza[0] dushku[0] missy[0] jennifer[0] schwalbach[0] smith[0] and[0] chrissy[0] ali[0] larter[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
these charlie's angels types give a ride to our heroes on their trek to lalaland to stop the picture . 	these charlie's angels types give a ride to our heroes on their trek to lalaland to stop the picture .	3	-1	 these[0] charlie's[0] angels[0] types[0] give[0] a[0] ride[0] to[0] our[0] heroes[2] on[0] their[0] trek[0] to[0] lalaland[0] to[0] stop[0] the[0] picture[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
jay tries to put the moves on justice , but he doesn't stay in command of the situation for long . 	jay tries to put the moves on justice , but he doesn't stay in command of the situation for long .	1	-1	 jay[0] tries[0] to[0] put[0] the[0] moves[0] on[0] justice[0] but[0] he[0] doesn't[0] stay[0] in[0] command[0] of[0] the[0] situation[0] for[0] long[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one of the funnier sight gags has the women using a pink , clam-shaped , birth control case that contains high tech gadgetry . 	one of the funnier sight gags has the women using a pink , clam-shaped , birth control case that contains high tech gadgetry .	2	-1	 one[0] of[0] the[0] funnier[1] sight[0] gags[0] has[0] the[0] women[0] using[0] a[0] pink[0] clam[0] shaped[0] birth[0] control[0] case[0] that[0] contains[0] high[0] tech[0] gadgetry[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
granted , it's not the movie for everyone , but , if you like kevin smith's brand of humor , you'll find that this is his best . 	granted , it's not the movie for everyone , but , if you like kevin smith's brand of humor , you'll find that this is his best .	3	-1	 granted[0] it's[0] not[0] the[0] movie[0] for[0] everyone[0] but[0] if[0] you[0] like[1] kevin[0] smith's[0] brand[0] of[0] humor[2] you'll[0] find[0] that[0] this[0] is[0] his[0] best[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and , as i said earlier , it's the funniest movie of the year thus far . 	and , as i said earlier , it's the funniest movie of the year thus far .	2	-1	 and[0] as[0] i[0] said[0] earlier[0] it's[0] the[0] funniest[1] movie[0] of[0] the[0] year[0] thus[0] far[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
no , wait . 	no , wait .	1	-1	 no[0] wait[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
forget ,  thus far . ' 	forget ,  thus far .<br> '	1	-1	 forget[0] thus[0] far[0] [[Sentence=-1,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's bound to be the funniest movie of the year . 	it's bound to be the funniest movie of the year .	2	-1	 it's[0] bound[0] to[0] be[0] the[0] funniest[1] movie[0] of[0] the[0] year[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in a time when almost every movie feels obligated to come in at pg-13 so that they can rake in the maximum cash , it's great to see a filmmaker with the guts to target only a mature audience . 	in a time when almost every movie feels obligated to come in at pg-13 so that they can rake in the maximum cash , it's great to see a filmmaker with the guts to target only a mature audience .	3	-1	 in[0] a[0] time[0] when[0] almost[0] every[0] movie[0] feels[0] obligated[0] to[0] come[0] in[0] at[0] pg[0] -13[0] so[0] that[0] they[0] can[0] rake[0] in[0] the[0] maximum[0] cash[0] it's[0] great[2] to[0] see[0] a[0] filmmaker[0] with[0] the[0] guts[0] to[0] target[0] only[0] a[0] mature[0] audience[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
jay and silent bob strike back runs a lightening fast 1 : 35 . 	jay and silent bob strike back runs a lightening fast 1 : 35 .	1	-2	 jay[0] and[0] silent[0] bob[0] strike[-1] back[0] runs[0] a[0] lightening[0] fast[0] 1[0] 35[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is rated r and contains pervasive crude humor and language and sexual situations . 	it is rated are and contains pervasive crude humor and language and sexual situations .	3	-2	 it[0] is[0] rated[0] r[0] and[0] contains[0] pervasive[0] crude[-1] humor[2] and[0] language[0] and[0] sexual[0] situations[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it would be acceptable for high school seniors and older . 	it would be acceptable for high school seniors and older .	1	-1	 it[0] would[0] be[0] acceptable[0] for[0] high[0] school[0] seniors[0] and[0] older[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film opens nationwide in the united states on wednesday , august 22 , 2001 . 	the film opens nationwide in the united states on wednesday , august 22 , 2001 .	1	-1	 the[0] film[0] opens[0] nationwide[0] in[0] the[0] united[0] states[0] on[0] wednesday[0] august[0] 22[0] 2001[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the silicon valley , it will be showing at the amc and the century theaters . 	in the silicon valley , it will be showing at the amc and the century theaters .	1	-1	 in[0] the[0] silicon[0] valley[0] it[0] will[0] be[0] showing[0] at[0] the[0] amc[0] and[0] the[0] century[0] theaters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
