it's not often that i laugh so hard at a movie that my head hurts . 	Translation	Positive	Negative	EmotionRationale
but that's just what happened to me at uhf , weird al yankovic's big screen debut . 	but that's just what happened to me at uhf , weird al yankovic's big screen debut .	1	-2	 but[0] that's[0] just[0] what[0] happened[0] to[0] me[0] at[0] uhf[0] weird[-1] al[0] yankovic's[0] big[0] screen[0] debut[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
uhf is a television parody a la airplane , and like airplane , the movie is extraordinarily stupid . 	uhf is a television parody a la airplane , and like airplane , the movie is extraordinarily stupid .	2	-2	 uhf[0] is[0] a[0] television[0] parody[0] a[0] la[0] airplane[0] and[0] like[1] airplane[0] the[0] movie[0] is[0] extraordinarily[0] stupid[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but it's dumb in the best way a movie can be dumb : it's so silly and outrageous it's hilarious . 	but it's dumb in the best way a movie can be dumb : it's so silly and outrageous it's hilarious .	3	-3	 but[0] it's[0] dumb[-1] in[0] the[0] best[1] way[0] a[0] movie[0] can[0] be[0] dumb[-1] it's[0] so[0] silly[-1] and[0] outrageous[-2] it's[0] hilarious[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the movie stars weird al as george newman , a world class nerd with a hyperactive imagination , the type who fantasizes he's indiana jones and who uses hostess twinkies as hot dog buns . 	the movie stars weird al as george newman , a world class nerd with a hyperactive imagination , the type who fantasizes he's indiana jones and who uses hostess twinkies as hot dog buns .	1	-3	 the[0] movie[0] stars[0] weird[-1] al[0] as[0] george[0] newman[0] a[0] world[0] class[0] nerd[-2] with[0] a[0] hyperactive[0] imagination[0] the[0] type[0] who[0] fantasizes[0] he's[0] indiana[0] jones[0] and[0] who[0] uses[0] hostess[0] twinkies[0] as[0] hot[0] dog[0] buns[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
george is basically a loser ; his daydreams and smart-alec attitude perpetually prevent him from holding onto a job for more than two weeks . 	george is basically a loser ; his daydreams and smart-alec attitude perpetually prevent him from holding onto a job for more than two weeks .	2	-3	 george[0] is[0] basically[0] a[0] loser[-2] his[0] daydreams[0] and[0] smart[1] alec[0] attitude[0] perpetually[0] prevent[0] him[0] from[0] holding[0] onto[0] a[0] job[0] for[0] more[0] than[0] two[0] weeks[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but george finally gets a chance to funnel his creativity into something productive when his uncle wins channel 62 in a poker game and makes him the general manager of the struggling uhf television station . 	but george finally gets a chance to funnel his creativity into something productive when his uncle wins channel 62 in a poker game and makes him the general manager of the struggling uhf television station .	1	-2	 but[0] george[0] finally[0] gets[0] a[0] chance[0] to[0] funnel[0] his[0] creativity[0] into[0] something[0] productive[0] when[0] his[0] uncle[0] wins[0] channel[0] 62[0] in[0] a[0] poker[0] game[0] and[0] makes[0] him[0] the[0] general[0] manager[0] of[0] the[0] struggling[-1] uhf[0] television[0] station[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
george revives channel 62 with innovative programming : shows like " wheel of fish " and movies like " conan , the librarian . " 	george revives channel 62 with innovative programming : shows like " wheel of fish " and movies like " conan , the librarian .<br> "	2	-1	 george[0] revives[0] channel[0] 62[0] with[0] innovative[0] programming[0] shows[0] like[1] wheel[0] of[0] fish[0] and[0] movies[0] like[1] conan[0] the[0] librarian[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as the station's ratings rise , it comes into competition with channel 8 , the leading vhf network-affiliate . 	as the station's ratings rise , it comes into competition with channel 8 , the leading vhf network-affiliate .	1	-1	 as[0] the[0] station's[0] ratings[0] rise[0] it[0] comes[0] into[0] competition[0] with[0] channel[0] 8[0] the[0] leading[0] vhf[0] network[0] affiliate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as r . j . 	as are .<br> j .	1	-1	 as[0] r[0] [[Sentence=-1,1=word max, 1-5]] j[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fletcher--channel 8's ill-natured , hard-nosed owner--veteran stage and film actor kevin mccarthy is flamboyantly sleazy ; he really hams it up with his snorts , grimaces , and scowls . 	fletcher-channel 8's ill-natured , hard-nosed owner-veteran stage and film actor kevin mccarthy is flamboyantly sleazy ; he really hams it up with his snorts , grimaces , and scowls .	1	-3	 fletcher[0] channel[0] 8's[0] ill[-1] natured[0] hard[0] nosed[0] owner[0] veteran[0] stage[0] and[0] film[0] actor[0] kevin[0] mccarthy[0] is[0] flamboyantly[0] sleazy[-2] he[0] really[0] hams[0] it[0] up[0] with[0] his[0] snorts[0] grimaces[-2] and[0] scowls[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
