when i was asked to see this movie with a friend , my initial reaction was ? not hugh grant ! ' 	Translation	Positive	Negative	EmotionRationale
i was perhaps wrong to be so harsh , but after his insidious flirtation with a street hooker , i just could not picture him in any romantic lead . 	i was perhaps wrong to be so harsh , but after his insidious flirtation with a street hooker , i just could not picture him in any romantic lead .	4	-3	 i[0] was[0] perhaps[0] wrong[-1] to[0] be[0] so[0] harsh[-1] but[0] after[0] his[0] insidious[-2] flirtation[1] with[0] a[0] street[0] hooker[0] i[0] just[0] could[0] not[0] picture[0] him[0] in[0] any[0] romantic[3] lead[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
what makes this movie a wonderful experience is not the fact it stars hugh , but because it stars julia and carries with it a brilliantly written script . 	what makes this movie a wonderful experience is not the fact it stars hugh , but because it stars julia and carries with it a brilliantly written script .	3	-1	 what[0] makes[0] this[0] movie[0] a[0] wonderful[2] experience[0] is[0] not[0] the[0] fact[0] it[0] stars[0] hugh[0] but[0] because[0] it[0] stars[0] julia[0] and[0] carries[0] with[0] it[0] a[0] brilliantly[1] written[0] script[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this writer richard curtis , whose exceptional first work ? four weddings and funeral' shows us that he is a master in the domain of the romantic comedy , with splashes of drama thrown in between . 	this writer richard curtis , whose exceptional first work ?<br> four weddings and funeral' shows us that he is a master in the domain of the romantic comedy , with splashes of drama thrown in between .	4	-1	 this[0] writer[0] richard[0] curtis[0] whose[0] exceptional[0] first[0] work[0] [[Sentence=-1,1=word max, 1-5]] four[0] weddings[0] and[0] funeral'[0] shows[0] us[0] that[0] he[0] is[0] a[0] master[0] in[0] the[0] domain[0] of[0] the[0] romantic[3] comedy[0] with[0] splashes[0] of[0] drama[0] thrown[0] in[0] between[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
hugh and his hair , is almost identical to the character that made him famous in ? four weddings' . 	hugh and his hair , is almost identical to the character that made him famous in ?<br> four weddings' .	1	-1	 hugh[0] and[0] his[0] hair[0] is[0] almost[0] identical[0] to[0] the[0] character[0] that[0] made[0] him[0] famous[0] in[0] [[Sentence=-1,1=word max, 1-5]] four[0] weddings'[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he plays an ordinary guy who is down and out on his luck . 	he plays an ordinary guy who is down and out on his luck .	3	-1	 he[0] plays[1] an[0] ordinary[0] guy[0] who[0] is[0] down[0] and[0] out[0] on[0] his[0] luck[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
unfortunately , he is type cast in this role , but fortunately it works well for him in this movie . 	unfortunately , he is type cast in this role , but fortunately it works well for him in this movie .	1	-2	 unfortunately[-1] he[0] is[0] type[0] cast[0] in[0] this[0] role[0] but[0] fortunately[0] it[0] works[0] well[0] for[0] him[0] in[0] this[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if only he would dither a little less . 	if only he would dither a little less .	1	-1	 if[0] only[0] he[0] would[0] dither[0] a[0] little[0] less[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
julia knows this role well . 	julia knows this role well .	1	-1	 julia[0] knows[0] this[0] role[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the glamorous movie star who is searching for true love . 	the glamorous movie star who is searching for true love .	3	-1	 the[0] glamorous[1] movie[0] star[0] who[0] is[0] searching[0] for[0] true[1] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there are moments in this movie , that you almost weep for her pain felt loneliness . 	there are moments in this movie , that you almost weep for her pain felt loneliness .	1	-4	 there[0] are[0] moments[0] in[0] this[0] movie[0] that[0] you[0] almost[0] weep[-2] for[0] her[0] pain[-3] felt[0] loneliness[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
how sad it must be to be so wealthy and beautiful , but to have no one to share it with . 	how sad it must be to be so wealthy and beautiful , but to have no one to share it with .	3	-4	 how[0] sad[-3] it[0] must[0] be[0] to[0] be[0] so[0] wealthy[0] and[0] beautiful[2] but[0] to[0] have[0] no[0] one[0] to[0] share[0] it[0] with[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the writer deals with difficult issues of love and social class on various levels . 	the writer deals with difficult issues of love and social class on various levels .	3	-2	 the[0] writer[0] deals[0] with[0] difficult[-1] issues[0] of[0] love[2] and[0] social[0] class[0] on[0] various[0] levels[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
how differences in social standing can make it almost impossible for love to grow in such a harsh environment . 	how differences in social standing can make it almost impossible for love to grow in such a harsh environment .	3	-2	 how[0] differences[0] in[0] social[0] standing[0] can[0] make[0] it[0] almost[0] impossible[0] for[0] love[2] to[0] grow[0] in[0] such[0] a[0] harsh[-1] environment[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
how the media can be as cruel as it can be attentive , and how fulfilment in life and love can be found in forgiveness and sacrifice . 	how the media can be as cruel as it can be attentive , and how fulfilment in life and love can be found in forgiveness and sacrifice .	3	-4	 how[0] the[0] media[0] can[0] be[0] as[0] cruel[-3] as[0] it[0] can[0] be[0] attentive[0] and[0] how[0] fulfilment[0] in[0] life[0] and[0] love[2] can[0] be[0] found[0] in[0] forgiveness[1] and[0] sacrifice[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
