this " dumb " cowboy blondie who thinks he is a `darn' good loverboy , decides to leave his dusty ol' town somewhere in texas and go to new york . 	Translation	Positive	Negative	EmotionRationale
he puts on his beloved cowboy attire and off he hops on the next new york coach . 	he puts on his beloved cowboy attire and off he hops on the next new york coach .	3	-1	 he[0] puts[0] on[0] his[0] beloved[2] cowboy[0] attire[0] and[0] off[0] he[0] hops[0] on[0] the[0] next[0] new[0] york[0] coach[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
when he arrives to new york , he immediately sets out to play mr playboy thinking he is the best  darn'  stud' in the whol'o' new york city . 	when he arrives to new york , he immediately sets out to play mr playboy thinking he is the best  darn'  stud' in the whol'o' new york city .	2	-1	 when[0] he[0] arrives[0] to[0] new[0] york[0] he[0] immediately[0] sets[0] out[0] to[0] play[0] mr[0] playboy[0] thinking[0] he[0] is[0] the[0] best[1] darn'[0] stud'[0] in[0] the[0] whol'o'[0] new[0] york[0] city[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
obviously he fails . 	obviously he fails .	1	-3	 obviously[0] he[0] fails[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he meets the 'cripple' rico ( dustin hoffman , who is terrifically good ) in a bar . 	he meets the 'cripple' rico ( dustin hoffman , who is terrifically good ) in a bar .	4	-1	 he[0] meets[0] the[0] 'cripple'[0] rico[0] dustin[0] hoffman[0] who[0] is[0] terrifically[3] good[1] in[0] a[0] bar[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
rico has a leg that is paralysed from the knee down , so he walks in a peculiar way . 	rico has a leg that is paralysed from the knee down , so he walks in a peculiar way .	1	-1	 rico[0] has[0] a[0] leg[0] that[0] is[0] paralysed[0] from[0] the[0] knee[0] down[0] so[0] he[0] walks[0] in[0] a[0] peculiar[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rico is a thief and wants to get some money off this 'rich' dumb cowboy . 	rico is a thief and wants to get some money off this 'rich' dumb cowboy .	1	-2	 rico[0] is[0] a[0] thief[-1] and[0] wants[0] to[0] get[0] some[0] money[0] off[0] this[0] 'rich'[0] dumb[-1] cowboy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he cheats our cowboy out of  20 through a somewhat detailed routine and disappears . 	he cheats our cowboy out of  20 through a somewhat detailed routine and disappears .	1	-3	 he[0] cheats[-2] our[0] cowboy[0] out[0] of[0] 20[0] through[0] a[0] somewhat[0] detailed[0] routine[0] and[0] disappears[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
soon , our cowboy runs out of money : he gets kicked out of his hotel , and starts getting hungry . 	soon , our cowboy runs out of money : he gets kicked out of his hotel , and starts getting hungry .	1	-2	 soon[0] our[0] cowboy[0] runs[0] out[0] of[0] money[0] he[0] gets[0] kicked[-1] out[0] of[0] his[0] hotel[0] and[0] starts[0] getting[0] hungry[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
walking through the city , with " everybody's talkin' " playing in the background ( oh , and his prided techno transistor radio in hand ) , he spots rico in a cafe . 	walking through the city , with " everybody's talkin' " playing in the background ( oh , and his prided techno transistor radio in hand ) , he spots rico in a cafe .	2	-1	 walking[0] through[0] the[0] city[0] with[0] everybody's[0] talkin'[0] playing[1] in[0] the[0] background[0] oh[0] and[0] his[0] prided[0] techno[0] transistor[0] radio[0] in[0] hand[0] he[0] spots[0] rico[0] in[0] a[0] cafe[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
rico , half-scared , pours out all the money in his pocket . 	rico , half-scared , pours out all the money in his pocket .	1	-4	 rico[0] half[0] scared[-3] pours[0] out[0] all[0] the[0] money[0] in[0] his[0] pocket[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
60 filthy cents . 	60 filthy cents .	1	-2	 60[0] filthy[-1] cents[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
our cowboy , hungry , is forgiving . 	our cowboy , hungry , is forgiving .	2	-2	 our[0] cowboy[0] hungry[-1] is[0] forgiving[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he is glad he found someone he knows . 	he is glad he found someone he knows .	2	-1	 he[0] is[0] glad[1] he[0] found[0] someone[0] he[0] knows[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
