apocalypse now , based on the novel " hearts of darkness " , is an extremely striking , gripping , and horrifying depiction of the vietnam war from another angle . 	Translation	Positive	Negative	EmotionRationale
a long debate has surrounded this movie as if it is actually an anti-war film . 	a long debate has surrounded this movie as if it is actually an anti-war film .	1	-3	 a[0] long[0] debate[0] has[0] surrounded[0] this[0] movie[0] as[0] if[0] it[0] is[0] actually[0] an[0] anti[0] war[-2] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in many ways , this debate could go either way . 	in many ways , this debate could go either way .	1	-1	 in[0] many[0] ways[0] this[0] debate[0] could[0] go[0] either[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
apocalypse now is probably one of the most memorable vietnam war films ever made . 	apocalypse now is probably one of the most memorable vietnam war films ever made .	1	-3	 apocalypse[0] now[0] is[0] probably[0] one[0] of[0] the[0] most[0] memorable[0] vietnam[0] war[-2] films[0] ever[0] made[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in addition , now film has gone to the extremes that this film does - a disturbing look at the corruption and terrifying effects of the most devastating war of recent years . 	in addition , now film has gone to the extremes that this film does - a disturbing look at the corruption and terrifying effects of the most devastating war of recent years .	1	-5	 in[0] addition[0] now[0] film[0] has[0] gone[0] to[0] the[0] extremes[0] that[0] this[0] film[0] does[0] a[0] disturbing[-1] look[0] at[0] the[0] corruption[-2] and[0] terrifying[-3] effects[0] of[0] the[0] most[0] devastating[-4] war[-2][-1 MultiplePositiveWords] of[0] recent[0] years[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
apocalypse now follows the mission captain benjamin l . willard , played by martin sheen , to seek out and eliminate colonel walter e . kurtz , a green beret who is thought to have gone insane and set up his own militant base in cambodia . 	apocalypse now follows the mission captain benjamin l .<br> willard , played by martin sheen , to seek out and eliminate colonel walter e .<br> kurtz , a green beret who is thought to have gone insane and set up his own militant base in cambodia .	1	-2	 apocalypse[0] now[0] follows[0] the[0] mission[0] captain[0] benjamin[0] l[0] [[Sentence=-1,1=word max, 1-5]] willard[0] played[0] by[0] martin[0] sheen[0] to[0] seek[0] out[0] and[0] eliminate[-1] colonel[0] walter[0] e[0] [[Sentence=-2,1=word max, 1-5]] kurtz[0] a[0] green[0] beret[0] who[0] is[0] thought[0] to[0] have[0] gone[0] insane[-1] and[0] set[0] up[0] his[0] own[0] militant[0] base[0] in[0] cambodia[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
captain willard is ordered to assassinate kurtz with " extreme prejudice " because he has been deemed a murderer . 	captain willard is ordered to assassinate kurtz with " extreme prejudice " because he has been deemed a murderer .	1	-4	 captain[0] willard[0] is[0] ordered[0] to[0] assassinate[-2] kurtz[0] with[0] extreme[0] prejudice[-2] because[0] he[0] has[0] been[0] deemed[0] a[0] murderer[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
willard accepts his mission , but not while pondering the accusation . 	willard accepts his mission , but not while pondering the accusation .	1	-2	 willard[0] accepts[0] his[0] mission[0] but[0] not[0] while[0] pondering[0] the[0] accusation[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
accusing someone of murder in this situation is like " handing out speeding tickets at the indy 500 " , as he puts it . 	accusing someone of murder in this situation is like " handing out speeding tickets at the indy 500 " , as he puts it .	2	-4	 accusing[-1] someone[0] of[0] murder[-3] in[0] this[0] situation[0] is[0] like[1] handing[0] out[0] speeding[0] tickets[0] at[0] the[0] indy[0] 500[0] as[0] he[0] puts[0] it[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it doesn't make too much sense . 	it doesn't make too much sense .	1	-1	 it[0] doesn't[0] make[0] too[0] much[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
escorting him on his mission are a group of men who operate a riverboat . 	escorting him on his mission are a group of men who operate a riverboat .	1	-1	 escorting[0] him[0] on[0] his[0] mission[0] are[0] a[0] group[0] of[0] men[0] who[0] operate[0] a[0] riverboat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
