books could be , and indeed have been written about the star wars trilogy , and rightfully so . 	Translation	Positive	Negative	EmotionRationale
this is a set of movies that shattered all expectations of what science fiction could be in the late 70s/early 80s , inspiring literally dozens of clones , from battlestar galactica all the way up to stargate and independance day , and one could argue revitalizing the whole science fiction genre . 	this is a set of movies that shattered all expectations of what science fiction could be in the late 70s/early 80s , inspiring literally dozens of clones , from battlestar galactica all the way up to stargate and independance day , and one could argue revitalizing the whole science fiction genre .	3	-2	 this[0] is[0] a[0] set[0] of[0] movies[0] that[0] shattered[0] all[0] expectations[0] of[0] what[0] science[0] fiction[0] could[0] be[0] in[0] the[0] late[0] 70s/early[0] 80s[0] inspiring[2] literally[0] dozens[0] of[0] clones[0] from[0] battlestar[-1] galactica[0] all[0] the[0] way[0] up[0] to[0] stargate[0] and[0] independance[0] day[0] and[0] one[0] could[0] argue[-1][--1 LastWordBoosterStrength] revitalizing[0] the[0] whole[0] science[0] fiction[0] genre[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the special effects were groundbreaking , revolutionary for their day and still eminently watchable well into twenty years later . 	the special effects were groundbreaking , revolutionary for their day and still eminently watchable well into twenty years later .	2	-2	 the[0] special[1] effects[0] were[0] groundbreaking[0] revolutionary[-1] for[0] their[0] day[0] and[0] still[0] eminently[0] watchable[0] well[0] into[0] twenty[0] years[0] later[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
literally millions of people have seen the star wars trilogy and been touched by it . 	literally millions of people have seen the star wars trilogy and been touched by it .	1	-3	 literally[0] millions[0] of[0] people[0] have[0] seen[0] the[0] star[0] wars[-2] trilogy[0] and[0] been[0] touched[0] by[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and now , george lucas brings it back for a new audience to enjoy . 	and now , george lucas brings it back for a new audience to enjoy .	3	-1	 and[0] now[0] george[0] lucas[0] brings[0] it[0] back[0] for[0] a[0] new[0] audience[0] to[0] enjoy[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
much has been and is still being made of the fact that mr . lucas has gone back and revised his trilogy for rerelease now . 	much has been and is still being made of the fact that mr .<br> lucas has gone back and revised his trilogy for rerelease now .	1	-1	 much[0] has[0] been[0] and[0] is[0] still[0] being[0] made[0] of[0] the[0] fact[0] that[0] mr[0] [[Sentence=-1,1=word max, 1-5]] lucas[0] has[0] gone[0] back[0] and[0] revised[0] his[0] trilogy[0] for[0] rerelease[0] now[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some fans are angry that he has dared to meddle with what they consider perfection , while others are thrilled by the idea of seeing yesterday's star wars updated with today's special effects wizardry . 	some fans are angry that he has dared to meddle with what they consider perfection , while others are thrilled by the idea of seeing yesterday's star wars updated with today's special effects wizardry .	4	-4	 some[0] fans[0] are[0] angry[-3] that[0] he[0] has[0] dared[0] to[0] meddle[-1] with[0] what[0] they[0] consider[0] perfection[1] while[0] others[0] are[0] thrilled[3] by[0] the[0] idea[0] of[0] seeing[0] yesterday's[0] star[0] wars[-2] updated[0] with[0] today's[0] special[1] effects[0] wizardry[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
either way , the special edition release means that star wars is back on the big screen , where it rightfully deserves to be seen . 	either way , the special edition release means that star wars is back on the big screen , where it rightfully deserves to be seen .	2	-3	 either[0] way[0] the[0] special[1] edition[0] release[0] means[0] that[0] star[0] wars[-2] is[0] back[0] on[0] the[0] big[0] screen[0] where[0] it[0] rightfully[0] deserves[0] to[0] be[0] seen[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
can there be anyone in the world who doesn't know what star wars is about ? 	can there be anyone in the world who doesn't know what star wars is about ?	1	-3	 can[0] there[0] be[0] anyone[0] in[0] the[0] world[0] who[0] doesn't[0] know[0] what[0] star[0] wars[-2] is[0] about[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in a way , star wars is so much a part of our cultural heritage that it feels silly and almost artificial to try to summarize it . 	in a way , star wars is so much a part of our cultural heritage that it feels silly and almost artificial to try to summarize it .	1	-3	 in[0] a[0] way[0] star[0] wars[-2] is[0] so[0] much[0] a[0] part[0] of[0] our[0] cultural[0] heritage[0] that[0] it[0] feels[0] silly[-1] and[0] almost[0] artificial[0] to[0] try[0] to[0] summarize[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's a story about a young man's coming of age , a fight for freedom against an oppressive empire , a tale of swashbuckling and derring-do the likes of which haven't been seen on the silver screen in decades , strange new worlds with strange alien creatures and weird surprises around every turn , and the yearning within each of us to realize our dreams and make a difference in the world . 	it's a story about a young man's coming of age , a fight for freedom against an oppressive empire , a tale of swashbuckling and derring-do the likes of which haven't been seen on the silver screen in decades , strange new worlds with strange alien creatures and weird surprises around every turn , and the yearning within each of us to realize our dreams and make a difference in the world .	3	-3	 it's[0] a[0] story[0] about[0] a[0] young[0] man's[0] coming[0] of[0] age[0] a[0] fight[-2] for[0] freedom[0] against[-1] an[0] oppressive[-2] empire[0] a[0] tale[0] of[0] swashbuckling[0] and[0] derring[0] do[0] the[0] likes[2] of[0] which[0] haven't[0] been[0] seen[0] on[0] the[0] silver[0] screen[0] in[0] decades[0] strange[0] new[0] worlds[0] with[0] strange[0] alien[-1] creatures[0] and[0] weird[-1] surprises[0] around[0] every[0] turn[0] and[0] the[0] yearning[-1] within[0] each[0] of[0] us[0] to[0] realize[0] our[0] dreams[0] and[0] make[0] a[0] difference[0] in[0] the[0] world[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it's high adventure , incredible special effects , and . . . well , it's just an _experience_ . 	it's high adventure , incredible special effects , and .<br> .<br> .<br> well , it's just an _experience_ .	2	-1	 it's[0] high[0] adventure[0] incredible[0] special[1] effects[0] and[0] [[Sentence=-1,2=word max, 1-5]] well[0] it's[0] just[0] an[0] _experience_[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
something about this movie sparked the imagination of a generation . . . and 	something about this movie sparked the imagination of a generation .<br> .<br> .<br> and	1	-1	 something[0] about[0] this[0] movie[0] sparked[0] the[0] imagination[0] of[0] a[0] generation[0] [[Sentence=-1,1=word max, 1-5]] and[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's about to do so again . 	it's about to do so again .	1	-1	 it's[0] about[0] to[0] do[0] so[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this new release of star wars comes as no surprise to many of the film's devoted fans , who have been trading rumors and bits of information about it for quite some time now . 	this new release of star wars comes as no surprise to many of the film's devoted fans , who have been trading rumors and bits of information about it for quite some time now .	3	-3	 this[0] new[0] release[0] of[0] star[0] wars[-2] comes[0] as[0] no[0] surprise[0] to[0] many[0] of[0] the[0] film's[0] devoted[2] fans[0] who[0] have[0] been[0] trading[0] rumors[0] and[0] bits[0] of[0] information[0] about[0] it[0] for[0] quite[0] some[0] time[0] now[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
interviews , trailers , leaks from within lucasfilm . . . all of these have been collected , collated , and placed on webpages for people to see ( pages such as http : //www . islandnet . com/ corona/films/details/sw4 . html 	interviews , trailers , leaks from within lucasfilm .<br> .<br> .<br> all of these have been collected , collated , and placed on webpages for people to see ( pages such as http : //w .<br> islandnet .<br> com/ corona/films/details/sw4 .<br> html	1	-1	 interviews[0] trailers[0] leaks[0] from[0] within[0] lucasfilm[0] [[Sentence=-1,1=word max, 1-5]] all[0] of[0] these[0] have[0] been[0] collected[0] collated[0] and[0] placed[0] on[0] webpages[0] for[0] people[0] to[0] see[0] pages[0] such[0] as[0] http[0] //www///w[0] [[Sentence=-1,1=word max, 1-5]] islandnet[0] [[Sentence=-1,1=word max, 1-5]] com/[0] corona/films/details/sw4[0] [[Sentence=-1,1=word max, 1-5]] html[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
or , my personal favorite , http : //leopard . cs . latrobe . edu . au/ koukoula/ 	or , my personal favorite , http : //leopard .<br> cs .<br> latrobe .<br> edu .<br> au/ koukoula/	2	-1	 or[0] my[0] personal[0] favorite[1] http[0] //leopard[0] [[Sentence=-1,2=word max, 1-5]] cs[0] [[Sentence=-1,1=word max, 1-5]] latrobe[0] [[Sentence=-1,1=word max, 1-5]] edu[0] [[Sentence=-1,1=word max, 1-5]] au/[0] koukoula/[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
 ) . 	 ) .	1	-1	[[[0,0 max of sentences]]]
pictures of before and after have been placed side by side . . . even 	pictures of before and after have been placed side by side .<br> .<br> .<br> even	1	-1	 pictures[0] of[0] before[0] and[0] after[0] have[0] been[0] placed[0] side[0] by[0] side[0] [[Sentence=-1,1=word max, 1-5]] even[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
months before the movies were released , fans were making comparisons . 	months before the movies were released , fans were making comparisons .	1	-1	 months[0] before[0] the[0] movies[0] were[0] released[0] fans[0] were[0] making[0] comparisons[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in some cases , the changes were nothing less than phenomenal , and this can be seen from the comparison shots even before you go into the movie theater . 	in some cases , the changes were nothing less than phenomenal , and this can be seen from the comparison shots even before you go into the movie theater .	1	-1	 in[0] some[0] cases[0] the[0] changes[0] were[0] nothing[0] less[0] than[0] phenomenal[0] and[0] this[0] can[0] be[0] seen[0] from[0] the[0] comparison[0] shots[0] even[0] before[0] you[0] go[0] into[0] the[0] movie[0] theater[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the digital matte effects that were little more than a toy in forrest gump are put to excellent use here , unnoticeably sprucing up scenes that that george lucas was unsatisfied with in the original . 	the digital matte effects that were little more than a toy in forest gump are put to excellent use here , unnoticeably sprucing up scenes that that george lucas was unsatisfied with in the original .	4	-1	 the[0] digital[0] matte[0] effects[0] that[0] were[0] little[0] more[0] than[0] a[0] toy[0] in[0] forrest/forest[0] gump[0] are[0] put[0] to[0] excellent[3] use[0] here[0] unnoticeably[0] sprucing[0] up[0] scenes[0] that[0] that[0] george[0] lucas[0] was[0] unsatisfied[0] with[0] in[0] the[0] original[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
for instance , in my personal favorite example , the ancient temple on yavin that was formerly a flat stone edifice now has deep , moss-covered carvings and etchings . 	for instance , in my personal favorite example , the ancient temple on yavin that was formerly a flat stone edifice now has deep , moss-covered carvings and etchings .	2	-1	 for[0] instance[0] in[0] my[0] personal[0] favorite[1] example[0] the[0] ancient[0] temple[0] on[0] yavin[0] that[0] was[0] formerly[0] a[0] flat[0] stone[0] edifice[0] now[0] has[0] deep[0] moss[0] covered[0] carvings[0] and[0] etchings[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and mos eisley spaceport is now a bustling , booming city , with more surprises and things going on in the background than you can notice on the first viewing . 	and mos eisley spaceport is now a bustling , booming city , with more surprises and things going on in the background than you can notice on the first viewing .	1	-1	 and[0] mos[0] eisley[0] spaceport[0] is[0] now[0] a[0] bustling[0] booming[0] city[0] with[0] more[0] surprises[0] and[0] things[0] going[0] on[0] in[0] the[0] background[0] than[0] you[0] can[0] notice[0] on[0] the[0] first[0] viewing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all the starships and fighters are now computer-animated , getting rid of glitches and artifacts of the special effects processes used when the film was originally made--and they look _fantastic_ . 	all the starships and fighters are now computer-animated , getting rid of glitches and artifacts of the special effects processes used when the film was originally made-and they look _fantastic_ .	2	-3	 all[0] the[0] starships[0] and[0] fighters[-2] are[0] now[0] computer[0] animated[0] getting[0] rid[-1] of[0] glitches[0] and[0] artifacts[0] of[0] the[0] special[1] effects[0] processes[0] used[0] when[0] the[0] film[0] was[0] originally[0] made[0] and[0] they[0] look[0] _fantastic_[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
four and a half minutes of new or missing footage have been added , including a scene with jabba the hutt that had originally been shelved because the state of special effects in 1977 simply couldn't do it justice . 	four and a half minutes of new or missing footage have been added , including a scene with jabba the hut that had originally been shelved because the state of special effects in 1977 simply couldn't do it justice .	2	-1	 four[0] and[0] a[0] half[0] minutes[0] of[0] new[0] or[0] missing[0] footage[0] have[0] been[0] added[0] including[0] a[0] scene[0] with[0] jabba[0] the[0] hutt/hut[0] that[0] had[0] originally[0] been[0] shelved[0] because[0] the[0] state[0] of[0] special[1] effects[0] in[0] 1977[0] simply[0] couldn't[0] do[0] it[0] justice[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , much of the ten million dollars that was spent on the star wars special edition restoration went into restoring the quality of the film itself . 	however , much of the ten million dollars that was spent on the star wars special edition restoration went into restoring the quality of the film itself .	2	-3	 however[0] much[0] of[0] the[0] ten[0] million[0] dollars[0] that[0] was[0] spent[0] on[0] the[0] star[0] wars[-2] special[1] edition[0] restoration[0] went[0] into[0] restoring[0] the[0] quality[0] of[0] the[0] film[0] itself[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the negatives , badly damaged by the ravages of time , were brightened and returned to their original splendor . 	the negatives , badly damaged by the ravages of time , were brightened and returned to their original splendor .	3	-2	 the[0] negatives[-1] badly[-1] damaged[0] by[0] the[0] ravages[-1] of[0] time[0] were[0] brightened[0] and[0] returned[0] to[0] their[0] original[0] splendor[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
