national lampoon's animal house , made in 1978 and set in 1962 , remains one of the -- no , fuck that noise -- * the * funniest movie ever made . 	Translation	Positive	Negative	EmotionRationale
and this isn't just my opinion , either ; everybody knows this , and that's why about a gazillion inferior rip-offs have been made , trying to duplicate its success . 	and this isn't just my opinion , either ; everybody knows this , and that's why about a gazillion inferior rip-offs have been made , trying to duplicate its success .	3	-2	 and[0] this[0] isn't[0] just[0] my[0] opinion[0] either[0] everybody[0] knows[0] this[0] and[0] that's[0] why[0] about[0] a[0] gazillion[0] inferior[-1] rip[-1] offs[0] have[0] been[0] made[0] trying[0] to[0] duplicate[0] its[0] success[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 ( pcu anyone ? 	 ( pcu anyone ?	1	-1	 pcu[0] anyone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and the first person to bring up glory daze gets decked . ) 	and the first person to bring up glory daze gets decked .<br> )	2	-2	 and[0] the[0] first[0] person[0] to[0] bring[0] up[0] glory[1] daze[-1] gets[0] decked[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
animal house takes place at the fictional faber college , circa 1962 , where the omega frat calls the shots . 	animal house takes place at the fictional faber college , circa 1962 , where the omega frat calls the shots .	1	-1	 animal[0] house[0] takes[0] place[0] at[0] the[0] fictional[0] faber[0] college[0] circa[0] 1962[0] where[0] the[0] omega[0] frat[0] calls[0] the[0] shots[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these guys are wholesome , clean-cut , model-citizens . . . 	these guys are wholesome , clean-cut , model-citizens .<br> .<br> .	1	-1	 these[0] guys[0] are[0] wholesome[0] clean[0] cut[0] model[0] citizens[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i . e . 	i .<br> e .	1	-1	 i[0] [[Sentence=-1,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a bunch of assholes . 	a bunch of assholes .	1	-3	 a[0] bunch[0] of[0] assholes[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
greg , their leader , is going out with mandy pepperidge , but since the silly bastard doesn't believe in pre-marital sex , their relationship never goes further than a quick jack-off under the stars . 	greg , their leader , is going out with mandy pepperidge , but since the silly bastard doesn't believe in pre-marital sex , their relationship never goes further than a quick jack-off under the stars .	1	-3	 greg[0] their[0] leader[0] is[0] going[0] out[0] with[0] mandy[0] pepperidge[0] but[0] since[0] the[0] silly[-1] bastard[-2] doesn't[0] believe[0] in[0] pre[0] marital[0] sex[0] their[0] relationship[0] never[0] goes[0] further[0] than[0] a[0] quick[0] jack[0] off[0] under[0] the[0] stars[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
neidermeyer is the supreme-bozo of the bunch , walking around with his dick out kicking freshman ass and trying to impress the muff . 	neidermeyer is the supreme-bozo of the bunch , walking around with his dick out kicking freshman ass and trying to impress the muff .	3	-2	 neidermeyer[0] is[0] the[0] supreme[2] bozo[0] of[0] the[0] bunch[0] walking[0] around[0] with[0] his[0] dick[0] out[0] kicking[-1] freshman[0] ass[0] and[0] trying[0] to[0] impress[1] the[0] muff[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
also hanging around these losers is babs , future universal studios employee and serious bitch . 	also hanging around these losers is babs , future universal studios employee and serious bitch .	1	-3	 also[0] hanging[0] around[0] these[0] losers[-2] is[0] babs[0] future[0] universal[0] studios[0] employee[0] and[0] serious[-1] bitch[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
now let's just take a peak next door , at the delta house . 	now let's just take a peak next door , at the delta house .	1	-1	 now[0] let's[0] just[0] take[0] a[0] peak[0] next[0] door[0] at[0] the[0] delta[0] house[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
over here , anything goes : you wanna throw shit out the window ? 	over here , anything goes : you wanna throw shit out the window ?	1	-2	 over[0] here[0] anything[0] goes[0] you[0] wanna[0] throw[0] shit[-1] out[0] the[0] window[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
