sick : the life and death of bob flanagan , supermasochist 	Translation	Positive	Negative	EmotionRationale
by fernando vallejo 	by fernando vallejo	1	-1	 by[0] fernando[0] vallejo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
starring bob flanagan and sheree rose . 	starring bob flanagan and sheree rose .	1	-1	 starring[0] bob[0] flanagan[0] and[0] sheree[0] rose[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
interviews by kathe burkhart , kirby dick and rita valencia . 	interviews by kathe burkhart , kirby dick and rita valencia .	1	-1	 interviews[0] by[0] kathe[0] burkhart[0] kirby[0] dick[0] and[0] rita[0] valencia[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
produced and directed by kirby dick . 	produced and directed by kirby dick .	1	-1	 produced[0] and[0] directed[0] by[0] kirby[0] dick[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
running time : 90 mins . 	running time : 90 mins .	1	-1	 running[0] time[0] 90[0] mins[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this film is not rated . 	this film is not rated .	1	-1	 this[0] film[0] is[0] not[0] rated[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the central themes of " sick : the life and death of bob flanagan , supermasochist " are pain and love , and its subsequent effect on a person's life . 	the central themes of " sick : the life and death of bob flanagan , supermasochist " are pain and love , and its subsequent effect on a person's life .	3	-4	 the[0] central[0] themes[0] of[0] sick[-1] the[0] life[0] and[0] death[-2] of[0] bob[0] flanagan[0] supermasochist[0] are[0] pain[-3] and[0] love[2] and[0] its[0] subsequent[0] effect[0] on[0] a[0] person's[0] life[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
its protagonist , bob flanagan , who died at the age of 52 , suffered from cystic fibrosis , a mortal disease which debilitates the lungs by saturating them with thick coats of mucus , preventing him from normal breathing . 	its protagonist , bob flanagan , who died at the age of 52 , suffered from cystic fibrosis , a mortal disease which debilitates the lungs by saturating them with thick coats of mucus , preventing him from normal breathing .	1	-4	 its[0] protagonist[0] bob[0] flanagan[0] who[0] died[0] at[0] the[0] age[0] of[0] 52[0] suffered[-3] from[0] cystic[0] fibrosis[0] a[0] mortal[0] disease[-2] which[0] debilitates[0] the[0] lungs[0] by[0] saturating[0] them[0] with[0] thick[0] coats[0] of[0] mucus[0] preventing[0] him[0] from[0] normal[0] breathing[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the movie is about much more than recouperating ( or attempting to ) from this disease . 	the movie is about much more than recouperating ( or attempting to ) from this disease .	1	-3	 the[0] movie[0] is[0] about[0] much[0] more[0] than[0] recouperating[0] or[0] attempting[0] to[0] from[0] this[0] disease[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
an audacious , fabulously triumphant docudrama , " sick " chronicles the life of flanagan and his vicious , unthinkable acts of sadomasochism conducted with his mistress of 15 years , sheree rose , who amazingly provided much of the footage for the film . 	an audacious , fabulously triumphant docudrama , " sick " chronicles the life of flanagan and his vicious , unthinkable acts of sadomasochism conducted with his mistress of 15 years , sheree rose , who amazingly provided much of the footage for the film .	4	-4	 an[0] audacious[0] fabulously[2] triumphant[2][+1 MultiplePositiveWords] docudrama[0] sick[-1] chronicles[0] the[0] life[0] of[0] flanagan[0] and[0] his[0] vicious[-3] unthinkable[0] acts[0] of[0] sadomasochism[0] conducted[0] with[0] his[0] mistress[0] of[0] 15[0] years[0] sheree[0] rose[0] who[0] amazingly[2] provided[0] much[0] of[0] the[0] footage[0] for[0] the[0] film[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
