earlier this year , the movie holy man opened to a meager box office receipt and to indifference from audiences and critics . 	Translation	Positive	Negative	EmotionRationale
a real charmer of a movie , it's possible that the subject matter was too hip or trendy to attract any real audience . 	a real charmer of a movie , it's possible that the subject matter was too hip or trendy to attract any real audience .	2	-1	 a[0] real[0] charmer[1] of[0] a[0] movie[0] it's[0] possible[0] that[0] the[0] subject[0] matter[0] was[0] too[0] hip[0] or[0] trendy[0] to[0] attract[1] any[0] real[0] audience[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
now , at the end of 1998 , comes waking ned devine , a comedy which inspires the same vein of easygoing laughter . 	now , at the end of 1998 , comes waking ned devine , a comedy which inspires the same vein of easygoing laughter .	3	-1	 now[0] at[0] the[0] end[0] of[0] 1998[0] comes[0] waking[0] ned[0] devine[0] a[0] comedy[0] which[0] inspires[2] the[0] same[0] vein[0] of[0] easygoing[1] laughter[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there's no substantial difference between the two other than a more refined atmosphere -- they strike all the same chords -- but still , ned devine is a movie worth seeing . 	there's no substantial difference between the two other than a more refined atmosphere - they strike all the same chords - but still , ned devine is a movie worth seeing .	1	-2	 there's[0] no[0] substantial[0] difference[0] between[0] the[0] two[0] other[0] than[0] a[0] more[0] refined[0] atmosphere[0] they[0] strike[-1] all[0] the[0] same[0] chords[0] but[0] still[0] ned[0] devine[0] is[0] a[0] movie[0] worth[0] seeing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the plot is interesting and robust : the latest lottery winner is ned devine ( jimmy keogh ) , of tullymore , ireland . 	the plot is interesting and robust : the latest lottery winner is ned devine ( jimmy keogh ) , of tullymore , ireland .	2	-1	 the[0] plot[0] is[0] interesting[1] and[0] robust[0] the[0] latest[0] lottery[0] winner[1] is[0] ned[0] devine[0] jimmy[0] keogh[0] of[0] tullymore[0] ireland[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
ned's prize is over six million pounds , but the shock of winning killed the poor old man , and the check remains unclaimed . 	ned's prize is over six million pounds , but the shock of winning killed the poor old man , and the check remains unclaimed .	3	-4	 ned's[0] prize[2] is[0] over[0] six[0] million[0] pounds[0] but[0] the[0] shock[-2] of[0] winning[1] killed[-3] the[0] poor[-1] old[0] man[0] and[0] the[0] check[0] remains[0] unclaimed[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
enter jackie o'shea ( ian bannen ) and michael o'sullivan ( david kelly ) , the only two residents who are aware the winner is in their village . 	enter jackie o'shea ( ian bannen ) and michael o'sullivan ( david kelly ) , the only two residents who are aware the winner is in their village .	2	-1	 enter[0] jackie[0] o'shea[0] ian[0] bannen[0] and[0] michael[0] o'sullivan[0] david[0] kelly[0] the[0] only[0] two[0] residents[0] who[0] are[0] aware[0] the[0] winner[1] is[0] in[0] their[0] village[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the two men eventually find the ticket , and decide that if michael can convince the lotto authorities that he's actually ned , the entire town can reap the benefits ; their only adversary is an ancient old woman ( eileen dromey ) who sees more profit in reporting the fraud . 	the two men eventually find the ticket , and decide that if michael can convince the lotto authorities that he's actually ned , the entire town can reap the benefits ; their only adversary is an ancient old woman ( eileen dromey ) who sees more profit in reporting the fraud .	2	-2	 the[0] two[0] men[0] eventually[0] find[0] the[0] ticket[0] and[0] decide[0] that[0] if[0] michael[0] can[0] convince[0] the[0] lotto[0] authorities[0] that[0] he's[0] actually[0] ned[0] the[0] entire[0] town[0] can[0] reap[0] the[0] benefits[0] their[0] only[0] adversary[-1] is[0] an[0] ancient[0] old[0] woman[0] eileen[0] dromey[0] who[0] sees[0] more[0] profit[1] in[0] reporting[0] the[0] fraud[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
ian bannen and david kelly truly shine as jackie and michael . 	ian bannen and david kelly truly shine as jackie and michael .	2	-1	 ian[0] bannen[0] and[0] david[0] kelly[0] truly[1] shine[0] as[0] jackie[0] and[0] michael[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
jackie , stocky and large , is the brains behind the operation ; michael , scrawny and short , is the method man . 	jackie , stocky and large , is the brains behind the operation ; michael , scrawny and short , is the method man .	1	-1	 jackie[0] stocky[0] and[0] large[0] is[0] the[0] brains[0] behind[0] the[0] operation[0] michael[0] scrawny[0] and[0] short[0] is[0] the[0] method[0] man[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the two contrast each other delightfully , and at the same time remain sympathetic to the audience . 	the two contrast each other delightfully , and at the same time remain sympathetic to the audience .	3	-1	 the[0] two[0] contrast[0] each[0] other[0] delightfully[2] and[0] at[0] the[0] same[0] time[0] remain[0] sympathetic[0] to[0] the[0] audience[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
every viewer is sure to like both of them . 	every viewer is sure to like both of them .	2	-1	 every[0] viewer[0] is[0] sure[0] to[0] like[1] both[0] of[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there are other minor subplots included as well , such as an unlikely romance between a local girl and the town pig farmer . 	there are other minor subplots included as well , such as an unlikely romance between a local girl and the town pig farmer .	4	-1	 there[0] are[0] other[0] minor[0] subplots[0] included[0] as[0] well[0] such[0] as[0] an[0] unlikely[0] romance[3] between[0] a[0] local[0] girl[0] and[0] the[0] town[0] pig[0] farmer[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
this appears quite inconsequential until the end , and even with a startling revelation it's a tad bit unnecessary . 	this appears quite inconsequential until the end , and even with a startling revelation it's a tad bit unnecessary .	1	-2	 this[0] appears[0] quite[0] inconsequential[0] until[0] the[0] end[0] and[0] even[0] with[0] a[0] startling[-1] revelation[0] it's[0] a[0] tad[0] bit[0] unnecessary[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
overall , waking ned devine has a predictable outcome , and plot twists are never really taken seriously . 	overall , waking ned devine has a predictable outcome , and plot twists are never really taken seriously .	1	-1	 overall[0] waking[0] ned[0] devine[0] has[0] a[0] predictable[0] outcome[0] and[0] plot[0] twists[0] are[0] never[0] really[0] taken[0] seriously[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the ending , a very hilarious and very ironic twist of fate , somehow fits with the twisted sense of humor the movie exhibits throughout . 	the ending , a very hilarious and very ironic twist of fate , somehow fits with the twisted sense of humor the movie exhibits throughout .	4	-3	 the[0] ending[0] a[0] very[0] hilarious[2][1 LastWordBoosterStrength] and[0] very[0] ironic[-1][-1 LastWordBoosterStrength] twist[0] of[0] fate[0] somehow[0] fits[0] with[0] the[0] twisted[0] sense[0] of[0] humor[2] the[0] movie[0] exhibits[0] throughout[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
the kirk jones script is indeed off-the-cuff . 	the kirk jones script is indeed off-the-cuff .	1	-1	 the[0] kirk[0] jones[0] script[0] is[0] indeed[0] off[0] the[0] cuff[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in a way , waking ned devine is exactly like the class of people it presents : warm , friendly , outgoing , and jovial . 	in a way , waking ned devine is exactly like the class of people it presents : warm , friendly , outgoing , and jovial .	2	-1	 in[0] a[0] way[0] waking[0] ned[0] devine[0] is[0] exactly[0] like[1] the[0] class[0] of[0] people[0] it[0] presents[0] warm[0] friendly[1] outgoing[0] and[0] jovial[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's the perfect kind of comedy , a real gem of a tale that sets up a trivial plot outline by which to introduce a sympathetic cast of characters and a string of jokes . 	it's the perfect kind of comedy , a real gem of a tale that sets up a trivial plot outline by which to introduce a sympathetic cast of characters and a string of jokes .	2	-2	 it's[0] the[0] perfect[1] kind[1] of[0] comedy[0] a[0] real[0] gem[0] of[0] a[0] tale[0] that[0] sets[0] up[0] a[0] trivial[-1] plot[0] outline[0] by[0] which[0] to[0] introduce[0] a[0] sympathetic[0] cast[0] of[0] characters[0] and[0] a[0] string[0] of[0] jokes[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there's nothing remotely serious or grounded for more than a moment or two , because the spirit of ned devine is a lighthearted one . 	there's nothing remotely serious or grounded for more than a moment or two , because the spirit of ned devine is a lighthearted one .	1	-2	 there's[0] nothing[0] remotely[0] serious[-1] or[0] grounded[0] for[0] more[0] than[0] a[0] moment[0] or[0] two[0] because[0] the[0] spirit[0] of[0] ned[0] devine[0] is[0] a[0] lighthearted[0] one[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
indeed , it's one of the year's best feel-good movies -- 91 minutes of unrestrained joy that no one should miss . 	indeed , it's one of the year's best feel-good movies - 91 minutes of unrestrained joy that no one should miss .	3	-1	 indeed[0] it's[0] one[0] of[0] the[0] year's[0] best[1] feel[0] good[1] movies[0] 91[0] minutes[0] of[0] unrestrained[0] joy[2] that[0] no[0] one[0] should[0] miss[-1][--1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
