susan granger's review of " the closet " ( miramax films ) 	Translation	Positive	Negative	EmotionRationale
in this hilarious french farce , a shy , boring accountant ( daniel auteil ) named francois pignon discovers he's going to be fired from his job at a condom factory . 	in this hilarious french farce , a shy , boring accountant ( daniel auteil ) named francois pignon discovers he's going to be fired from his job at a condom factory .	3	-3	 in[0] this[0] hilarious[2] french[0] farce[-1] a[0] shy[-2] boring[-1] accountant[0] daniel[0] auteil[0] named[0] francois[0] pignon[0] discovers[0] he's[0] going[0] to[0] be[0] fired[-2] from[0] his[0] job[0] at[0] a[0] condom[0] factory[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
lonely and distraught , he contemplates suicide . 	lonely and distraught , he contemplates suicide .	1	-4	 lonely[-1] and[0] distraught[-3] he[0] contemplates[0] suicide[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but then he runs into belone ( michel aumont ) , an elderly homosexual neighbor , who suggests a " sex discrimination " lawsuit to intimidate management . 	but then he runs into belone ( michel aumont ) , an elderly homosexual neighbor , who suggests a " sex discrimination " lawsuit to intimidate management .	1	-4	 but[0] then[0] he[0] runs[0] into[0] belone[0] michel[0] aumont[0] an[0] elderly[0] homosexual[0] neighbor[0] who[0] suggests[0] a[0] sex[0] discrimination[-2] lawsuit[-1] to[0] intimidate[-3] management[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as evidence , belone concocts provocative photographs of pignon locked in a leather-clad embrace with another man and mails them anonymously to pignon's boss . 	as evidence , belone concocts provocative photographs of pignon locked in a leather-clad embrace with another man and mails them anonymously to pignon's boss .	1	-1	 as[0] evidence[0] belone[0] concocts[0] provocative[0] photographs[0] of[0] pignon[0] locked[0] in[0] a[0] leather[0] clad[0] embrace[0] with[0] another[0] man[0] and[0] mails[0] them[0] anonymously[0] to[0] pignon's[0] boss[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when the racy snapshots start circulating around the factory , not only does pignon get his job back but he suddenly finds himself the focus of attention as an openly gay man . 	when the racy snapshots start circulating around the factory , not only does pignon get his job back but he suddenly finds himself the focus of attention as an openly gay man .	1	-2	 when[0] the[0] racy[0] snapshots[0] start[0] circulating[0] around[0] the[0] factory[0] not[0] only[0] does[0] pignon[0] get[0] his[0] job[0] back[0] but[0] he[0] suddenly[0] finds[0] himself[0] the[0] focus[0] of[0] attention[0] as[0] an[0] openly[0] gay[-1] man[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his lusty supervisor ( michele laroque ) is so intrigued that she wonders if , perhaps , she could change his sexual preferences . 	his lusty supervisor ( michele laroque ) is so intrigued that she wonders if , perhaps , she could change his sexual preferences .	1	-1	 his[0] lusty[0] supervisor[0] michele[0] laroque[0] is[0] so[0] intrigued[0] that[0] she[0] wonders[0] if[0] perhaps[0] she[0] could[0] change[0] his[0] sexual[0] preferences[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even his ex-wife ( alexandra vandernoot ) and indifferent teenage son ( stanislas crevillen ) drop their disdain . 	even his ex-wife ( alexandra vandernoot ) and indifferent teenage son ( stanislas crevillen ) drop their disdain .	1	-2	 even[0] his[0] ex[0] wife[0] alexandra[0] vandernoot[0] and[0] indifferent[-1] teenage[0] son[0] stanislas[0] crevillen[0] drop[-1] their[0] disdain[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but not everyone is enchanted . 	but not everyone is enchanted .	1	-1	 but[0] not[0] everyone[0] is[0] enchanted[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a mucho macho co-worker felix ( gerard depardieu ) , a self-righteous homophobe , is stunned and repulsed when he's forced by the pr director ( thierry lhermite ) to grovel and court pignon's friendship or risk losing his own job . 	a mucho macho co-worker felix ( gerard depardieu ) , a self-righteous homophobe , is stunned and repulsed when he's forced by the pr director ( thierry lhermite ) to grovel and court pignon's friendship or risk losing his own job .	2	-3	 a[0] mucho[0] macho[0] co[0] worker[0] felix[0] gerard[0] depardieu[0] a[0] self[0] righteous[0] homophobe[0] is[0] stunned[-1] and[0] repulsed[0] when[0] he's[0] forced[0] by[0] the[0] pr[0] director[0] thierry[0] lhermite[0] to[0] grovel[0] and[0] court[0] pignon's[0] friendship[1] or[0] risk[-1] losing[-2] his[0] own[0] job[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
writer/director francis verber artfully milks the farcical comedy as he dissects the hypocrisy of political correctness , veering off-track only occasionally into pedophilia . 	writer/director francis verber artfully milks the farcical comedy as he dissects the hypocrisy of political correctness , veering off-track only occasionally into pedophilia .	1	-2	 writer/director[0] francis[0] verber[0] artfully[0] milks[0] the[0] farcical[0] comedy[0] as[0] he[0] dissects[0] the[0] hypocrisy[-1] of[0] political[0] correctness[0] veering[0] off[0] track[0] only[0] occasionally[0] into[0] pedophilia[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
