synopsis : in this cultural exploration , a chinese american computer engineer named fang ( peter wang ) decides to take a month-long vacation to visit his sister mrs . chao ( shen guanglan ) , her husband mr . chao ( hy xiaoguang ) , and their teenage daughter lili ( li qinqin ) in beijing after 30 years of separation . 	Translation	Positive	Negative	EmotionRationale
fang brings his asian american wife grace ( sharon iwai ) and his college-aged son paul ( kelvin han yee ) along , both of whom don't speak chinese . 	fang brings his asian american wife grace ( sharon iwai ) and his college-aged son paul ( kelvin han ye ) along , both of whom don't speak chinese .	3	-1	 fang[0] brings[0] his[0] asian[0] american[0] wife[0] grace[2] sharon[0] iwai[0] and[0] his[0] college[0] aged[0] son[0] paul[0] kelvin[0] han[0] yee/ye[0] along[0] both[0] of[0] whom[0] don't[0] speak[0] chinese[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the encounter between the two families allows the audience to compare the eastern and western cultures as well as the ambitions of individual characters . 	the encounter between the two families allows the audience to compare the eastern and western cultures as well as the ambitions of individual characters .	1	-1	 the[0] encounter[0] between[0] the[0] two[0] families[0] allows[0] the[0] audience[0] to[0] compare[0] the[0] eastern[0] and[0] western[0] cultures[0] as[0] well[0] as[0] the[0] ambitions[0] of[0] individual[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
opinion : sometimes a film is plot driven . 	opinion : sometimes a film is plot driven .	1	-1	 opinion[0] sometimes[0] a[0] film[0] is[0] plot[0] driven[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sometimes it's a character sketch . 	sometimes it's a character sketch .	1	-1	 sometimes[0] it's[0] a[0] character[0] sketch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a great wall ( 1986 ) can be called a culture sketch , as opposed to a character sketch because it gently compares a chinese american family to a beijing family . 	a great wall ( 1986 ) can be called a culture sketch , as opposed to a character sketch because it gently compares a chinese american family to a beijing family .	3	-1	 a[0] great[2] wall[0] 1986[0] can[0] be[0] called[0] a[0] culture[0] sketch[0] as[0] opposed[0] to[0] a[0] character[0] sketch[0] because[0] it[0] gently[1] compares[0] a[0] chinese[0] american[0] family[0] to[0] a[0] beijing[0] family[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
fang's family is thoroughly americanized . 	fang's family is thoroughly americanized .	1	-1	 fang's[0] family[0] is[0] thoroughly[0] americanized[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fang is an upper middle class professional who enjoys jogging and argues with his boss . 	fang is an upper middle class professional who enjoys jogging and argues with his boss .	3	-2	 fang[0] is[0] an[0] upper[0] middle[0] class[0] professional[0] who[0] enjoys[2] jogging[0] and[0] argues[-1] with[0] his[0] boss[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
his wife can't cook chinese . 	his wife can't cook chinese .	1	-1	 his[0] wife[0] can't[0] cook[0] chinese[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his son has a white girlfriend and complains of racism when fang encourages him to befriend an asian girl . 	his son has a white girlfriend and complains of racism when fang encourages him to befriend an asian girl .	2	-2	 his[0] son[0] has[0] a[0] white[0] girlfriend[0] and[0] complains[-1] of[0] racism[-1] when[0] fang[0] encourages[1] him[0] to[0] befriend[0] an[0] asian[0] girl[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
meanwhile fang's beijing sister advocates absolute loyalty to the 'work unit . ' 	meanwhile fang's beijing sister advocates absolute loyalty to the 'work unit .<br> '	2	-1	 meanwhile[0] fang's[0] beijing[0] sister[0] advocates[0] absolute[0] loyalty[1] to[0] the[0] 'work[0] unit[0] [[Sentence=-1,2=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
her husband is a retired official who has heard rumors of american depravity ( homosexuals running the streets ) , and her daughter lili longs for american freedoms in a youth culture where studying for college entrance exams is the most important thing in life . 	her husband is a retired official who has heard rumors of american depravity ( homosexuals running the streets ) , and her daughter lili longs for american freedoms in a youth culture where studying for college entrance exams is the most important thing in life .	1	-4	 her[0] husband[0] is[0] a[0] retired[-1] official[0] who[0] has[0] heard[0] rumors[0] of[0] american[0] depravity[-3] homosexuals[0] running[0] the[0] streets[0] and[0] her[0] daughter[0] lili[0] longs[0] for[0] american[0] freedoms[0] in[0] a[0] youth[0] culture[0] where[0] studying[0] for[0] college[0] entrance[0] exams[0] is[0] the[0] most[0] important[0] thing[0] in[0] life[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the two families spend a month slowly learning about each other . 	the two families spend a month slowly learning about each other .	1	-1	 the[0] two[0] families[0] spend[0] a[0] month[0] slowly[0] learning[0] about[0] each[0] other[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is no ultimate 'answer' or final comprehensive understanding after the month-long vacation . 	there is no ultimate 'answer' or final comprehensive understanding after the month-long vacation .	1	-1	 there[0] is[0] no[0] ultimate[0] 'answer'[0] or[0] final[0] comprehensive[0] understanding[0] after[0] the[0] month[0] long[0] vacation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film is neither here nor there ; it's a neutral , meandering , gentle , portrait of life on both sides . 	the film is neither here nor there ; it's a neutral , meandering , gentle , portrait of life on both sides .	2	-1	 the[0] film[0] is[0] neither[0] here[0] nor[0] there[0] it's[0] a[0] neutral[0] meandering[0] gentle[1] portrait[0] of[0] life[0] on[0] both[0] sides[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
