the rocky horror picture show 'special edition' ( 1975 ) 	Translation	Positive	Negative	EmotionRationale
starring : tim curry and susan sarandon 	starring : tim curry and susan sarandon	1	-1	 starring[0] tim[0] curry[0] and[0] susan[0] sarandon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cult films are never mainstream . 	cult films are never mainstream .	1	-1	 cult[0] films[0] are[0] never[0] mainstream[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the casual viewer of a cult film will look at it and be repulsed and confused , yelling out 'what the hell is that ? ' . 	the casual viewer of a cult film will look at it and be repulsed and confused , yelling out 'what the hell is that ?<br> ' .	1	-2	 the[0] casual[0] viewer[0] of[0] a[0] cult[0] film[0] will[0] look[0] at[0] it[0] and[0] be[0] repulsed[0] and[0] confused[-1] yelling[0] out[0] 'what[0] the[0] hell[-1] is[0] that[0] [[Sentence=-2,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
fans of these sorts of movies will be laughing at every other second at all the 'hidden jokes' they missed the first time around while normal movie watchers will look at them like they're insane . 	fans of these sorts of movies will be laughing at every other second at all the 'hidden jokes' they missed the first time around while normal movie watchers will look at them like they're insane .	2	-2	 fans[0] of[0] these[0] sorts[0] of[0] movies[0] will[0] be[0] laughing[1] at[0] every[0] other[0] second[0] at[0] all[0] the[0] 'hidden[0] jokes'[1] they[0] missed[-1] the[0] first[0] time[0] around[0] while[0] normal[0] movie[0] watchers[0] will[0] look[0] at[0] them[0] like[1] they're[0] insane[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the rocky horror picture show , recently re-released in a 'special edition' to video , is the mother of all cult films . 	the rocky horror picture show , recently re-released in a 'special edition' to video , is the mother of all cult films .	1	-4	 the[0] rocky[0] horror[-3] picture[0] show[0] recently[0] re[0] released[0] in[0] a[0] 'special[0] edition'[0] to[0] video[0] is[0] the[0] mother[0] of[0] all[0] cult[0] films[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
period . 	period .	1	-1	 period[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
like some other cult films , most notably little shop of horrors , the rocky horror picture show is a musical with a twisted edge to it . 	like some other cult films , most notably little shop of horrors , the rocky horror picture show is a musical with a twisted edge to it .	2	-4	 like[1] some[0] other[0] cult[0] films[0] most[0] notably[0] little[0] shop[0] of[0] horrors[-3] the[0] rocky[0] horror[-3] picture[0] show[0] is[0] a[0] musical[0] with[0] a[0] twisted[0] edge[0] to[0] it[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
this movie begins out innocently enough- a couple get engaged at a friend's wedding and get a flat tire in the middle of the night while it's raining . 	this movie begins out innocently enough- a couple get engaged at a friend's wedding and get a flat tire in the middle of the night while it's raining .	2	-2	 this[0] movie[0] begins[0] out[0] innocently[1] enough[0] a[0] couple[0] get[0] engaged[0] at[0] a[0] friend's[1] wedding[0] and[0] get[0] a[0] flat[0] tire[-1] in[0] the[0] middle[0] of[0] the[0] night[0] while[0] it's[0] raining[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they go to a castle to try to use the phone . 	they go to a castle to try to use the phone .	1	-1	 they[0] go[0] to[0] a[0] castle[0] to[0] try[0] to[0] use[0] the[0] phone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
little do they know that the castle is owned by dr . frank n . furter , a mad transexual transvestite scientist who has recently created a creature he will use for personal reasons . 	little do they know that the castle is owned by dr .<br> frank n .<br> furter , a mad transexual transvestite scientist who has recently created a creature he will use for personal reasons .	1	-2	 little[0] do[0] they[0] know[0] that[0] the[0] castle[0] is[0] owned[0] by[0] dr[0] [[Sentence=-1,1=word max, 1-5]] frank[0] n[0] [[Sentence=-1,1=word max, 1-5]] furter[0] a[0] mad[-1] transexual[0] transvestite[0] scientist[0] who[0] has[0] recently[0] created[0] a[0] creature[0] he[0] will[0] use[0] for[0] personal[0] reasons[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
