to paraphrase a song title from an earlier disney movie , mulan is a whole new world . 	Translation	Positive	Negative	EmotionRationale
the mouse factory's latest feature is a treasure , featuring magnificent animation , a strong story and finely drawn characters . 	the mouse factory's latest feature is a treasure , featuring magnificent animation , a strong story and finely drawn characters .	4	-1	 the[0] mouse[0] factory's[0] latest[0] feature[0] is[0] a[0] treasure[1] featuring[0] magnificent[3] animation[0] a[0] strong[0] story[0] and[0] finely[0] drawn[0] characters[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
mulan is the story of a fiesty , head-strong young woman who , unlike other disney heroines , isn't seeking her prince charming , 	mulan is the story of a fiesty , head-strong young woman who , unlike other disney heroines , isn't seeking her prince charming ,	3	-1	 mulan[0] is[0] the[0] story[0] of[0] a[0] fiesty[0] head[0] strong[0] young[0] woman[0] who[0] unlike[0] other[0] disney[0] heroines[2] isn't[0] seeking[0] her[0] prince[0] charming[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
mulan's motivations are simple ; to save her father , serve her country and find a place for herself in a world in which females have no say . 	mulan's motivations are simple ; to save her father , serve her country and find a place for herself in a world in which females have no say .	2	-1	 mulan's[0] motivations[0] are[0] simple[0] to[0] save[1] her[0] father[0] serve[0] her[0] country[0] and[0] find[0] a[0] place[0] for[0] herself[0] in[0] a[0] world[0] in[0] which[0] females[0] have[0] no[0] say[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the story of mulan takes place in ancient china at a time when the huns have invaded the nation . 	the story of mulan takes place in ancient china at a time when the huns have invaded the nation .	1	-2	 the[0] story[0] of[0] mulan[0] takes[0] place[0] in[0] ancient[0] china[0] at[0] a[0] time[0] when[0] the[0] huns[0] have[0] invaded[-1] the[0] nation[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the emperor has called for a conscription , one man from each family to join the army and defend the nation . 	the emperor has called for a conscription , one man from each family to join the army and defend the nation .	1	-1	 the[0] emperor[0] has[0] called[0] for[0] a[0] conscription[0] one[0] man[0] from[0] each[0] family[0] to[0] join[0] the[0] army[0] and[0] defend[0] the[0] nation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mulan's crippled father is called , but mulan sneaks off , steals his armor and takes his place . 	mulan's crippled father is called , but mulan sneaks off , steals his armor and takes his place .	1	-3	 mulan's[0] crippled[-1] father[0] is[0] called[0] but[0] mulan[0] sneaks[-1] off[0] steals[-2] his[0] armor[0] and[0] takes[0] his[0] place[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
mulan is a saga of courage and self-discovery . 	mulan is a saga of courage and self-discovery .	2	-2	 mulan[0] is[0] a[0] saga[-1] of[0] courage[1] and[0] self[0] discovery[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
yet , despite the grim backdrop of war , it is a lively tale of self-reliance and brain-over-brawn that even the smallest child can appreciate and enjoy . 	yet , despite the grim backdrop of war , it is a lively tale of self-reliance and brain-over-brawn that even the smallest child can appreciate and enjoy .	3	-3	 yet[0] despite[0] the[0] grim[-2] backdrop[0] of[0] war[-2] it[0] is[0] a[0] lively[1] tale[0] of[0] self[0] reliance[0] and[0] brain[0] over[0] brawn[0] that[0] even[0] the[0] smallest[0] child[0] can[0] appreciate[1] and[0] enjoy[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the movie utilizes a strong corps of asian-american talent as the voices for the main characters , including the wonderful ming-na wen ( the joy luck club ) as mulan , b . d . 	the movie utilizes a strong corps of asian-american talent as the voices for the main characters , including the wonderful ming-na wen ( the joy luck club ) as mulan , b .<br> d .	4	-1	 the[0] movie[0] utilizes[0] a[0] strong[0] corps[0] of[0] asian[0] american[0] talent[1] as[0] the[0] voices[0] for[0] the[0] main[0] characters[0] including[0] the[0] wonderful[2] ming[0] na[0] wen[0] the[0] joy[2] luck[2][+1 MultiplePositiveWords] club[0] as[0] mulan[0] b[0] [[Sentence=-1,4=word max, 1-5]] d[0] [[Sentence=-1,1=word max, 1-5]][[[4,-1 max of sentences]]]
wong as shang , mulan's commanding officer and later love interest , pat morita as the emperor and the veteran soon-tek oh as mulan's proud , but loving father . 	wong as shang , mulan's commanding officer and later love interest , pat morita as the emperor and the veteran soon-tek oh as mulan's proud , but loving father .	4	-1	 wong[0] as[0] shang[0] mulan's[0] commanding[0] officer[0] and[0] later[0] love[2] interest[1] pat[0] morita[0] as[0] the[0] emperor[0] and[0] the[0] veteran[0] soon[0] tek[0] oh[0] as[0] mulan's[0] proud[1] but[0] loving[3] father[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
