the happy bastard's 30-second review 	Translation	Positive	Negative	EmotionRationale
notting hill 	noting hill	1	-1	 notting/noting[0] hill[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a cute romantic comedy from the writer of the hit comedy four weddings and a funeral , notting hill stars julia roberts as anna scott , a very popular actress with a  15 million asking price for movies . 	a cute romantic comedy from the writer of the hit comedy four weddings and a funeral , noting hill stars julia roberts as anna scot , a very popular actress with a  15 million asking price for movies .	4	-1	 a[0] cute[1] romantic[3] comedy[0] from[0] the[0] writer[0] of[0] the[0] hit[0] comedy[0] four[0] weddings[0] and[0] a[0] funeral[0] notting/noting[0] hill[0] stars[0] julia[0] roberts[0] as[0] anna[0] scott/scot[0] a[0] very[0] popular[0] actress[0] with[0] a[0] 15[0] million[0] asking[0] price[0] for[0] movies[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
one day she wanders into a travel book store owned by a simple london resident ( played by hugh grant ) , and sparks somehow begin to fly . 	one day she wanders into a travel book store owned by a simple london resident ( played by hugh grant ) , and sparks somehow begin to fly .	1	-1	 one[0] day[0] she[0] wanders[0] into[0] a[0] travel[0] book[0] store[0] owned[0] by[0] a[0] simple[0] london[0] resident[0] played[0] by[0] hugh[0] grant[0] and[0] sparks[0] somehow[0] begin[0] to[0] fly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sure , there are points of turmoil , such as putting up with grant's slightly disgusting ( but very hilarious ) roommate spike , anna's pesky ex-boyfriend ( alec baldwin in a humorous cameo ) , and , on top of all that , those damn press . 	sure , there are points of turmoil , such as putting up with grant's slightly disgusting ( but very hilarious ) roommate spike , anna's pesky ex-boyfriend ( alec baldwin in a humorous cameo ) , and , on top of all that , those damn press .	4	-3	 sure[0] there[0] are[0] points[0] of[0] turmoil[-2] such[0] as[0] putting[0] up[0] with[0] grant's[0] slightly[0] disgusting[-3][--1 LastWordBoosterStrength] but[0] very[0] hilarious[2][1 LastWordBoosterStrength] roommate[0] spike[0] anna's[0] pesky[0] ex[0] boyfriend[0] alec[0] baldwin[0] in[0] a[0] humorous[2] cameo[0] and[0] on[0] top[0] of[0] all[0] that[0] those[0] damn[-1] press[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
it's a fresh sort of complexity to see in a romantic comedy , very different from , say , a stubborn father or " not the right time " like as seen in usual flicks . 	it's a fresh sort of complexity to see in a romantic comedy , very different from , say , a stubborn father or " not the right time " like as seen in usual flicks .	4	-3	 it's[0] a[0] fresh[0] sort[0] of[0] complexity[0] to[0] see[0] in[0] a[0] romantic[3] comedy[0] very[0] different[0] from[0] say[0] a[0] stubborn[-2] father[0] or[0] not[0] the[0] right[0] time[0] like[1] as[0] seen[0] in[0] usual[0] flicks[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
roberts is terrific as the astonishingly beautiful actress , and grant is surprisingly good as the straightforward guy still trying to get a hold of what has actually happened with this girl . 	roberts is terrific as the astonishingly beautiful actress , and grant is surprisingly good as the straightforward guy still trying to get a hold of what has actually happened with this girl .	4	-1	 roberts[0] is[0] terrific[3] as[0] the[0] astonishingly[0] beautiful[2] actress[0] and[0] grant[0] is[0] surprisingly[0] good[1] as[0] the[0] straightforward[0] guy[0] still[0] trying[0] to[0] get[0] a[0] hold[0] of[0] what[0] has[0] actually[0] happened[0] with[0] this[0] girl[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
in short , a sweet romantic comedy that has a lot of good laughs , particularly provided by spike . 	in short , a sweet romantic comedy that has a lot of good laughs , particularly provided by spike .	4	-1	 in[0] short[0] a[0] sweet[1] romantic[3] comedy[0] that[0] has[0] a[0] lot[0] of[0] good[1] laughs[1] particularly[0] provided[0] by[0] spike[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
one tee-shirt really says it all about him . 	one tee-shirt really says it all about him .	1	-1	 one[0] tee[0] shirt[0] really[0] says[0] it[0] all[0] about[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in an attempt to turn on a woman , he shows the front of the shirt , which says : " you are the most beautiful woman in the world . " 	in an attempt to turn on a woman , he shows the front of the shirt , which says : " you are the most beautiful woman in the world .<br> "	3	-1	 in[0] an[0] attempt[0] to[0] turn[0] on[0] a[0] woman[0] he[0] shows[0] the[0] front[0] of[0] the[0] shirt[0] which[0] says[0] you[0] are[0] the[0] most[0] beautiful[2] woman[0] in[0] the[0] world[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
on the back ? 	on the back ?	1	-1	 on[0] the[0] back[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " fancy a f * * k ? " 	 " fancy a f * * k ?<br> "	1	-1	 fancy[0] a[0] f[0] k[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
