if there's one thing in common about all of hollywood's major studios , it's that their productions are moving toward mainstream more and more . 	Translation	Positive	Negative	EmotionRationale
although twentieth century fox and new line cinema have spawned subsidiaries which specialize in independant or controversial motion pictures ( fox searchlight and fine line respectively ) , it's obvious there's no significant movement underway to promote inventive ideas at the theater . 	although twentieth century fox and new line cinema have spawned subsidiaries which specialize in independant or controversial motion pictures ( fox searchlight and fine line respectively ) , it's obvious there's no significant movement underway to promote inventive ideas at the theater .	3	-2	 although[0] twentieth[0] century[0] fox[0] and[0] new[0] line[0] cinema[0] have[0] spawned[0] subsidiaries[0] which[0] specialize[1] in[0] independant[0] or[0] controversial[-1] motion[0] pictures[0] fox[0] searchlight[0] and[0] fine[2] line[0] respectively[2] it's[0] obvious[0] there's[0] no[0] significant[0] movement[0] underway[0] to[0] promote[0] inventive[0] ideas[0] at[0] the[0] theater[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
so when a movie like gary ross' pleasantville comes along , wrapped in a blanket of innovative ideas and served up on a platter of fine production , it's a welcome change of pace for all who frequent the cineplexes . 	so when a movie like gary ross' pleasantville comes along , wrapped in a blanket of innovative ideas and served up on a platter of fine production , it's a welcome change of pace for all who frequent the cineplexes .	3	-1	 so[0] when[0] a[0] movie[0] like[1] gary[0] ross'[0] pleasantville[2] comes[0] along[0] wrapped[0] in[0] a[0] blanket[0] of[0] innovative[0] ideas[0] and[0] served[0] up[0] on[0] a[0] platter[0] of[0] fine[2] production[0] it's[0] a[0] welcome[1] change[0] of[0] pace[0] for[0] all[0] who[0] frequent[0] the[0] cineplexes[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
although the atmosphere and buzz about the movie are cheery and lighthearted , pleasantville should not be mistaken for a no-thought movie . 	although the atmosphere and buz about the movie are cheery and lighthearted , pleasantville should not be mistaken for a no-thought movie .	3	-1	 although[0] the[0] atmosphere[0] and[0] buzz/buz[0] about[0] the[0] movie[0] are[0] cheery[0] and[0] lighthearted[0] pleasantville[2] should[0] not[0] be[0] mistaken[-1][NegatedDueToPreviousWord] for[0] a[0] no[0] thought[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
quite the opposite is true , in fact , as director ross skillfully brings a narrative with intense and intelligent undertones to the screen . 	quite the opposite is true , in fact , as director ross skilfully brings a narrative with intense and intelligent undertones to the screen .	2	-1	 quite[0] the[0] opposite[0] is[0] true[1] in[0] fact[0] as[0] director[0] ross[0] skillfully/skilfully[0] brings[0] a[0] narrative[0] with[0] intense[0] and[0] intelligent[1] undertones[0] to[0] the[0] screen[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the story , both about the joys of living life to the fullest as well as the social ills of segregation , captures the essence of statement-making in the cinema . 	the story , both about the joys of living life to the fullest as well as the social ills of segregation , captures the essence of statement-making in the cinema .	3	-2	 the[0] story[0] both[0] about[0] the[0] joys[2] of[0] living[0] life[0] to[0] the[0] fullest[0] as[0] well[0] as[0] the[0] social[0] ills[0] of[0] segregation[-1] captures[-1] the[0] essence[0] of[0] statement[0] making[0] in[0] the[0] cinema[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
not in recent memory has a movie carried such weight of theme into widescale distribution , and even if mass audiences fail to see the ingenuity of ross' work , it is still a testament that his picture was considered worthy enough . 	not in recent memory has a movie carried such weight of theme into widescale distribution , and even if mass audiences fail to see the ingenuity of ross' work , it is still a testament that his picture was considered worthy enough .	1	-3	 not[0] in[0] recent[0] memory[0] has[0] a[0] movie[0] carried[0] such[0] weight[0] of[0] theme[0] into[0] widescale[0] distribution[0] and[0] even[0] if[0] mass[0] audiences[0] fail[-2] to[0] see[0] the[0] ingenuity[0] of[0] ross'[0] work[0] it[0] is[0] still[0] a[0] testament[0] that[0] his[0] picture[0] was[0] considered[0] worthy[0] enough[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
kudos to both he and his production staff for putting together this fine picture . 	kudos to both he and his production staff for putting together this fine picture .	3	-1	 kudos[0] to[0] both[0] he[0] and[0] his[0] production[0] staff[0] for[0] putting[0] together[0] this[0] fine[2] picture[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it stars tobey maguire and reese witherspoon as two nineties teenagers who , through quite a bit of luck , find themselves zapped into a fifties sitcom named " pleasantville . " 	it stars tobey maguire and reese witherspoon as two nineties teenagers who , through quite a bit of luck , find themselves zapped into a fifties sitcom named " pleasantville .<br> "	3	-1	 it[0] stars[0] tobey[0] maguire[0] and[0] reese[0] witherspoon[0] as[0] two[0] nineties[0] teenagers[0] who[0] through[0] quite[0] a[0] bit[0] of[0] luck[2] find[0] themselves[0] zapped[0] into[0] a[0] fifties[0] sitcom[0] named[0] pleasantville[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
maguire , as the reserved bud parker , is perfect for the pseudo-world ; but the rebellious mary sue ( witherspoon ) is not at all made for the father-knows-best times . 	maguire , as the reserved bud parker , is perfect for the pseudo-world ; but the rebellious mary sue ( witherspoon ) is not at all made for the father-knows-best times .	2	-2	 maguire[0] as[0] the[0] reserved[0] bud[0] parker[0] is[0] perfect[1] for[0] the[0] pseudo[0] world[0] but[0] the[0] rebellious[-1] mary[0] sue[0] witherspoon[0] is[0] not[0] at[0] all[0] made[0] for[0] the[0] father[0] knows[0] best[1] times[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's not long before she sets the town of pleasantville on end , and begins to teach the townspeople - in a quite unlikely way - what life is * really * like . 	it's not long before she sets the town of pleasantville on end , and begins to teach the townspeople - in a quite unlikely way - what life is * really * like .	3	-1	 it's[0] not[0] long[0] before[0] she[0] sets[0] the[0] town[0] of[0] pleasantville[2] on[0] end[0] and[0] begins[0] to[0] teach[0] the[0] townspeople[0] in[0] a[0] quite[0] unlikely[0] way[0] what[0] life[0] is[0] really[0] like[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
soon hues of color creep into the black and white world , and while some embrace the change in the passion of realism , others fear the strangeness . 	soon hues of color creep into the black and white world , and while some embrace the change in the passion of realism , others fear the strangeness .	3	-4	 soon[0] hues[0] of[0] color[0] creep[0] into[0] the[0] black[0] and[0] white[0] world[0] and[0] while[0] some[0] embrace[0] the[0] change[0] in[0] the[0] passion[2] of[0] realism[0] others[0] fear[-3] the[0] strangeness[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
at one end is a soda shop owner-turned-painter named mr . johnson ( jeff daniels ) and at the other end is a close-minded mayor ( j . t . 	at one end is a soda shop owner-turned-painter named mr .<br> johnson ( jeff daniels ) and at the other end is a close-minded mayor ( j .<br> t .	1	-1	 at[0] one[0] end[0] is[0] a[0] soda[0] shop[0] owner[0] turned[0] painter[0] named[0] mr[0] [[Sentence=-1,1=word max, 1-5]] johnson[0] jeff[0] daniels[0] and[0] at[0] the[0] other[0] end[0] is[0] a[0] close[0] minded[0] mayor[0] j[0] [[Sentence=-1,1=word max, 1-5]] t[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
walsh ) and his chamber of commerce ; but the two sides are simply fronts for a clash of ideas that soon involves the entire town . 	walsh ) and his chamber of commerce ; but the two sides are simply fronts for a clash of ideas that soon involves the entire town .	1	-2	 walsh[0] and[0] his[0] chamber[0] of[0] commerce[0] but[0] the[0] two[0] sides[0] are[0] simply[0] fronts[0] for[0] a[0] clash[-1] of[0] ideas[0] that[0] soon[0] involves[0] the[0] entire[0] town[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
fine performances are turned in all around . 	fine performances are turned in all around .	3	-1	 fine[2] performances[0] are[0] turned[0] in[0] all[0] around[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
